"","X...","Proposal.No.","File.No.","Project.Name","Company","Proposal.Status","Project.Type","View"
"965",10,"SIA/UP/MIN/134113/2019","","Brick Earth Mine, Villages- Mirapur & Mohammadpur Husain Baksh, Tehsil-Haidergarh, Barabanki, M/s Kumar Brick Field","KUMAR BRICK FIELD","Delisted","EC",NA
"966",2,"SIA/UP/MIN/42638/2019","","Brick Earth Mining Project at Village- Amkhera, Tehsil- Pilibhit, District- Pilibhit, Uttar Pradesh","MS GURU KIRPA BRICK FIELD","Delisted","EC",NA
"967",3,"SIA/UP/MIN/42609/2019","","M/s ANSARI BRICK FIELD","ANSARI BRICK FIELD","Delisted","EC",NA
"968",5,"SIA/UP/MIS/234842/2021","6916","Environment Clearance for proposed “Hospital building project” at Plot no. HO-01, Sector-03, Greater Noida, Gautam Budha Nagar, U.P. For M/s Niranjan Vidya Foundation Delhi","M/S NIRANJAN VIDYA FOUNDATION DELHI","EC Granted","EC",NA
"969",7,"SIA/UP/MIN/69770/2021","6758","","RAM GOPAL SINGH","EC Granted","EC",NA
"970",8,"SIA/UP/MIN/37121/2019","","Proposed area of 4.726hectares, Khasra No. 71,160,138,148,152,194,283,240mi,289,292,141,212,224 situated in Village-, Purnainiya Ramgulam,Tehsil- Bisalpur,District-Pilibhit (UP) occupied by M/s K.G.N","MS KGN BRICK FIELD","Delisted","EC",NA
"971",9,"SIA/UP/MIS/107004/2019","4854/4258","Expansion of Galgotia university","M/S SMT. SHAKUNTLA EDUCATIONAL & WELFARE SOCIETY","EC Granted","EC",NA
"972",10,"SIA/UP/MIN/59250/2019","6049/5070","Area 2.550 Ha Khanda, Gitti mining project at Araji No’.02/1 Khand No-02  Village-Lakhanpura, Tehsil-Laitpur, District-Laitpur, U.P.","LAKSHMI SHANKAR","EC Granted","EC",NA
"973",5,"SIA/UP/MIN/143731/2020","","Brick Earth Mining Project","JAI MAA BRICKS FIELD","Delisted","EC",NA
"974",6,"SIA/UP/MIN/143893/2020","5535","BRICK KILN MINING PROJECT","BALA JI BRICK FIELD","MoEF&CC, Govt. of India Notification No. S.O. 1224(E) dated 28/03/2020 and Govt. of U.P. G.O. No. 446/81-7-2020-39(Parya) 2014 TC-1 dated 01/05/2020 shall prevail.","EC",NA
"975",7,"SIA/UP/MIN/70651/2021","6840-6136","Building Stone Boulder-Khanda / Gitti-Ballast Mining  Project","SHRI HARPAL SINGH","Delisted","EC",NA
"976",1,"SIA/UP/MIN/245829/2021","","Building stone, Khanda- Boulder/ Gitti - Ballast Mining","NEELAM BARONIA","WithdrawEC","EC",NA
"977",2,"SIA/UP/MIN/141237/2020","","Soil Mining  Project  at  Gata  No.  315/1, 316/1, 317/1, 318/1 ,296/3, 319,260/9, 269/3, 270mi, 85, 485 in Village- Khersa Tahsil- Atrauli District- Aligarh-U.P.  (2.189 ha)","PNC INFRATECH LTD.","Delisted","EC",NA
"978",5,"SIA/UP/MIN/42805/2019","5045","Building Stone (Sand stone) Mining Project","M/S VINDHYWASHINI ENTERPRISES","EC Granted","EC",NA
"979",6,"SIA/UP/MIN/57559/2020","5951","BUILDING STONE (SANDSTONE) MINE AT VILLAGE- DHURIYA, TEHSIL- CHUNAR, MIRZAPUR.","SURYA CO. & SUPPLIERS","EC Granted","EC",NA
"980",1,"SIA/UP/MIN/44868/2019","5440","PAPPI CHAUDHARY","PAPPI CHAUDHARY","MoEF&CC, Govt. of India Notification No. S.O. 1224(E) dated 28/03/2020 and Govt. of U.P. G.O. No. 446/81-7-2020-39(Parya) 2014 TC-1 dated 01/05/2020 shall prevail.","EC",NA
"981",3,"SIA/UP/MIN/134080/2019","5348","Ordinary earth mine, Village-badarka, Tehsil- Sadar,  District- Unnao, developed by  Sunil kumar","SUNIL KUMAR UNNAO","EC Granted","EC",NA
"982",4,"SIA/UP/MIN/134919/2020","5359","Proposed “Soil Excavation” Project at Gata No. – 229, 230, 342, 14, 21, 43, Village- Vandha & Bandhichak, Tehsil- Tilhar, District Shahjanpur, Uttar Pradesh.","M/S RAM RAJ CONSTRUCTION","MoEF&CC, Govt. of India Notification No. S.O. 1224(E) dated 28/03/2020 and Govt. of U.P. G.O. No. 446/81-7-2020-39(Parya) 2014 TC-1 dated 01/05/2020 shall prevail.","EC",NA
"983",5,"SIA/UP/MIN/202170/2021","6232","SHRI RAJESH KUMAR SUREKA","SHRI RAJESH KUMAR SUREKA","Delisted","EC",NA
"984",6,"SIA/UP/MIS/224266/2021","6498","Expansion of Group Housing Project","M/S OZONE PROMOTERS PVT LTD","EC Granted","EC",NA
"985",7,"SIA/UP/MIN/55784/2020","","Area: 1.01 Ha  Sandstone (Building Stone) mining project at Araji No’. 01 Village-Ahirupur , Tehsil-Chunar, District- Mirzapur, U.P.","RUCHI SINGH 3","WithdrawEC","EC",NA
"986",9,"SIA/UP/MIS/50063/2018","5423/4613","Proposed  ""HI-Tech Township"" at village Devrakh Upperhar, Devrakh Kacchahar, Chak-Vishonath, Chak – Teju Dishi, Mavai – Upperhar, Madhanwan Upperhar, Lavayan Kalan Distt-Allahabad, Uttar Pradesh","M/S PANCHAM REALCON PVT. LTD","EC Granted","EC",NA
"987",10,"SIA/UP/MIN/138022/2020","","Jant Brick Field","JANTA BRICK FIELD","Delisted","EC",NA
"988",7,"SIA/UP/MIN/190731/2020","6096","“Ordinary Soil Excavation” Project at Gata No.– 424, Village-Veerpur Than , Tehsil- Moradabad, District- Moradabad, Uttar Pradesh. (Area:1.680 Ha.).","SHRI MUDASSIR KHAN","EC Granted","EC",NA
"989",3,"SIA/UP/MIN/70561/2020","6806-6087","Bhuwara Ehatmali Ordinary Sand Mining Project on Kosi River","M/S BABA DEEP SINGH ENTERPRISES","EC Granted","EC",NA
"990",4,"SIA/UP/MIN/247782/2021","","Red Morrum Mining (by the weathering of stony rocks)","NEELAM BARONIA","WithdrawEC","EC",NA
"991",6,"SIA/UP/MIN/127078/2019","5255","Sisi, Gohli,Purthyovan,Salhi Nainpur&Dhamiyana Brick Earth Mininig Project","MS RAMA BRICK FIELD","MoEF&CC, Govt. of India Notification No. S.O. 1224(E) dated 28/03/2020 and Govt. of U.P. G.O. No. 446/81-7-2020-39(Parya) 2014 TC-1 dated 01/05/2020 shall prevail.","EC",NA
"992",7,"SIA/UP/MIN/127744/2019","5373","Gopalpur Madhiya","PARAM HANSH INT BHATHHA","EC Granted","EC",NA
"993",8,"SIA/UP/MIN/128137/2019","5271","“Soil Excavation” Project at Gata No. 1730/20 & Gata No. 1730/23 of Area 0.530 Ha, Village- Shivpuri, Tehsil- B.K.T., District- Lucknow (U.P.)","M/S ARIHANT CONSTRUCTIONS","EC Granted","EC",NA
"994",9,"SIA/UP/MIN/128171/2019","5270","“Soil Excavation” Project at Gata No. 364, 365 & Gata No. 367 of Area 1.261 Ha, Village- Parsau, Pargana: Mahona, Tehsil- B.K.T., District- Lucknow (U.P.)","M/S ARIHANT CONSTRUCTIONS","EC Granted","EC",NA
"995",10,"SIA/UP/MIN/128195/2019","5269","Proposed “Soil Excavation” Project at Gata No. 288 of Area 4.101 Ha, Village- Sonava, Tehsil- B.K.T., District- Lucknow (U.P.)","M/S ARIHANT CONSTRUCTIONS","EC Granted","EC",NA
"996",6,"SIA/UP/MIS/105150/2019","4810","New District Jail","JAIL SUPERITENDANT","Delisted","EC",NA
"997",8,"SIA/UP/MIN/221534/2021","6478","Ordinary Soil Excavation” Project at Gata No.–1, 24, 26, 27, 28, 29, 33 Village-Palanpur, Tehsil-Bilari, District- Moradabad, Uttar Pradesh","M/S MAHAKAL CONSTRUCTION COMPANY","EC Granted","EC",NA
"998",2,"SIA/UP/MIN/245249/2021","6796","“Ordinary Sand Mining” Project at Gata No.- 293 & 307, Village- Rampur Dhamman, Tehsil- Tanda, District- Rampur, U.P. (Leased Area : 1.0190 ha.)","M/S UMAR GOODS TRANSPORT & ENT.","EC Granted","EC",NA
"999",5,"SIA/UP/MIS/289580/2022","","Uninav Utopia","UNINAV DEVELOPERS PRIVATE LIMITED","WithdrawEC","EC",NA
"1000",6,"SIA/UP/MIN/129602/2019","","BRICK EARTH MINE VILLAGE BARLA & DATAWALI ALIGARH","NEW SAYAMA ENT UDYOG","Delisted","EC",NA
"1001",7,"SIA/UP/MIN/129669/2019","","Brick Earth Mining","NEELKANTH ENT UDYOG","Delisted","EC",NA
"1002",9,"SIA/UP/MIN/67411/2021","6559-6104","Girwan Granite(Khanda, Gitty, Boulder )Mining project","M/S BAJRANG ROADLINE","EC Granted","EC",NA
"1003",10,"SIA/UP/IND/67748/2021","6616","Proposed Clinker Grinding Unit with Cement Production Capacity of 4.0 MTPA (Phase - I: 2.0 MTPA & Phase - II: 2.0 MTPA), DG Set (6.5 MW) along with Railway Siding at Village: Somna, Tehsil: Gabhana, District: Aligarh (Uttar Pradesh) by M/s. Wonder Cement Limited","WONDER CEMENT LIMITED","EC Granted","EC",NA
"1004",1,"SIA/UP/MIN/231033/2021","6588","Proposed “Ordinary Soil Excavation” Project at Gata No.–95, 79Ka,79Kha Village-Chaurahiya, Tehsil-Mohanlalganj, District-Lucknow, Uttar Pradesh.","M/S UJJWAL INDIA ENTERPRISES","EC Granted","EC",NA
"1005",2,"SIA/UP/MIS/108100/2019","4869","Technical Training & Development Centre Complex","NTPC Limited","EC Granted","EC",NA
"1006",5,"SIA/UP/MIN/45811/2019","5282","M/S Vaishno Eint Udyog, Brick Earth Mining at Gata No. – 303, 1673, Vill-Manat Manti, Pargana-Thanabhawan,  Tehsil & District-Shamli, U.P.","M/S  VAISHNO EINT UDYOG","MoEF&CC, Govt. of India Notification No. S.O. 1224(E) dated 28/03/2020 and Govt. of U.P. G.O. No. 446/81-7-2020-39(Parya) 2014 TC-1 dated 01/05/2020 shall prevail.","EC",NA
"1007",6,"SIA/UP/MIN/40605/2019","5256","Ms Amaan Brick Field","AMAAN BRICK FIELD","MoEF&CC, Govt. of India Notification No. S.O. 1224(E) dated 28/03/2020 and Govt. of U.P. G.O. No. 446/81-7-2020-39(Parya) 2014 TC-1 dated 01/05/2020 shall prevail.","EC",NA
"1008",7,"SIA/UP/MIN/143008/2020","5514","M/s Fanees Associates located at Gata No. 8 mi, 15 mi, 16 mi, 53 mi & 53 mi, Village- Pipri Ahatmali, Tehsil - Sadar, District - Gorakhpur","M/S FANEES ASOCIATES","EC Granted","EC",NA
"1009",9,"SIA/UP/MIS/282537/2022","7184","Proposed Group Housing Project at Plot No.GH-3B, Sector-12, Greater Noida (West), Gautam Buddha Nagar, Uttar Pradesh by M/s Sublime Realtech Private Limited","SUBLIME REALTECH PRIVATE LIMITED","EC Granted","EC",NA
"1010",4,"SIA/UP/MIN/48341/2019","5409","Building Stone(Sandstone), Gata No. 188Mi, Area- 0.909ha. ,Village-Lahaura, Tehsil- Chunar, Mirzapur.","MAMREJ CONSTRUCTION PVT. LTD.","EC Granted","EC",NA
"1011",6,"SIA/UP/MIS/265557/2022","7038","Proposed Commercial (Trehan-IRIS) at Plot No.C-02, Sector-Ecotech-12, Greater Noida, Uttar Pradesh by M/s Ruvik Build Tech Private Ltd.","RUVIK BUILD-TECH PRIVATE LIMITED","EC Granted","EC",NA
"1012",7,"SIA/UP/IND/42827/2018","5083/4184","CEMENT GRINDING UNIT BY M/S UDDYAM CEMENT PVT. LTD.","UDDYAM CEMENT","EC Granted","EC",NA
"1013",9,"SIA/UP/MIN/43061/2019","5307","M/s Sagar Brick Works , Khasra No. 02 in Village-Chamrola,Tehsil- Chandpur, District- Bijnor (U.P.)","MS SAGAR BRICK WORK","EC Granted","EC",NA
"1014",10,"SIA/UP/MIN/50571/2019","5494/4837","Building Stone (Khanda, Gitti & Boulder) Mine","S R INNOVATION LLP","EC Granted","EC",NA
"1015",1,"SIA/UP/MIN/67051/2020","6545-5579","River Bed Sand/Morrum Mining Project of Shri Dinesh Kumar Rajpoot at Village- Mo. Parwaripura, Tehsil Mauranipur, District -Jhansi, Uttar Pradesh","SHRI DINESH KUMAR RAJPOOT","EC Granted","EC",NA
"1016",2,"SIA/UP/MIN/258743/2022","6965","Sand Mining Project","GAURAV AGARWAL","EC Granted","EC",NA
"1017",6,"SIA/UP/MIN/71404/2017","3895","Sand Mining at yamuna River, Gata no- 1/2, Village- Gauripur, Tehsil- Bagpat, District- Bagpat, U.P.","MANGAL INFRA REALTY PVT LTD","EC Granted","EC",NA
"1018",7,"SIA/UP/MIN/29548/2018","4538","M/s Shri Construction","MS SHRI CONSTRUCTION","EC Granted","EC",NA
"1019",8,"SIA/UP/MIN/411004/2022","7449","Ordinary Soil Excavation” Project at Gata No.–85 at Village- Samadpur Buniyadpur, Tehsil- Kanth& District- Moradabad, Uttar Pradesh","RAVINDRA CHAUDHARY","EC Granted","EC",NA
"1020",9,"SIA/UP/MIN/436079/2023","8037-7378","Paswara Buiding Stone or Granite Khanda, Boulder, Baillast (Gitti) Mining project","MAYANK GUPTA","EC Granted","EC",NA
"1021",10,"SIA/UP/MIN/452636/2023","8485","TILOKPUR SOIL MINING PROJECT","KRISHNAKUMAR","EC Granted","EC",NA
"1022",1,"SIA/UP/MIN/40954/2019","4990","Environment Clearance for proposed Building Stone (Gitti-Boulder) Sand Stone mine, at Khasra no. /Plot no./ Gata No. – 1144, Khand No.3, Area 2.024 ha. (5.0 Acres) at Village – Mamauli, Tehsil- Meja, District- Prayagraj, Uttar Pradesh of M/s Kumar Garnitey/90284.","M/S KUMAR GARNITEY/90284","EC Granted","EC",NA
"1023",2,"SIA/UP/MIN/67254/2021","6611","“Building Stone (Khanda, Giiti, Boulder, Ballast) Mining Project” at Araji No.: 122, Khand No.:04, Area: 1.012 Ha, Village: Chitaiyan, Tehsil: Sadar, District: Mahoba, State: Uttar Pradesh","ARUN KUMAR PAHADI","EC Granted","EC",NA
"1024",5,"SIA/UP/MIN/45274/2019","","M/s DCM Brick Field","M/S DCM BRICK FIELD","Delisted","EC",NA
"1025",6,"SIA/UP/NCP/45255/2019","5156/4632","Construction of 4 lane Bundelkhand Expressway (expandable to 6 lane)","UTTAR PRADESH EXPRESSWAYS INDUSTRIAL DEVELOPMENT AUTHORITY (UPEIDA)","EC Granted","EC",NA
"1026",7,"SIA/UP/MIN/45577/2019","5218","BRICK EARTH MINE OF STAR BRICK FIELD","M/S STAR BRICKS FIELD","Delisted","EC",NA
"1027",8,"SIA/UP/MIN/50489/2019","","“Building Stone (Khanda, Gitti & Boulder) Mine","AMRIT KAUR","WithdrawEC","EC",NA
"1028",3,"SIA/UP/MIN/212567/2021","6303","“Building Stone (Khanda, Boulder, Bailast (Gitti))” Project at Gata No.-755/2, Village- Utiyan, Tehsil- Sadar, District- Mahoba, U.P. Pin-210424 (Applied Area : 1.081 ha.)","M/S PNC INFRATECH LTD.","EC Granted","EC",NA
"1029",5,"SIA/UP/MIN/269649/2022","7049","ordinary earth mine at village amoli hissampur tehsil ramnagar barabanki","HITENDRA VERMA","EC Granted","EC",NA
"1030",6,"SIA/UP/MIN/60482/2021","6151","building stone sandstone mine at village pattikalan tehsil chunar mirzapur","SHRI ABDUL HAMID ANSARI","EC Granted","EC",NA
"1031",7,"SIA/UP/MIS/68910/2021","6695","","SILKON BIOTECH PRIVATE LIMITED","EC Granted","EC",NA
"1032",8,"SIA/UP/MIS/38559/2019","4916","Group Housing Complex","M/S ROSEBERRY ESTATE LLP","EC Granted","EC",NA
"1033",1,"SIA/UP/MIS/126405/2019","5377","Proposed Group Housing at Plot No. GH-2 & 3, Scheme No.-03, Ambedkarpuram, Kanpur, U.P.","GEETIKA BUILDERS & DEVELOPERS PRIVATE LIMITED","Rejection Letter Granted","EC",NA
"1034",2,"SIA/UP/MIN/212127/2021","6363","BUILDING STONE, KHANDA, BOULDER, BALLAST (GITTY) MINE","MS AMAR SINGH & MAAN SINGH PAHARI PATTEDHARAK","EC Granted","EC",NA
"1035",4,"SIA/UP/MIS/108730/2019","","Proposed Group Housing Project "" Apex The Rio"" at Khasra No. 526/1, Kanawani Village, Ahinsa Khand-II, Ghaziabad, Uttar Pradesh by Rio Heights Pvt. Ltd.","RIO HEIGHTS PRIVATE LIMITED","Delisted","EC",NA
"1036",7,"SIA/UP/MIN/439750/2023","8063","LAIK AHMAD","LAEEK AHMAD","EC Granted","EC",NA
"1037",8,"SIA/UP/NCP/18475/2016","4217","Proposed Group Housing Project, At Plot No. –P 8, TS-02 A, Sector-22 D, Yamuna Expressway Industrial Development Authority, Noida (U.P.),","MS ATS REALITY PVT LTD","EC Granted","EC",NA
"1038",9,"SIA/UP/MIN/69642/2017","4502","Sand/Moram Mining” Project at Gata No.- 747/16, Village- Patharehta, Tehsil- Kalpi, District- Jalaun, U.P. at Betwa River
		(Leased Area: 22.0 Acre/ 8.90 ha.)","ASSOCIATED COMMERCE","Under examination of SEIAA - Processed offline","EC",NA
"1039",10,"SIA/UP/NCP/65255/2017","","Expansion of Omaxe Heights-II","M/S OMAXE LTD.","Under examination of SEIAA - Processed offline","EC",NA
"1040",1,"SIA/UP/NCP/61371/2016","3817","Govardhan Enclave","UTTAR PRADESH AWAS EVAM VIKAS PARISHAD","Under examination of SEIAA - Processed offline","EC",NA
"1041",2,"SIA/UP/MIN/409339/2022","7422-6701","Riverbed sand mining from Ghaghra river, having lease area 12.0 ha (30.00 acre) in Gata No.498jh, khand-2 at Village – Udhiya, Tehsil-Ramnagar, district-Barabanki, Uttar Pradesh of  Smt. Nitu Singh","SMT. NITU SIGH","EC Granted","EC",NA
"1042",3,"SIA/UP/MIN/62491/2017","3836","Gitty, Patthar, Boulder, Khandas at Arazi No 666, 669, 670, 671, 677 & 680 Village-Siki Kalan, Tehsil-Meja, District-Allahabad Leased Area- 6.07 ha (15.0 Acre.)","SHRI ANIL KUMAR TIWARI","Under examination of SEIAA - Processed offline","EC",NA
"1043",4,"SIA/UP/MIN/73677/2018","4152","Katri (khand 14/11 to 14/12) morrum mine on Yamuna river","KATRI MORRUM MINE","EC Granted","EC",NA
"1044",5,"SIA/UP/MIN/456322/2023","8612-7930","Area 1.821 Ha Gitti, Boulder (Sandstone) Mining Project At Araji No.295/1/2 (Khand-2) Village-Sukrit, Tehsil-Robertsganj, District- Sonbhadra, Uttar Pradesh.","VASHISHTH ENTERPRISES","EC Granted","EC",NA
"1045",6,"SIA/UP/MIN/440938/2023","8135","“Ordinary Sand Mine"" from riverbed of Ghaghra River at Village- Maraucha (Gata/Araji No.- 45 Kha, lease area-2.16 ha.), Tehsil- Rudauli, District- Ayodhya, Uttar Pradesh","PARASNATH JAISWAL","EC Granted","EC",NA
"1046",3,"SIA/UP/MIN/149806/2020","","Ordinary Soil Mining Project at Gata no 348ka,361kha,362kha,363,359,361ka,161,341ka,370,360ka,364 323,323 Village-Ramapur,Tehsil-Baldirai ,Dist.Sultanpur UP Area 3.312","APCO INFRA TECH PRIVATE LIMITED","Delisted","EC",NA
"1047",4,"SIA/UP/IND/149964/2020","5648/4629","Proposed Expansion of Induction Furnace and Rolling Mills 53000 MT PA induction furnace and 60000 MT TMT Bars to 2,25000 MT PA (115000 MT Ingot 110000 MT TMT Bars)  by M/s Sarvottam Rolling Mills Pvt","SARVOTTAM ROLLING MILLS PVT LTD","Rejection Letter Granted","EC",NA
"1048",5,"SIA/UP/MIN/149967/2020","5629","Ordinary Soil Mining","RS ASSOCIATES","MoEF&CC, Govt. of India Notification No. S.O. 1224(E) dated 28/03/2020 and Govt. of U.P. G.O. No. 446/81-7-2020-39(Parya) 2014 TC-1 dated 01/05/2020 shall prevail.","EC",NA
"1049",6,"SIA/UP/MIN/198712/2021","6206","“Ordinary Soil Excavation” Project at Gata No.– 255, 254/2, 211, 212, 195, 254/1, 254/4, 254/3, 254/5, 206, 213, Village-Golapanday urf Sandlipur Tehsil-Kanth  District- Moradabad, Uttar Pradesh.","SHRI. KULDEEP SINGH","EC Granted","EC",NA
"1050",7,"SIA/UP/MIS/56467/2020","5824/5650","PROPOSED ""NOIDA CONVENTION AND HABITAT CENTRE"" AT SECTOR 94, NOIDA, UTTAR PRADESH","NOIDA CONVENTION & HABITAT CENTRE","EC Granted","EC",NA
"1051",9,"SIA/UP/MIN/59846/2021","6122","Area :1.01 Ha Building Stone (Sandstone) mining project at Gata No’.705 Village-Bhagautidei, Tehsil- Chunar, District- Mirzapur, U.P.","MAA VINDHYAVASINI CONSTRUCTION","EC Granted","EC",NA
"1052",10,"SIA/UP/MIN/128796/2019","5371","Jay Durga Ent Udhyog","M/S JAY DURGA ENT UDHYOG","EC Granted","EC",NA
"1053",3,"SIA/UP/MIN/127184/2019","5596","Brick Earth Mine, Village- Ahraula & Shivala, Tehsil- Khair, District- Aligarh, developed by M/s Radha Krishna Ent Udyog","RADHA KRISHNA ENT UDYOG","MoEF&CC, Govt. of India Notification No. S.O. 1224(E) dated 28/03/2020 and Govt. of U.P. G.O. No. 446/81-7-2020-39(Parya) 2014 TC-1 dated 01/05/2020 shall prevail.","EC",NA
"1054",4,"SIA/UP/MIN/127215/2019","5241","Ordinary Earth Mining Project at Gata No. 735, 923, Village- Bhaurumau, Bakshi Ka Talab, District- Lucknow","M/S RAJEEV ASSOCIATES (PETTY CONTRACTOR)","EC Granted","EC",NA
"1055",5,"SIA/UP/MIN/127222/2019","5243","Ordinary Soil Mining Project at Gata No.- 1377Sa, Village- Malaha, Tehsil- Malihabad, District- Lucknow.","M/S RAJEEV & ASSOCIATE","EC Granted","EC",NA
"1056",9,"SIA/UP/IND2/59292/2020","6055","MAHAKAUSHAL AGRICROP INDIA PVT. LTD.","MAHAKAUSHAL AGRICROP INDIA PVT LTD","EC Granted","EC",NA
"1057",10,"SIA/UP/MIN/29934/2018","4573","Sand/Morrum mining having lease area 36.437 ha (90.03 acre) along River Yamuna in Khand No. 31/8 at Village – Pateora, Tehsil- Hamirpur, District- Hamirpur, U. P. of Sri Surendra Singh Chauhan","SRI SURENDRA SINGH CHAUHAN","Delisted","EC",NA
"1058",1,"SIA/UP/NCP/71364/2017","3891","Proposed International Level Cricket Stadium cum Sports Complex","M/S. ATS INFRATECH PVT. LTD.","EC Granted","EC",NA
"1059",2,"SIA/UP/MIN/408483/2022","7409-6977","Building Stone (Gitti, Boulder, Khanda) Sand Stone mine at Araji No./Plot No./Gata No.- 2061, Khand No.–2B, Area 4.048 ha (10.0 Acres) at Village – Bhatauti, Tehsil- Meja, District- Prayagraj, Uttar Pradesh of M/s Bansal Highway Infratech Pvt.Ltd","BANSAL HIGHWAY INFRATECH PRIVATE LIMITED","EC Granted","EC",NA
"1060",3,"SIA/UP/MIN/59519/2020","6088","BUILDING STONE (SANDSTONE) MINE AT VILLAGE- DHURIA, TEHSIL- CHUNAR, MIRZAPUR","LAL BIHARI YADAV","EC Granted","EC",NA
"1061",5,"SIA/UP/MIN/32731/2019","","“Brick Earth Mining” in Village- Lakshminagar Grant, Gata no- 719, 793, 867, 1024, 1189, 1196, Tehsil- Mankapur, District- Gonda (U.P)","M/S. PAWAN BRICK FIELD","Delisted","EC",NA
"1062",6,"SIA/UP/MIN/32851/2018","","M/s Shree Balaji Bricks Store","M/S SHREE BALAJI BRICKS STORE","Delisted","EC",NA
"1063",8,"SIA/UP/MIN/197353/2021","6183","Dadhiram Building Stone (Sand Stone) Mining project","SMT SHIVKUMARI DEVI","EC Granted","EC",NA
"1064",2,"SIA/UP/MIN/164514/2020","","BRICK KILN MINING PROJECT","SARASWATI BRICK FIELD","Delisted","EC",NA
"1065",3,"SIA/UP/MIS/192527/2021","6126","Construction of Proposed Project at Pocket-2 Land Development & Grahthan Yojna (Ajantapuram) Loni Road District: Ghaziabad (U.P.), Shri Rama Krishna Sehkari avas samiti Limited","SHRI RAM KRISHNA SEHKARI AVAS SAMITI LTD","EC Granted","EC",NA
"1066",4,"SIA/UP/MIN/65735/2020","6457/5921","Proposed “Building Stone (Khanda, Boulder, Bailast (Gitti))” Project","ARTI SAHU","EC Granted","EC",NA
"1067",8,"SIA/UP/MIS/103981/2019","4794","Proposed residential project","V.TECH BUILDCON","EC Granted","EC",NA
"1068",9,"SIA/UP/MIN/36118/2019","5425","Brick Earth Mining Project, M/s Solanki Brick Supply , Gata No :517, 511, 243  Village: Ladonazri, Tehsil : Shamli, Dist: Shamli","M/S SOLANKI BRICK SUPPLY","EC Granted","EC",NA
"1069",4,"SIA/UP/MIN/127967/2019","5276","SOIL EXCAVATION at   GATA No. 12, 16?, 20 ??o??o & GATA No. 21??,  AREA 3.648 Ha, VILLAGE- HARDAURPUR,  TEHSIL- B.K.T., DISTRICT- LUCKNOW (U.P.)","M/S ARIHANT CONSTRUCTIONS","EC Granted","EC",NA
"1070",7,"SIA/UP/MIS/46723/2019","","Common Effluent Treatment Plant for Tannery Cluster","JAJMAU TANNERY EFFLUENT TREATMENT ASSOCIATION","Delisted","EC",NA
"1071",8,"SIA/UP/MIN/126963/2019","5224","Soil Excavation Project","SHRI PRAMOD KUMAR S/O SHRI SONELAL","EC Granted","EC",NA
"1072",9,"SIA/UP/MIS/126424/2019","5213/4954","Expansion of IT/ITES office Building","HCL TECHNOLOGIES LTD","Delisted","EC",NA
"1073",3,"SIA/UP/MIN/49700/2020","","Ordinary Soil Mining Project by Jitendra Singh","JITENDRA SINGH MINING PROJECT","WithdrawEC","EC",NA
"1074",5,"SIA/UP/MIN/42178/2019","5087","Datavali Soil Brick Mine","TIRUPATI BALA JI ENT UDHYOG","MoEF&CC, Govt. of India Notification No. S.O. 1224(E) dated 28/03/2020 and Govt. of U.P. G.O. No. 446/81-7-2020-39(Parya) 2014 TC-1 dated 01/05/2020 shall prevail.","EC",NA
"1075",8,"SIA/UP/MIN/45292/2019","5146","Ordinary Earth Mining Project","MOHD ARMAN","EC Granted","EC",NA
"1076",1,"SIA/UP/MIS/170763/2020","5804","Proposed Group Housing Project at Plot No SC 01/C A7 Sector 150 Noida UP","ELICIT REALTECH PRIVATE LIMITED","EC Granted","EC",NA
"1077",2,"SIA/UP/MIS/170774/2020","5803","PROPOSED GROUP HOUSING PROJECT AT PLOT NO. SC-01/C-A8, SECTOR- 150, NOIDA, UP","ABET BUILDCON PRIVATE LIMITED","EC Granted","EC",NA
"1078",3,"SIA/UP/MIN/57876/2020","5968","Building Stone Sand Stone “Khandas, Gitti & Boulder Mining Project” at Khand No. DH/ 12, Gata No. 275,276 of Area: 6.758 Ha, Village: Dharawal, Tehsil: Meja, District: Prayagraj, State: Uttar Pradesh.","MR. CHANDAN KUMAR MAURYA","EC Granted","EC",NA
"1079",4,"SIA/UP/MIS/127973/2019","5275","Group Housing Project","GNIDA","EC Granted","EC",NA
"1080",9,"SIA/UP/MIN/58014/2019","5971/4877","Ralpur Ordinary Sand Mining Project on River Ganga  Area 8.49 h )","SHRI NITIN KUMAR PANDEY","EC Granted","EC",NA
"1081",10,"SIA/UP/MIS/60737/2021","6191","PROPOSED COMMON BIO-MEDICAL WASTE TREATMENT FACILITY At Village –Kumraua, Block – Soron, Tehsil & District- Kasganj (Uttar Pradesh),","INDO TECH WASTE SOLUTION","Delisted","EC",NA
"1082",1,"SIA/UP/MIN/34358/2019","4738","Dolo Stone 	(Khanda, Gitti, Boulders) Mine","SAI RAM ENTERPRISES","EC Granted - Processed offline","EC",NA
"1083",2,"SIA/UP/MIN/125889/2019","5219","Soil mining, gata no. 681,679,702,700,680,699,647,902,672,1018, Village- Jalalpur, Teh- Kadipur, District- Sultanpur","M/S RAJ ENT UDYOG","EC Granted","EC",NA
"1084",3,"SIA/UP/MIN/130883/2019","","Brick Earth Mine, Villages- Jolia Banaraspur & Kodari, Tehsil-Nawabganj, District- Barabanki, developed by M/s Janta Ent Udyog","JANTA ENT UDYOG","Delisted","EC",NA
