"","District","N","district_matched","Matched_distance_district","pc11_district_id","state_matched_district"
"472","Sambhal",7,"samba",2,22,"jammu kashmir"
"473","Sangareddy",331,"rangareddy",2,537,"andhra pradesh"
"474","Sangli",34,"sangli",0,531,"maharashtra"
"475","Sangrur",4,"sangrur",0,53,"punjab"
"476","Sant Kabir Nagar",10,"sant kabir nagar",0,186,"uttar pradesh"
"477","Sant Ravidas Nagar",5,"sant kabir nagar",8,186,"uttar pradesh"
"478","Saran",33,"saran",0,219,"bihar"
"479","Satara",138,"satara",0,527,"maharashtra"
"480","Satna",149,"satna",0,429,"madhya pradesh"
"481","Sawai Madhopur",119,"sawai madhopur",0,108,"rajasthan"
"482","Sehore",132,"sehore",0,445,"madhya pradesh"
"483","Seoni",153,"seoni",0,456,"madhya pradesh"
"484","Seraikela Kharsawan",30,"saraikela kharsawan",2,369,"jharkhand"
"485","Shahdol",62,"shahdol",0,460,"madhya pradesh"
"486","Shahid Bhagat Singh Nagar(Nawansheher Tahsil)",4,"shahid bhagat singh nagar",20,39,"punjab"
"487","Shahjahanpur",45,"shahjahanpur",0,152,"uttar pradesh"
"488","Shajapur",77,"shajapur",0,436,"madhya pradesh"
"489","Shamli",65,"chamoli",3,57,"uttarakhand"
"490","Sheikhpura",28,"sheikhpura",0,228,"bihar"
"491","Sheopur",37,"sheopur",0,418,"madhya pradesh"
"492","Shimla",37,"shimla",0,33,"himachal pradesh"
"493","Shimoga",29,"shimoga",0,568,"karnataka"
"494","Shivamogga",7,"shimoga",3,568,"karnataka"
"495","Shivpuri",81,"shivpuri",0,423,"madhya pradesh"
"496","Shrawasti",2,"shrawasti",0,181,"uttar pradesh"
"497","Shri Muktsar Sahib",2,"muktsar",11,44,"punjab"
"498","Siddharthnagar",15,"siddharthnagar",0,184,"uttar pradesh"
"499","Siddipet",13,"sidhi",5,462,"madhya pradesh"
"500","Sidhi",105,"sidhi",0,462,"madhya pradesh"
"501","Sikar",451,"sikar",0,111,"rajasthan"
"502","Simdega",6,"simdega",0,367,"jharkhand"
"503","Sindhudurg",24,"sindhudurg",0,529,"maharashtra"
"504","Singrouli",111,"singrauli",2,463,"madhya pradesh"
"505","Sirmaur",84,"sirmaur",0,32,"himachal pradesh"
"506","Sirohi",208,"sirohi",0,117,"rajasthan"
"507","Sirsa",3,"sirsa",0,79,"haryana"
"508","Sitamarhi",16,"sitamarhi",0,206,"bihar"
"509","Sitapur",46,"sitapur",0,154,"uttar pradesh"
"510","Sivaganga",77,"sivaganga",0,622,"tamil nadu"
"511","Siwan",32,"siwan",0,218,"bihar"
"512","Solan",81,"solan",0,31,"himachal pradesh"
"513","Solapur",96,"solapur",0,526,"maharashtra"
"514","Sonapur",63,"solapur",2,526,"maharashtra"
"515","Sonbhadra",53,"sonbhadra",0,200,"uttar pradesh"
"516","Sonipat",23,"sonipat",0,76,"haryana"
"517","South",1,"south goa",4,586,"goa"
"518","South 24 Parganas",68,"south goa",10,586,"goa"
"519","South West",5,"north west",4,90,"nct of delhi"
"520","Sri Ganganagar",24,"ganganagar",4,99,"rajasthan"
"521","Srikakulam",335,"srikakulam",0,542,"andhra pradesh"
"522","Sukma",18,"surat",4,492,"gujarat"
"523","Sultanpur",25,"sultanpur",0,179,"uttar pradesh"
"524","Sundargarh",83,"sundargarh",0,374,"odisha"
"525","Supaul",19,"supaul",0,208,"bihar"
"526","Surajpur",98,"raipur",4,410,"chhattisgarh"
"527","Surat",1254,"surat",0,492,"gujarat"
"528","Surendranagar",319,"surendranagar",0,475,"gujarat"
"529","Surguja",49,"surguja",0,401,"chhattisgarh"
"530","Suryapet",35,"surat",3,492,"gujarat"
"531","Tapi",278,"tapi",0,493,"gujarat"
"532","Tarn Taran",10,"tarn taran",0,50,"punjab"
"533","Tehri Garhwal",2,"tehri garhwal",0,59,"uttarakhand"
"534","Thane",685,"thane",0,517,"maharashtra"
"535","Thanjavur",45,"thanjavur",0,620,"tamil nadu"
"536","The Nilgiris",2,"the nilgiris",0,611,"tamil nadu"
"537","Theni",154,"theni",0,624,"tamil nadu"
"538","Thiruvananthapuram",100,"thiruvananthapuram",0,601,"kerala"
"539","Thoothukkudi",125,"thoothukkudi",0,627,"tamil nadu"
"540","Thrissur",51,"thrissur",0,594,"kerala"
"541","Tikamgarh",121,"tikamgarh",0,424,"madhya pradesh"
"542","Tiruchirappalli",127,"tiruchirappalli",0,614,"tamil nadu"
"543","Tirunelveli",306,"tirunelveli",0,628,"tamil nadu"
"544","Tiruppur",179,"tiruppur",0,633,"tamil nadu"
"545","Tiruvallur",315,"thiruvallur",1,602,"tamil nadu"
"546","Tiruvannamalai",225,"tiruvannamalai",0,606,"tamil nadu"
"547","Tiruvarur",17,"thiruvarur",1,619,"tamil nadu"
"548","Tonk",409,"tonk",0,120,"rajasthan"
"549","Trichy",6,"raichur",5,559,"karnataka"
"550","Tumkur",170,"tumkur",0,571,"karnataka"
"551","Udaipur",345,"udaipur",0,130,"rajasthan"
"552","Udupi",142,"udupi",0,569,"karnataka"
"553","Ujjain",165,"ujjain",0,435,"madhya pradesh"
"554","Umaria",77,"umaria",0,431,"madhya pradesh"
"555","Una",77,"una",0,29,"himachal pradesh"
"556","Unnao",74,"unnao",0,156,"uttar pradesh"
"557","Uttar Dinajpur",15,"uttar dinajpur",0,330,"west bengal"
"558","Uttara Kannada",58,"uttara kannada",0,563,"karnataka"
"559","Vadodara",691,"vadodara",0,486,"gujarat"
"560","Vaishali",17,"vaishali",0,220,"bihar"
"561","Valsad",386,"valsad",0,491,"gujarat"
"562","Varanasi",27,"varanasi",0,197,"uttar pradesh"
"563","Vellore",220,"vellore",0,605,"tamil nadu"
"564","Vidisha",137,"vidisha",0,443,"madhya pradesh"
"565","Vijayanagara",11,"vizianagaram",6,543,"andhra pradesh"
"566","Vijayapura",34,"bijapur",5,417,"chhattisgarh"
"567","Vikarabad",53,"nizamabad",6,533,"andhra pradesh"
"568","Viluppuram",217,"viluppuram",0,607,"tamil nadu"
"569","Virudhunagar",196,"virudhunagar",0,625,"tamil nadu"
"570","Visakhapatnam",309,"visakhapatnam",0,544,"andhra pradesh"
"571","Vizianagaram",225,"vizianagaram",0,543,"andhra pradesh"
"572","Wanaparthy",12,"panipat",7,75,"haryana"
"573","Warangal",203,"warangal",0,540,"andhra pradesh"
"574","Warangal R",9,"warangal",2,540,"andhra pradesh"
"575","Warangal U",16,"warangal",2,540,"andhra pradesh"
"576","Wardha",108,"wardha",0,504,"maharashtra"
"577","Washim",25,"washim",0,502,"maharashtra"
"578","Wayanad",32,"wayanad",0,590,"kerala"
"579","West Champaran",32,"west nimar",8,440,"madhya pradesh"
"580","West Garo Hills",1,"west garo hills",0,293,"meghalaya"
"581","West Godavari",174,"west godavari",0,546,"andhra pradesh"
"582","West Medinipur",126,"west nimar",8,440,"madhya pradesh"
"583","West Nimar",10,"west nimar",0,440,"madhya pradesh"
"584","West Singhbhum",4,"west siang",6,250,"arunachal pradesh"
"585","YSR ",1,"mysore",4,577,"karnataka"
"586","Yadadri Bhuvanagiri",132,"darbhanga",12,215,"bihar"
"587","Yadgir",67,"yadgir",0,580,"karnataka"
"588","Yamunanagar",31,"yamunanagar",0,71,"haryana"
"589","Yavatmal",129,"yavatmal",0,510,"maharashtra"
"590","chittorgarh",1086,"chittaurgarh",3,126,"rajasthan"
"591","dholpur",128,"dhaulpur",3,106,"rajasthan"
"592","kalaburagi",173,"kargil",6,4,"jammu kashmir"
"593","kutch",784,"punch",4,5,"jammu kashmir"
