,Proposal Number,Project Name,Project Sector,Date of Submission,Submitted by Proponent,Query for Shortcoming(if any) by SEIAA,Resubmission of Proposal by Proponent 1,Accepted by SEIAA and forwarded to SEAC,Query for Shortcoming(if any) by SEAC,Resubmission of Proposal by Proponent 2,Accepted by SEAC,Forwarded to SEIAA for EC,EC Letter Uploaded On/EC Granted
91,SIA/OR/MIS/235383/2021,Residential Colony Project,INFRA-2,26 Oct 2021,22/10/2021,26/10/2021,26/10/2021,02/11/2021,,,03/11/2021,14/02/2022,07/05/2022
92,SIA/OR/MIN/256331/2022,Proposal for grant of EC of TENGANABASA SAND QUARRY over an area 12.35 acre or 4.997 hec in Tenganabasa village of Komna tahasil in Nuapada dist. Odisha,Non-Coal Mining,12 Feb 2022,12/02/2022,,,15/03/2022,,,11/04/2022,19/04/2022,11/05/2022
93,SIA/OR/MIN/255419/2022,"Proposal for grant of EC of TETERKELA SAND BED over an area 11.52 ac or 4.662 hect  in Teterkela village of Biramitrapur tahasil in Sundargarh district, Odisha",Non-Coal Mining,07 Feb 2022,07/02/2022,,,19/02/2022,,,14/03/2022,24/03/2022,03/06/2022
94,SIA/OR/MIN/256709/2022,"NEW PROPOSAL FOR GRANT OF EC OF BADAMASINGAM SAND QUARRY OVER 1.30 HA. OR 3.20ACRES  IN VILLAGE BADAMASINGAM UNDER NABARANGPUR  TAHASIL OF NABARANGPUR DISTRICT, ODISHA.",Non-Coal Mining,10 May 2022,15/02/2022,15/03/2022,,,,,,,
95,SIA/OR/MIN/256859/2022,"NARAHARIPUR ROAD METAL QUARRY OVER AN AREA OF 0.92 HECTARES IN VILLAGE NARAHARIPUR UNDER ODAPADA TAHASIL  OF DHENKANAL TAHASIL SUBMITTED UNDER CLUSTER APPROACH  WITH CONSISTING OF 3 STONE QUARRIES , TOTAL CLUSTER AREA  3.242 HECTARES",Non-Coal Mining,16 Feb 2022,16/02/2022,,,19/02/2022,,,14/03/2022,24/03/2022,18/07/2022
96,SIA/OR/MIN/270401/2022,"Jyotipur Sand Quarry over an area of 8.00 ac or 3.24 ha in village Jyotipur of Champua Tahasil of Keonjhar district, Odisha.",Non-Coal Mining,30 Apr 2022,30/04/2022,,,22/05/2022,,,03/06/2022,,18/07/2022
97,SIA/OR/MIN/64155/2021,"New Proposed project of Basupali Stone Quarry- 1 with proposed excavation of 4095 CuM/Year of stone, of Tahasildar Balangir having an area of 1.78 ha,located at Khata no. 14, Plot no. 79 Kisam Kudar, Village: Basupali, Tahasil: Balangir,Dist: Balangir, Odisha",Non-Coal Mining,19 Jul 2022,08/06/2022,,,22/07/2022,,,08/08/2022,,
98,SIA/OR/MIS/116748/2019,"Proposed Construction of Teaching Hospital for the new Govt. Medical college at Baripada, Odisha",INFRA-2,04 Jan 2020,04/01/2020,11/09/2019,04/01/2020,28/01/2020,,,31/01/2020,27/02/2020,06/08/2020
99,SIA/OR/MIN/71435/2020,"Proposal for EC for Kulei Sand Quarry over lease area of 50 Acres/20.234 Ha. at Kulei, Tahasil- Parjang, District- Dhenkanal of Tahasildar, Parjang.",Non-Coal Mining,08 Aug 2022,21/07/2022,29/07/2022,08/08/2022,16/08/2022,,,22/08/2022,,03/12/2022
100,SIA/OR/MIN/253343/2022,Fulguntha II Stone Quarry over an area of 1.92 Acre or 0.777 Hectares in village Fulguntha under Sukruli Tahasil of Mayurbhanj District of Odisha.,Non-Coal Mining,05 Mar 2022,26/01/2022,29/01/2022,05/03/2022,17/03/2022,,,11/04/2022,20/04/2022,11/05/2022
101,SIA/OR/MIN/253913/2022,"For the grant of EC of Damodarpur Stone Quarry (Khata No-161, Plot No-2, 17) over an area of 2.90 acres or 1.173 hacters in village Damodarpur under Boudh Tahasil of Boudh District, Odisha.",Non-Coal Mining,29 Jan 2022,29/01/2022,,,02/02/2022,,,22/02/2022,06/03/2022,31/03/2022
102,SIA/OR/MIN/255184/2022,"NEW PROPOSAL FOR GRANT OF EC OF SAMALPUR STONE QUARRY OVER AREA 2.55HA OR 6.30AC IN VILLAGE SAMALPUR UNDER RAIGHAR TAHASIL OF NABARANGPUR DISTRICT, ODISHA",Non-Coal Mining,07 May 2022,05/02/2022,08/02/2022,07/05/2022,10/05/2022,,,20/05/2022,,30/06/2022
103,SIA/OR/MIN/227590/2021,KALACHUA NEW BUILDING STONE QUARRY (CHA),Non-Coal Mining,14 Sep 2021,09/09/2021,09/09/2021,14/09/2021,05/11/2021,,,04/12/2021,04/12/2021,30/12/2021
104,SIA/OR/MIN/251390/2022,"Proposal for EC Chidupali Sand Bed-B over an area  12.182Acre or 4.930 Hectare in Chidupali village of Malkangiri Tahasil in Malkangiri district, Odisha",Non-Coal Mining,23 Mar 2022,13/01/2022,01/03/2022,23/03/2022,10/04/2022,,,13/05/2022,,07/06/2022
105,SIA/OR/MIN/59702/2021,"Krushnachandrapur stone quarry No. 7 over 8.85 Ac. or 3.581 Ha. located in Village: Krushnachandrapur, Tahasil: Banarpal, Dist: Angul (Under Cluster approach of Krushnachandrapur building stone cluster, area 17.18 Ha. or 42.44 Acres)",Non-Coal Mining,22 Jan 2022,22/01/2022,,,29/01/2022,,,03/02/2022,04/04/2022,02/06/2022
106,SIA/OR/MIN/273208/2022,"Motigam Stone Quarry - III over an area of 1.50 acres or 0.607 hectares bearing Khata no. 654, Plot no. 3119, in village Motigam, Tahasil- Kodinga, District- Nabarangpur State Odisha.",Non-Coal Mining,18 Aug 2022,16/05/2022,08/06/2022,18/08/2022,22/08/2022,,,06/09/2022,,20/01/2023
107,SIA/OR/MIS/274180/2022,Residential Residential Project at Mouza Dumduma Tehsil Bhubaneswar District Khurda Odisha,INFRA-2,22 May 2022,22/05/2022,,,23/05/2022,,,23/05/2022,,22/09/2022
108,SIA/OR/MIN/250235/2022,"Bagheipadar Stone Quarry over an area of 2.00 acres or  0.809 hectares bearing Khata no.63, Plot no. 58 in Bagheipadar village of  Koraput Tahasil, District Koraput,State Odisha",Non-Coal Mining,25 May 2022,06/01/2022,26/01/2022,25/05/2022,30/06/2022,,,22/07/2022,,07/02/2023
109,SIA/OR/MIN/249962/2022,"Sapsil  Stone Quarry over an area of 2.00 acres or 0.809 hectares bearing Khata no. 76, Plot no. 461 in Sapsil village of Koraput Tahasil.",Non-Coal Mining,05 Jan 2022,05/01/2022,,,21/01/2022,,,22/02/2022,05/03/2022,30/03/2022
110,SIA/OR/MIS/230310/2021,"Residential Colony project at Mouza-Madanpur, Khurda, Bhubaneswar, Odisha",INFRA-2,25 Sep 2021,20/09/2021,22/09/2021,25/09/2021,02/11/2021,,,03/11/2021,14/02/2022,08/03/2022
111,SIA/OR/MIS/230437/2021,"Proposed housing Project for Environmental clearance of 2B+S+11 multi storied residential apartment & 2B+G+9 storied Commercial Building in Mouza- Patia, Bhubaneswar, Dist- Khurda, Odisha.",INFRA-2,15 Nov 2021,05/10/2021,14/11/2021,15/11/2021,22/11/2021,,,02/12/2021,,22/07/2022
112,SIA/OR/MIN/59702/2021,"Krushnachandrapur stone quarry No. 5 over 5.63 Ac. or 2.278 Ha. located in Village: Krushnachandrapur, Tahasil: Banarpal, Dist: Angul (Under Cluster approach of Krushnachandrapur building stone cluster, area 17.18 Ha. or 42.44 Acres)",Non-Coal Mining,22 Jan 2022,22/01/2022,,,29/01/2022,,,03/02/2022,04/04/2022,02/06/2022
113,SIA/OR/MIS/214339/2021,"Proposed Residential/ Commercial Apartment Tower-1 (2B+G+9), Tower-2 (2B+G+22) & Tower-3 (2B+G+23) at Mouza- Pahal, Bhubaneswar, Dist- Khurda, Odisha.",INFRA-2,23 Jun 2021,09/06/2021,14/06/2021,23/06/2021,23/07/2021,,,29/07/2021,16/01/2022,08/02/2022
114,SIA/OR/MIN/249539/2022,"Pallur Hill Stone Quarry over an area of 10.00 Acers or 4.046 Ha having Khata No. 42 Plot No. 67/P & 69/P in the village Pallur Hill, Tahasil Konisi in District Ganjam, State Odisha.",Non-Coal Mining,03 Jan 2022,03/01/2022,,,18/01/2022,,,03/02/2022,15/02/2022,11/03/2022
115,SIA/OR/MIN/242214/2021,GOGANDA- III STONE QUARRY,Non-Coal Mining,04 Jun 2022,02/12/2021,21/05/2022,04/06/2022,01/07/2022,,,22/07/2022,,07/09/2022
116,SIA/OR/MIN/69858/2020,"Chandanpur  Decorative Stone Mines over an area of 3.602 Ha, Vill- Chandanpur, Tahasil- Lanjigarh, District- Kalahandi, Odisha (Case of Cluster, Cluster area 13.298 Ha)",Non-Coal Mining,04 Jan 2022,04/01/2022,,,11/01/2022,,,21/01/2022,22/03/2022,19/04/2022
117,SIA/OR/MIN/245280/2021,Proposal for grant of Environmental clearance of  Behera Stone Quarry over an area of 2.34 Acre or 0.946 Hects. in Behera village under Dharamgarh Tahasil of Kalahandi District.,Non-Coal Mining,04 Feb 2022,16/12/2021,29/01/2022,04/02/2022,05/02/2022,,,22/02/2022,06/03/2022,
118,SIA/OR/MIN/265814/2022,"Kusei Sand Bed, Deogaon over an area of 11.50 ac or 4.654 ha in village Deogaon of Ghasipura Tahasil of Keonjhar district, Odisha.",Non-Coal Mining,07 Nov 2022,04/04/2022,20/10/2022,07/11/2022,27/11/2022,,,17/12/2022,,27/04/2023
119,SIA/OR/MIS/234263/2021,"Construction of B+G+5 Jagannath Ballav Pilgrim Center over an area of 9.127 Acres at Mauza Dandimala Sahi, Puri Town, Tahasil, Puri, Dist: Puri, Odisha",INFRA-2,26 Nov 2021,15/10/2021,26/10/2021,26/11/2021,01/12/2021,,,08/12/2021,,
120,SIA/OR/MIN/225334/2021,"Environmental Clearance of Nimrula-III Stone Quarry over an area of 1.00 acres or 0.404 hectares at village nimurla under Titilagarh tahasil of Balangir District, Odisha",Non-Coal Mining,11 Sep 2021,30/08/2021,02/09/2021,11/09/2021,02/11/2021,,,09/11/2021,11/01/2022,31/01/2022
121,SIA/OR/MIN/250720/2022,"Proposal for Fresh Environmental Clearance of Kuturamal Sand Quarry over an area of 12.30 Acres or 4.977 Hectares at village Kuturamal, Tahasil-Paikmal,District-Bargarh, Odisha of Sri Subhransu Panda",Non-Coal Mining,03 Feb 2022,10/01/2022,30/01/2022,03/02/2022,06/02/2022,,,22/02/2022,06/03/2022,04/04/2022
122,SIA/OR/MIN/56737/2020,Riverbed mining of Burjango Sand Quarry,Non-Coal Mining,04 Jan 2022,04/01/2022,,,11/01/2022,,,21/01/2022,,03/12/2022
123,SIA/OR/MIN/249092/2021,Jamdapal Brick Earth Quarry Over an area of 2.15 Acres or 0.870 hectares in village Jamdapal under Sukruli Tahasil of Mayurbhanj District of Odisha.,Non-Coal Mining,31 Dec 2021,31/12/2021,,,15/01/2022,,,03/02/2022,15/02/2022,11/03/2022
124,SIA/OR/MIN/261465/2022,Penguda Sand quarry  at village Penguda under Gunupur Tahasil Rayagada District Odisha,Non-Coal Mining,02 Apr 2022,17/03/2022,20/03/2022,02/04/2022,19/04/2022,,,13/05/2022,,17/08/2022
125,SIA/OR/MIN/245458/2021,KRUSHNAPUR SAND QUARRY 1 OVER AN AREA OF 9.00 ACRES OR 3.642 HECTARES IN VILLAGE KRUSHNAPUR UNDER CHAMPUA TAHASIL IN KEONJHAR DISTRICT ODISHA,Non-Coal Mining,17 Jan 2022,18/12/2021,23/12/2021,17/01/2022,28/01/2022,,,22/02/2022,05/03/2022,
126,SIA/OR/MIS/230678/2021,"Residential Project located at Mouza- Badaraghunathpur, District Khurda, Bhubaneswar Odisha by M/s United Construction Corporation.",INFRA-2,08 Oct 2021,22/09/2021,28/09/2021,08/10/2021,02/11/2021,,,03/11/2021,14/02/2022,06/05/2022
127,SIA/OR/MIN/257402/2022,Proposal for grant of Environmental Clearance of Antarla Sand Bed over an area of 10.00 Acres or 4.048 Hectares in village Antarla under Titilagarh tahasil of Balangir district.,Non-Coal Mining,21 Mar 2022,18/02/2022,16/03/2022,21/03/2022,21/03/2022,,,11/04/2022,21/04/2022,07/05/2022
128,SIA/OR/MIN/257736/2022,Proposal for grant of Environmental Clearance of Baladi (J) Stone Quarry over an area of 2.145 Acres or 0.868 Hectares in village Baladi (J) under Sonepur tahasil of Subarnapur district.,Non-Coal Mining,22 Mar 2022,22/02/2022,21/03/2022,22/03/2022,05/04/2022,,,13/05/2022,,30/06/2022
129,SIA/OR/MIN/279320/2022,"Panikorad Stone Quarry over an area of 2.95 acre or 1.194 hectare in village Panikorad under Banki Tahasil of Cuttack District, Odisha.",Non-Coal Mining,21 Jun 2022,21/06/2022,,,02/07/2022,,,22/07/2022,,22/09/2022
130,SIA/OR/MIN/277451/2022,"Guntha Stone Quarry over an area of 7.650 Acers or 3.096 Ha having Khata No. 60, Plot No. 205 in the village Guntha, Tahasil Pottangi in District Koraput, State Odisha.",Non-Coal Mining,09 Jun 2022,09/06/2022,,,21/06/2022,,,23/06/2022,,19/07/2022
131,SIA/OR/MIS/104066/2019,Proposed Multistoried Residential Building “Assotech Pride” of M/s. Assotech Sun Growth Abode LLP,INFRA-2,02 May 2019,02/05/2019,,,01/06/2019,,,22/06/2019,30/10/2019,06/11/2019
132,SIA/OR/MIS/234247/2021,"Construction of B+G+5 Jagannath Ballav Pilgrim Center over an area of 9.33 Acres at Mauza Dandimala Sahi, Puri Town, Tahasil, Puri, Dist: Puri, Odisha",INFRA-2,15 Oct 2021,15/10/2021,,,,,,,,
133,SIA/OR/MIN/257652/2022,Proposal for grant of Environmental Clearance of Mahulkhunt Morrum Quarry over an area of 2.970 Acres or 1.202 Hectares in village Mahulkhunt under Sonepur tahasil of Subarnapur district.,Non-Coal Mining,08 Apr 2022,21/02/2022,05/04/2022,08/04/2022,06/05/2022,,,20/05/2022,,30/07/2022
134,SIA/OR/MIN/271573/2022,"Lakarma Sand Quarry over an area of 12.355 acres or 5.00 hectares in village Lakarma under Sonepur Tahasil In Subarnapur District, Odisha.",Non-Coal Mining,09 May 2022,09/05/2022,,,23/05/2022,,,03/06/2022,,30/06/2022
135,SIA/OR/MIS/196594/2021,"Construction of township for staff proposed by M/s Tata Steel BSL Limited At : Village Narendrapur of Odapada Tahasil Dist. Dhenkanal in the Development plan area of Talcher-AngulMeramandali- Development Authority, And State Odisha.",INFRA-2,07 Feb 2021,07/02/2021,,,02/03/2021,,,22/03/2021,04/06/2021,01/01/1900
136,SIA/OR/MIN/270029/2022,Dumuria Stone Quarry over an area of 10.60 acres or 4.289 hectares in village Dumuria under Patna Tahasil of Keonjhar District of Odisha.,Non-Coal Mining,28 Apr 2022,28/04/2022,,,22/05/2022,,,03/06/2022,,22/07/2022
137,SIA/OR/MIN/256405/2022,"Biranchipur Stone Quarry over an area of 4.650 acres or 1.881 hectares bearing Khata no. 1635, Plot no. 3604 in village Biranchipur, Tahasil- Buguda, District- Ganjam State Odisha.",Non-Coal Mining,12 Feb 2022,12/02/2022,,,15/03/2022,,,11/04/2022,19/04/2022,11/05/2022
138,SIA/OR/MIN/59616/2019,"Cluster-2 mine which is constituted of Golaputakhua 28.189 HA, Duburi 2.72 HA, Hatia 32.442 HA, & Kalinga 19.805 HA over an area of 205.48 Acres or 83.156 Hectares located in villages Nijagadatapanga, Kiajhari, Jhinkijhari & Chhatrama of Khordha District, Odisha.",Non-Coal Mining,09 Jan 2021,09/01/2021,,,17/02/2021,,,02/03/2021,09/06/2021,01/01/1900
139,SIA/OR/MIN/282456/2022,Proposal for grant of Environmental Clearance of TENGANABASA KISHNA SAND QUARRY over an area 12.35ac or 4.997hec in Tenganabasa and Kishna village of Komna tahasil in Nuapada district Odisha,Non-Coal Mining,20 Jul 2022,08/07/2022,11/07/2022,20/07/2022,20/07/2022,,,25/07/2022,,
140,SIA/OR/MIN/283242/2022,Proposal for grant of Environmental Clearance of BIRJUPALI 2 STONE QUARRY over an area of 1.34ac or 0.542hec in Birjupali village of Sohela Tahasil in Bargarh district Odisha.,Non-Coal Mining,14 Jul 2022,14/07/2022,,,18/07/2022,,,22/07/2022,,22/08/2022
141,SIA/OR/MIS/275499/2022,Proposal for Environment Clearance of Proposed Residential Cum Commercial Apartment [Integrated envelope 3B + GF (commercial) upper stilt +First Floor (Amenity Floor)+ SF (service floor)+ 4 towers of  22 multi storied residential apartment building o,INFRA-2,27 Jun 2022,30/05/2022,20/06/2022,27/06/2022,02/07/2022,,,05/07/2022,,14/03/2023
142,SIA/OR/IND3/241796/2021,"Manufacturing of Vaccines and Bio-therapeutics including bio-processing, bulk formulation, filling, packaging and R&D for vaccine development",Industrial Projects - 3,06 Dec 2021,06/12/2021,,,08/12/2021,,,01/01/2022,,02/06/2022
