,Proposal,File_No,Proposal Name,State,District,Tehsil,Date_1,Date_2,Category,Company,Status
0,SIA/OR/IND2/224061/2021,,Establishment of 45.0 KLD grain based distillery alongwith 1.5 MW Power Plant,Orissa,Bargarh,Bijepur,Date of Submission for TOR: ,Date of Submission for EC: 20 Aug 2021 ,Industrial Projects - 2,BARGARH BIO FUELS DEVELOPMENT FOUNDATION,WithdrawEC
1,SIA/OR/MIN/251506/2022,251506/191-MINB2/01-2022,"Baitarani Sand-Bed in Baitarani river over an area of 12.30 acres or 4.978 hectares in Village Talagaon of Ghasipura Tahasil of Keonjhar district, Odisha State",Orissa,Kendujhar,Ghasipura,Date of Submission for EC: 15 Jan 2022 ,Date of Ec Granted : 31 Mar 2022,Non-Coal Mining,TAHASILDAR    GHASIPURA,EC Granted
2,SIA/OR/RIV/20975/2017,20975/01-RIVB1/01-2022,Upper Lanth Irrigation Project,Orissa,Balangir,Belpara,Date of Submission for EC: 24 Jan 2022 ,Date of Ec Granted : 30 Mar 2022,River Valley and Hydroelectric Projects,PADAMPUR INVESTIGATION DIVISION DEPARTMENT OF WATER RESOURCES,EC Granted
3,SIA/OR/MIN/261307/2022,,Tirtol Brick Earth Quarry over an area of 2.56 acres or 1.036 hectares in village Tirtol under Tirtol Tahasil in Jagatsinghpur District Odisha of Sri Patitapabana Hota Proprietor of Ms Sarada K. B. Bricks,Orissa,Jagatsinghapur,Tirtol,Date of Submission for TOR: ,Date of Submission for EC: 11 Mar 2022 ,Non-Coal Mining,PATITAPABAN HOTA,Delisted
4,SIA/OR/MIN/270252/2022,The project proponent ask to submit DSR copy with ,GOPALPUR STONE QUARRY   I over 2.40 acres in village Gopalpur Keonjhar tahasil Keonjhar,Orissa,Kendujhar,Kendujhar Town,Date of Submission for EC: 29 Apr 2022 ,Date of Ec Granted : 18 Jul 2022,Non-Coal Mining,"OFICE OF THE TAHASILDAR, KEONJHAR",EC Granted
5,SIA/OR/MIN/247861/2021,247861/637-MINB2/04-2022,"GUDARIKHAND STONE QUARRY, OVER AN AREA 1.2141 Ha. PLOT NO: 492, KHATA NO: 86, AT: GUDARIKHAND, TAHASIL: DIGAPAHANDI, DIST: GANJAM, ODISHA.",Orissa,Ganjam,Digapahandi,Date of Submission for TOR: ,Date of Submission for EC: 09 Apr 2022 ,Non-Coal Mining,M/S. PREMEX,Rejection Letter Granted
6,SIA/OR/MIN/239028/2021,239028/81-MINB2/11-2021,Bhejangiwada Stone Quarry,Orissa,Malkangiri,Kalimela,Date of Submission for EC: 26 Nov 2021 ,Date of Ec Granted : 01 Feb 2022,Non-Coal Mining,TAHASILDAR  KALIMELA,EC Granted
7,SIA/OR/MIN/236726/2021,236726/757-MINB2/05-2022,KHARASROTA NADI SAND DAITARIPUR,Orissa,Kendrapara,Aali,Date of Submission for EC: 23 May 2022 ,Date of Ec Granted : 22 Sep 2022,Non-Coal Mining,TAHASILDAR AUL,EC Granted
8,SIA/OR/MIN/252485/2022,252485/209-MINB2/01-2022,Uperbeda Stone Quarry Over an area of 5.76 Acre or 2.331 Hectares in village Uperbeda under Kusumi Tahasil of Mayurbhanj District of Odisha.,Orissa,Mayurbhanj,Kusumi,Date of Submission for EC: 21 Jan 2022 ,Date of Ec Granted : 11 May 2022,Non-Coal Mining, GAYATRI TRADERS,EC Granted
9,SIA/OR/MIN/71368/2021,71368/633-MINB1/04-2022,"Environmental Clearance for production of 19426 Cum/annum of river sand by Quarrying over Sanawaubari Devi Nadi Sand Quarry (ML area 8.093 ha) in village Sanawaubari, Biridi Tahsil of Jagatsinghpur District, Odisha by Smt. Krishna Das, W/o- Rasabihari Das At- Maindipur, Ps- Biridi, Jagatsinghpur, Odisha",Orissa,Jagatsinghapur,Jagatsinghapur,Date of Submission for EC: 26 Apr 2022 ,Date of Ec Granted : 30 Jun 2022,Non-Coal Mining,TAHASILDAR BIRIDI,EC Granted
10,SIA/OR/MIN/244806/2021,,KAINCHAPUR STONE QUARRY,Orissa,Ganjam,Digapahandi,Date of Submission for TOR: ,Date of Submission for EC: 14 Dec 2021 ,Non-Coal Mining,SRI ABHAYA KUMAR NAHAK,Delisted
11,SIA/OR/MIN/262448/2022,262448/235-MINB2/03-2022,Morada Brick Earth Quarry Over an area of 3.20 Acres or 1.29 hectares in village Morada  under Morada Tahasil of Mayurbhanj District of Odisha,Orissa,Mayurbhanj,Muruda,Date of Submission for EC: 18 Mar 2022 ,Date of Ec Granted : 06 May 2022,Non-Coal Mining,UTTAM GHADEI,EC Granted
12,SIA/OR/MIN/263775/2022,263775/279-MINB2/06-2022,TALPATIA SAND BED B,Orissa,Jharsuguda,Jharsuguda,Date of Submission for EC: 08 Jun 2022 ,Date of Ec Granted : 29 Jul 2022,Non-Coal Mining,KULAMANI RANBIDA,EC Granted
13,SIA/OR/MIN/277568/2022,277568/293-MINB2/06-2022,"Kumbharamunda Stone Quarry over an area of 9.192 acres or 3.720 hectares bearing Khata no. 55, Plot no. 90 in Kumbharamunda village of Daringbadi Tahasil, District- Kandhamal State Odisha.",Orissa,Kandhamal,Daringbadi,Date of Submission for EC: 10 Jun 2022 ,Date of Ec Granted : 17 Aug 2022,Non-Coal Mining, TRISHAKTI CONSTRUCTIONS,EC Granted
