,Proposal Number,Project Name,Project Sector,Date of Submission,Submitted by Proponent,Query for Shortcoming(if any) by SEIAA,Resubmission of Proposal by Proponent 1,Accepted by SEIAA and forwarded to SEAC,Query for Shortcoming(if any) by SEAC,Resubmission of Proposal by Proponent 2,Accepted by SEAC,Forwarded to SEIAA for EC,EC Letter Uploaded On/EC Granted
499,SIA/WB/IND/23392/2017,Expansion of Cement Grinding Unit from 0.072 MTPA to 1.45 MTPA By upgrading/modifying Existing plant Technology & Facility and installing 1 x 1800 TPD + 1 X 200 TPD Ball Mill & 1 x 2000 TPD VRM,Industrial Projects - 1,03 Apr 2018,03/04/2018,,,06/04/2018,,,18/04/2018,15/05/2018,03/10/2018
500,SIA/WB/MIN/426964/2023,Kashipur Sand Mine (MIN_PUR_10),Non-Coal Mining,24 Apr 2023,24/04/2023,,,23/05/2023,,,29/05/2023,,28/07/2023
501,SIA/WB/MIS/56361/2016,Establishment of New Lighthouse at Tajpur,INFRA-2,21 Jun 2016,21/06/2016,01/07/2016,,,,,,,
502,SIA/WB/MIN/440454/2023,Paschim Dangapara Sand Mine (MIN_UD_12),Non-Coal Mining,15 Aug 2023,15/08/2023,,,25/08/2023,,,31/08/2023,,01/12/2023
503,SIA/WB/MIN/453015/2023,Jujuti Sand Mine,Non-Coal Mining,23 Nov 2023,23/11/2023,,,01/12/2023,,,,,
504,SIA/WB/MIN/408658/2022,BOURNIVITAR CHHAT,Non-Coal Mining,30 Nov 2022,30/11/2022,,,30/12/2022,,,02/01/2023,,
505,SIA/WB/MIN/412302/2022,DULALPUR GRANITE MINE,Non-Coal Mining,02 Feb 2023,27/12/2022,20/01/2023,02/02/2023,17/03/2023,,,21/03/2023,,
506,SIA/WB/IND/19745/2016,"Expansion of Existing Cement Grinding Unit from 3.6 MTPA to 4.8 MTPA to produce Portland Slag Cement (PSC), Portland Pozzolana Cement (PPC), Ordinary Portland Cement (OPC), Composite Cement & Ground Granulated Blast Furnace Slag (GGBS) at Salboni, District: Paschim Medinipur (West Bengal) by M/s. JSW Cement Ltd.",Industrial Projects - 1,23 Mar 2021,02/02/2021,22/02/2021,23/03/2021,06/04/2021,,,12/05/2021,,07/09/2017
507,SIA/WB/NCP/76550/2018,"Expansion of ""The 42""",INFRA-1,03 Oct 2018,03/10/2018,10/09/2018,03/10/2018,05/10/2018,,,16/11/2018,22/02/2019,25/03/2021
508,SIA/WB/INFRA2/401715/2022,Residential Complex by Rohora Developers Pvt. Ltd.,INFRA-2,29 Sep 2022,29/09/2022,,,17/10/2022,,,17/10/2022,,20/02/2023
509,SIA/WB/IND3/408543/2022,"Manufacturing of Butadiene based Synthetic Lattices of capacity 84,148 MT per annum.",Industrial Projects - 3,30 Nov 2022,30/11/2022,,,06/12/2022,,,09/12/2022,,10/03/2023
510,SIA/WB/MIN/240356/2021,Khudrapur sand mine on Ajay river,Non-Coal Mining,23 Nov 2021,23/11/2021,,,,,,,,
511,SIA/WB/MIS/107017/2019,UPABAN,INFRA-2,26 Jul 2019,26/07/2019,06/06/2019,26/07/2019,29/07/2019,,,23/12/2019,,28/04/2023
512,SIA/WB/MIN/191049/2021,GOYAL DANGA ARRAH BRICK EARTH MINE,Non-Coal Mining,28 Apr 2021,02/01/2021,22/01/2021,28/04/2021,01/09/2021,,,16/11/2021,,
513,SIA/WB/IND/220476/2021,Rolling Mill Steel Plant,Industrial Projects - 1,16 Jul 2021,16/07/2021,18/08/2021,,,,,,,
514,SIA/WB/MIN/432211/2023,Kashipur Sand Mine (MIN_PUR_20),Non-Coal Mining,04 Jun 2023,04/06/2023,,,21/06/2023,,,23/06/2023,,29/08/2023
515,SIA/WB/IND2/82368/2018,Setting up manufacturing unit of Acid Slurry (LABSA),Industrial Projects - 2,19 Nov 2018,19/11/2018,12/11/2018,19/11/2018,22/11/2018,,,13/12/2018,21/02/2019,14/02/2019
516,SIA/WB/IND2/30611/2017,Proposed expansion of unsaturated polyester resin production from 25 MTM to 481 MTM,Industrial Projects - 2,03 Jan 2019,03/01/2019,,,04/01/2019,,,05/03/2019,28/05/2019,16/10/2019
517,SIA/WB/MIN/415155/2023,Chengmari Sand Mine (MIN_APD_17_A),Non-Coal Mining,29 Jan 2023,29/01/2023,,,30/01/2023,,,03/02/2023,,10/03/2023
518,SIA/WB/MIN/408669/2022,Phd NIMBUTARI Sand Block,Non-Coal Mining,30 Nov 2022,30/11/2022,,,30/12/2022,,,02/01/2023,,
519,SIA/WB/MIS/64269/2017,Ideal Unique Centre,INFRA-2,28 Apr 2017,28/04/2017,,,,,,,,
520,SIA/WB/MIN/422364/2023,MIN_APD_18 Sand Mine,Non-Coal Mining,23 Mar 2023,23/03/2023,,,27/03/2023,,,27/03/2023,,
521,SIA/WB/IND3/410038/2022,Environmental Impact Assessment for Proposed 24 TPA GREEN FIELD Ambrettolide manufacturing unit  ,Industrial Projects - 3,22 Mar 2023,12/12/2022,16/12/2022,22/03/2023,04/04/2023,,,10/04/2023,,
522,SIA/WB/INFRA2/410450/2022,Residential Complex by Zenith Conclave LLP,INFRA-2,15 Dec 2022,15/12/2022,,,23/12/2022,,,09/01/2023,,02/06/2023
523,SIA/WB/MIN/60412/2016,Sand Mining Project of Sri Bishu Kora,Non-Coal Mining,22 Nov 2016,22/11/2016,17/11/2016,22/11/2016,25/11/2016,,,29/03/2017,18/07/2017,04/08/2017
524,SIA/WB/INFRA2/451092/2023,Proposed development of Residential Complex cum Hotel,INFRA-2,03 Nov 2023,03/11/2023,21/11/2023,,,,,,,
525,SIA/WB/NCP/66033/2017,"""LAKE BOULEVARD""",INFRA-1,27 Jul 2017,27/07/2017,12/07/2017,27/07/2017,02/08/2017,,,22/08/2017,05/12/2017,
526,SIA/WB/MIN/435925/2023,Mirik Riverbed Sand Mine (MIN_DJ_27),Non-Coal Mining,07 Jul 2023,07/07/2023,,,19/07/2023,,,21/07/2023,,
527,SIA/WB/IND/57057/2019,"Installation of 2x10 Tonnes lnduction Furnaces with Ladle Refining Furnace, Continuous Caster and 3000 MT/Month Rolling Mill",Industrial Projects - 1,13 Oct 2020,01/10/2020,08/10/2020,13/10/2020,03/11/2020,,,11/11/2020,20/01/2021,03/03/2023
528,SIA/WB/MIN/265030/2022,Bherbheri Manabari Sand Mine,Non-Coal Mining,31 Mar 2022,31/03/2022,,,,,,,,
529,SIA/WB/MIN/450723/2023,MIN_JH_1_II Sand Mine,Non-Coal Mining,06 Nov 2023,06/11/2023,,,24/11/2023,,,27/11/2023,,
530,SIA/WB/IND/18439/2015,"Environmental Clearance for Proposed Clinker Grinding, Capacity 5.0 Million TPA Cement, Captive Power Plant of  20 MW and residential colony near Village- Parbatpur& Digha, Block: Neturia, Sub-Division: Raghunathpur, Dist. Purulia, West Bengal.",Industrial Projects - 1,04 Feb 2017,04/02/2017,,,22/03/2017,,,17/04/2017,15/06/2017,12/06/2017
531,SIA/WB/MIN/402756/2022,Baguli Stone Mine,Non-Coal Mining,23 Dec 2022,23/12/2022,,,03/01/2023,,,09/01/2023,,28/04/2023
532,SIA/WB/MIS/90006/2018,INDIAN CRAFT VILLAGE TRUST ,INFRA-2,14 Jan 2019,14/01/2019,03/01/2019,14/01/2019,17/01/2019,,,26/02/2019,,
533,SIA/WB/NCP/64175/2017,Residential Complex - Building And Construction Project,INFRA-1,22 May 2017,22/05/2017,15/05/2017,22/05/2017,25/05/2017,,,29/06/2017,04/12/2017,21/02/2019
534,SIA/WB/NCP/30028/2018,"Setting up New AIIMS, Kalyani at Mouza-Basantpur, JL No.-90 & Mouza- Ghoragacha, JL No.-91, P.S- Chakdah, Dist-Nadia, West Bengal",INFRA-1,30 Nov 2018,30/11/2018,,,10/12/2018,,,,,
535,SIA/WB/MIN/408730/2022,CHITTALGHATA SAND & STONE MINE,Non-Coal Mining,22 Dec 2022,22/12/2022,,,03/01/2023,,,16/01/2023,,
536,SIA/WB/MIS/39137/2019,Residential Complex Kendriya Vihar,INFRA-2,12 Jul 2019,12/07/2019,,,22/07/2019,,,31/01/2020,27/02/2020,12/10/2020
537,SIA/WB/MIN/173919/2020,Riverbed Materials From Damodar River,Non-Coal Mining,18 Sep 2020,18/09/2020,12/10/2020,,,,,,,
538,SIA/WB/MIN/230109/2021,"Jamalpur Sand Mine, Manas Kumar Dhara",Non-Coal Mining,18 Sep 2021,18/09/2021,,,,,,,,
539,SIA/WB/MIN/181252/2020,"Subarnarekha river Bed project of Mandiara Dasadhikari Chanda, MSHB-1",Non-Coal Mining,09 Feb 2021,03/11/2020,10/01/2021,09/02/2021,15/03/2021,,,,,
540,SIA/WB/MIN/39614/2016,MANNA BRICKS MFG & TRADING PVT LTD. UNIT -II,Non-Coal Mining,12 Jan 2016,12/01/2016,11/01/2016,12/01/2016,15/01/2016,,,,,
541,SIA/WB/MIN/440161/2023,Gangarampur Sand Mine (MIN_MD_3),Non-Coal Mining,12 Aug 2023,12/08/2023,,,25/08/2023,,,31/08/2023,,01/12/2023
542,SIA/WB/IND2/29753/2017,Proposed synthetic resin manufacturing unit for the production of 6300 TPA synthetic resin,Industrial Projects - 2,01 Nov 2018,01/11/2018,,,12/11/2018,,,13/12/2018,19/07/2019,28/09/2020
543,SIA/WB/MIN/436782/2023,Gopinathpur Sand Mine (MIN_WMED_14),Non-Coal Mining,15 Jul 2023,15/07/2023,,,25/07/2023,,,28/07/2023,,05/10/2023
544,SIA/WB/INFRA2/411145/2022,Residential Complex by Ganguly Home Search Pvt. Ltd.,INFRA-2,20 Dec 2022,20/12/2022,13/01/2023,,,,,,,
545,SIA/WB/MIN/419975/2023,Balia Riverbed Sand Mine,Non-Coal Mining,26 Feb 2023,26/02/2023,,,09/03/2023,,,11/03/2023,,
546,SIA/WB/NCP/52721/2016,High Park Residencies,INFRA-1,09 Apr 2016,09/04/2016,22/04/2016,,,,,,,
547,SIA/WB/NCP/51657/2016,Business building including Commercial area and Office Area,INFRA-1,30 Mar 2016,30/03/2016,18/03/2016,30/03/2016,06/04/2016,,,26/04/2016,,
548,SIA/WB/MIN/434236/2023,Shikarpur Riverbed Sand Mine (MIN_EBUR_29),Non-Coal Mining,26 Jun 2023,26/06/2023,,,05/07/2023,,,07/07/2023,,31/08/2023
549,SIA/WB/INFRA2/401725/2022,Residential Building,INFRA-2,03 Nov 2022,29/09/2022,17/10/2022,03/11/2022,04/11/2022,,,16/11/2022,,16/10/2023
550,SIA/WB/NCP/9666/2016,"Proposed Expansion of Residential Complex, AVIDIPTA",INFRA-1,22 Feb 2016,22/02/2016,,,23/02/2016,,,18/03/2016,16/01/2017,11/04/2017
551,SIA/WB/MIN/407316/2022,PALASH SAND BLOCK,Non-Coal Mining,21 Nov 2022,21/11/2022,28/12/2022,,,,,,,
552,SIA/WB/MIN/421321/2023,Kota Riverbed sand mine ,Non-Coal Mining,24 Apr 2023,24/04/2023,,,29/05/2023,,,03/06/2023,,
553,SIA/WB/MIS/60117/2016,The Reserve,INFRA-2,18 Nov 2016,18/11/2016,04/11/2016,18/11/2016,22/11/2016,,,22/11/2016,22/03/2017,04/09/2018
554,SIA/WB/INFRA2/436559/2023,Residential Complex by Sanwaria Apartments Pvt. Ltd.,INFRA-2,28 Jul 2023,28/07/2023,,,28/07/2023,,,07/08/2023,,
555,SIA/WB/NCP/72216/2018,Expansion of Residential Complex by RDB Realty & Infrastructure Limited,INFRA-1,07 Mar 2018,07/03/2018,19/01/2018,07/03/2018,14/03/2018,,,16/03/2018,,02/06/2023
556,SIA/WB/IND2/21570/2013,METALIK FUEL PRIVATE LIMITED,Industrial Projects - 2,17 Jan 2018,17/01/2018,17/01/2018,17/01/2018,17/01/2018,,,17/01/2018,17/03/2018,07/05/2018
557,SIA/WB/NCP/75325/2018,"Expansion, Renovation & Modernization of Milan Mela by West Bengal Trade Promotion Organization",INFRA-1,18 Jun 2018,18/06/2018,08/06/2018,18/06/2018,18/06/2018,,,21/06/2018,25/07/2018,28/09/2020
558,SIA/WB/MIN/407688/2022,ULIARA SAND MINE,Non-Coal Mining,31 Jan 2023,23/11/2022,18/01/2023,31/01/2023,13/02/2023,,,17/02/2023,,
559,SIA/WB/MIN/424135/2023,River Bed sand Mine at Mouza Nemai,Non-Coal Mining,30 Mar 2023,30/03/2023,,,04/04/2023,,,10/04/2023,,
560,SIA/WB/MIN/423327/2023,Uttar Chakoakheti Sand Mine (MIN_APD_20),Non-Coal Mining,08 Apr 2023,08/04/2023,,,17/04/2023,,,17/04/2023,,19/06/2023
561,SIA/WB/INFRA2/402657/2022,Proposed Expansion of Woodlands Multispeciality Hospital by M/s. Woodlands Multispeciality Hospital Limited. ,INFRA-2,10 Oct 2022,10/10/2022,,,12/10/2022,,,03/11/2022,,14/08/2023
562,SIA/WB/MIN/453252/2023,MIN_BNK_49_I Sand Mine,Non-Coal Mining,24 Nov 2023,24/11/2023,,,28/11/2023,,,,,
563,SIA/WB/NCP/65771/2017,Residential Complex by Madgul Developers Pvt. Ltd. & Others,INFRA-1,11 Jul 2017,11/07/2017,05/07/2017,11/07/2017,18/07/2017,,,07/08/2017,04/12/2017,16/10/2019
564,SIA/WB/MIS/67287/2017,Ideal Aurum,INFRA-2,08 Aug 2017,08/08/2017,,,,,,,,
565,SIA/WB/MIN/411343/2022,Mathuratapal sand mine on Dwarkeswar river ,Non-Coal Mining,20 Dec 2022,20/12/2022,02/01/2023,,,,,,,
566,SIA/WB/IND/29818/2017,"Proposed expansion of existing Steel Plant by installation of 1x10 T Induction Furnace, CCM & Rolling Mill ",Industrial Projects - 1,10 Nov 2018,10/11/2018,,,12/11/2018,,,13/12/2018,24/05/2019,02/03/2020
567,SIA/WB/MIN/419982/2023,Kirtansole Riverbed Sand Mine,Non-Coal Mining,26 Feb 2023,26/02/2023,,,09/03/2023,,,11/03/2023,,
568,SIA/WB/MIN/439282/2023,Phansidewa Sand Mine (MIN_DJ_18),Non-Coal Mining,04 Aug 2023,04/08/2023,,,04/09/2023,,,11/09/2023,,23/11/2023
569,SIA/WB/NCP/72819/2018,Proposed Expansion of Residential Complex by Springcity Buildcon LLP & Others,INFRA-1,07 Mar 2018,07/03/2018,08/02/2018,07/03/2018,14/03/2018,,,16/03/2018,,26/09/2022
570,SIA/WB/NCP/41530/2016,Alpine Heights,INFRA-1,25 Jan 2016,25/01/2016,19/01/2016,25/01/2016,25/01/2016,,,22/02/2016,17/01/2017,
571,SIA/WB/IND2/22007/2016,SIA/WB/IND2/17279/2016,Industrial Projects - 2,14 Feb 2018,14/02/2018,,,06/03/2018,,,16/03/2018,31/03/2018,28/05/2018
572,SIA/WB/MIS/29442/2017,IDEAL EXOTICA,INFRA-2,06 Oct 2018,06/10/2018,,,05/11/2018,,,16/11/2018,27/02/2019,13/03/2019
573,SIA/WB/MIN/427636/2023,Chitalgha RIverbed Sand Mine (MIN_UD_09),Non-Coal Mining,30 Apr 2023,30/04/2023,,,06/06/2023,,,12/06/2023,,18/08/2023
574,SIA/WB/MIS/50926/2016,MOMENTS101,INFRA-2,12 Mar 2016,12/03/2016,11/03/2016,12/03/2016,18/03/2016,,,11/04/2016,16/01/2017,
575,SIA/WB/MIN/437300/2023,Kashipur Riverbed Sand Mine (MIN_PUR_19),Non-Coal Mining,26 Jul 2023,26/07/2023,,,28/07/2023,,,07/08/2023,,16/10/2023
576,SIA/WB/MIN/408615/2022,"Sagira Sand Mine on Ajay River, Ashok Kumar Saha",Non-Coal Mining,30 Nov 2022,30/11/2022,,,,,,,,
577,SIA/WB/MIN/210453/2021,Desher Mohan sand mine,Non-Coal Mining,27 Apr 2021,27/04/2021,,,06/07/2021,,,,,
578,SIA/WB/MIN/262459/2022,Subarnarekha River Bed Mine MSHB 8,Non-Coal Mining,23 Mar 2022,23/03/2022,,,,,,,,
579,SIA/WB/MIN/263841/2022,MADANPUR DAFARPUR SAND MINE,Non-Coal Mining,26 Mar 2022,26/03/2022,24/08/2022,,,,,,,
580,SIA/WB/MIN/263462/2022,Kotsimul Sand  Mine Maa Tara Builders,Non-Coal Mining,27 Dec 2022,23/05/2022,12/12/2022,27/12/2022,03/02/2023,,,09/02/2023,,
581,SIA/WB/MIN/249790/2022,Stone Crusher of M/S Patil Rail Infrastructure Pvt Ltd,Non-Coal Mining,05 Jan 2022,05/01/2022,12/02/2022,,,,,,,
582,SIA/WB/MIS/46408/2019,Southwinds,INFRA-2,13 Nov 2019,13/11/2019,,,10/12/2019,,,24/12/2019,30/01/2021,30/07/2021
583,SIA/WB/MIN/264952/2022,KUNJAPUR SAND MINE,Non-Coal Mining,30 Mar 2022,30/03/2022,,,24/02/2023,,,04/03/2023,,
584,SIA/WB/MIN/216209/2021,"RERAPAL SAND MINE (AREA- 4.33 HECTARES) ON KANGSHABATI RIVER ON Plot No.-552(P) & 700(P).LOCATED AT MOUZA- RERAPAL, P.S. - MEDINIPUR, DISTRICT-PASCHIM MEDINIPUR, STATE- WEST BENGAL, JL NO. -132",Non-Coal Mining,05 Jul 2021,24/06/2021,02/07/2021,05/07/2021,31/07/2021,,,,,
585,SIA/WB/MIN/216548/2021,Kansra sand mine,Non-Coal Mining,23 Jun 2021,23/06/2021,,,,,,,,
586,SIA/WB/MIN/419697/2023,MIN_BNK_18_A Sand Mine,Non-Coal Mining,01 Mar 2023,01/03/2023,,,09/03/2023,,,11/03/2023,,27/04/2023
587,SIA/WB/MIN/408992/2022,Kawakhali - II Riverbed Project,Non-Coal Mining,04 Dec 2022,04/12/2022,,,30/12/2022,,,02/01/2023,,
588,SIA/WB/INFRA2/407812/2022,Residential Cum commercial Complex by RDB Anekant Orbit Properties Pvt. Ltd.,INFRA-2,24 Nov 2022,24/11/2022,,,05/12/2022,,,09/12/2022,,20/04/2023
589,SIA/WB/NCP/77716/2018,Eastern India Healthcare Foundation Hospital Project,INFRA-1,29 Sep 2018,29/09/2018,10/09/2018,29/09/2018,03/10/2018,,,04/10/2018,,
590,SIA/WB/INFRA2/431778/2023,"Establishment of Common Bio-Medical Waste Treatment Facility (CBWTF) at Village- Kaluabari ,P.O. Debithakurbari,P.S-Rajganj, Mouza- Chhatgujrimari,Pargana Baikunthapur, Dist-Jalpaiguri, West Bengal ",INFRA-2,08 Jun 2023,08/06/2023,,,12/06/2023,,,19/06/2023,,01/09/2023
591,SIA/WB/MIS/60112/2016,THE RESERVE,INFRA-2,18 Nov 2016,18/11/2016,25/11/2016,18/11/2016,,,,,,
592,SIA/WB/MIN/440247/2023,Karanjogerya Sand Mine (MIN_WMED_13),Non-Coal Mining,12 Aug 2023,12/08/2023,,,25/08/2023,,,31/08/2023,,01/12/2023
593,SIA/WB/MIS/70831/2017,VYOM II,INFRA-2,07 Nov 2017,07/11/2017,,,,,,,,
594,SIA/WB/INFRA2/435718/2023,Nucleus Asansol,INFRA-2,05 Jul 2023,05/07/2023,13/07/2023,,,,,,,
595,SIA/WB/NCP/58229/2016,Residential Complex,INFRA-1,21 Sep 2016,21/09/2016,11/08/2016,21/09/2016,22/09/2016,,,18/10/2016,17/03/2018,
596,SIA/WB/MIN/411152/2022,Mathuratapal sand mine on Dwarkeswar river ,Non-Coal Mining,20 Dec 2022,20/12/2022,02/01/2023,,,,,,,
597,SIA/WB/MIS/57643/2016,VERTEX,INFRA-2,08 Aug 2016,08/08/2016,22/07/2016,08/08/2016,11/08/2016,,,22/08/2016,16/01/2017,08/06/2018
598,SIA/WB/MIN/431208/2023,Upardanga Granite Stone Quarry,Non-Coal Mining,18 Jun 2023,18/06/2023,,,05/07/2023,,,07/07/2023,,
599,SIA/WB/MIN/426734/2023,MIN_BIR_23 Sand Mine,Non-Coal Mining,24 Apr 2023,24/04/2023,,,28/04/2023,,,29/05/2023,,28/07/2023
600,SIA/WB/IND/19700/2017,Proposed Enhancement in Cement Production Capacity (2.0 to 2.4 MTPA) of Existing Stand-alone Grinding Unit by installation of New Slag Grinder,Industrial Projects - 1,26 Jun 2017,26/06/2017,,,29/06/2017,,,29/06/2017,09/09/2017,07/09/2017
601,SIA/WB/IND/17065/2015,"Proposed Installation of 10x20 T Induction Furnaces,  0.55 MTPA Rolling Mill and CFBC based 70 MW capacity Captive Power Plant",Industrial Projects - 1,03 Apr 2018,03/04/2018,03/04/2018,03/04/2018,06/04/2018,,,18/04/2018,15/05/2018,07/12/2016
602,SIA/WB/MIN/57226/2016,Sand Mining Project,Non-Coal Mining,28 Jun 2017,28/06/2017,01/12/2016,28/06/2017,29/06/2017,,,17/07/2017,,
603,SIA/WB/MIN/433208/2023,Chabukya River Bed Sand Mine ,Non-Coal Mining,22 Jun 2023,22/06/2023,,,05/07/2023,,,07/07/2023,,
604,SIA/WB/MIN/411123/2022,Jamdaha Riverbed Sand Mine,Non-Coal Mining,20 Dec 2022,20/12/2022,02/01/2023,,,,,,,
605,SIA/WB/MIN/67017/2017,Sand Mining,Non-Coal Mining,01 Sep 2017,01/09/2017,31/07/2017,01/09/2017,01/09/2017,,,18/10/2017,,
606,SIA/WB/MIS/50964/2016,PANACHE,INFRA-2,22 Mar 2016,22/03/2016,11/03/2016,22/03/2016,28/03/2016,,,26/04/2016,,
607,SIA/WB/MIN/418357/2023,Radhakantapur Sand Mine (MIN_BNK_44_A),Non-Coal Mining,17 Feb 2023,17/02/2023,,,23/02/2023,,,27/02/2023,,28/04/2023
608,SIA/WB/MIN/63417/2017,Masra clay mining Project (9.4 ha),Non-Coal Mining,09 May 2017,09/05/2017,03/04/2017,09/05/2017,26/05/2017,,,29/06/2017,15/05/2018,24/07/2018
609,SIA/WB/MIN/408885/2022,Kawakhali -I riverbed sand & stone mining project,Non-Coal Mining,04 Dec 2022,04/12/2022,,,30/12/2022,,,02/01/2023,,
610,SIA/WB/MIS/27444/2016,Proposed Common Biomedical Waste Treatment Project ,INFRA-2,02 Jun 2018,02/06/2018,,,08/06/2018,,,15/06/2018,,
611,SIA/WB/INFRA2/415205/2023,Residential Complex by Tirath Projects Pvt. Ltd.,INFRA-2,20 Jan 2023,20/01/2023,,,02/02/2023,,,03/02/2023,,05/10/2023
612,SIA/WB/MIN/438964/2023,Bhogramguri sand Mine,Non-Coal Mining,08 Aug 2023,08/08/2023,12/10/2023,,,,,,,
613,SIA/WB/MIN/424820/2023,Bataliguri Riverbed Sand Mine,Non-Coal Mining,05 Apr 2023,05/04/2023,,,23/05/2023,,,03/06/2023,,
614,SIA/WB/MIN/435142/2023,Dhalpal Sand Mine (MIN_CB_17),Non-Coal Mining,30 Jun 2023,30/06/2023,,,05/07/2023,,,07/07/2023,,31/08/2023
615,SIA/WB/MIN/415621/2023,WB_BIR_AJ_A2_A,Non-Coal Mining,16 Feb 2023,16/02/2023,,,23/02/2023,,,27/02/2023,,28/04/2023
616,SIA/WB/MIN/405762/2022,Purbator Sand Mine,Non-Coal Mining,20 Jan 2023,08/11/2022,18/01/2023,20/01/2023,15/02/2023,,,17/02/2023,,
617,SIA/WB/NCP/69748/2017,SWARNAMANI,INFRA-1,09 Apr 2018,09/04/2018,25/09/2017,09/04/2018,,,,,,
618,SIA/WB/NCP/66170/2017,Residential Complex,INFRA-1,31 Jul 2017,31/07/2017,19/07/2017,31/07/2017,02/08/2017,,,22/08/2017,04/12/2017,04/09/2018
619,SIA/WB/MIS/56829/2016,ANIK INDUSTRIES LIMITED,INFRA-2,08 Jul 2016,08/07/2016,30/06/2016,08/07/2016,08/07/2016,,,02/08/2016,16/01/2017,31/01/2018
620,SIA/WB/IND2/441212/2023,"Proposed Ethanol / Extra Neutral Alcohol (ENA) Manufacturing Plant and 4.9 MW Cogenration Power Plant of M/s. Gujarat Ambuja Exports Limited at Malda Industrial Growth Centre (Phase II), Opp. Jubilee Petrol Pump,  Vill – Mandilpur, P. O.  - Narayanpur, P. S. – Malda, West Bengal, PIN– 732141 ",Industrial Projects - 2,24 Aug 2023,24/08/2023,28/08/2023,,,,,,,
621,SIA/WB/MIN/438633/2023,Moulpur Sand Mine (MIN_MD_08),Non-Coal Mining,31 Jul 2023,31/07/2023,,,08/08/2023,,,18/08/2023,,17/10/2023
622,SIA/WB/MIN/422768/2023,Uttar Mendabari Sand Mine (WB_APD_KJ_B_18),Non-Coal Mining,21 Mar 2023,21/03/2023,,,27/03/2023,,,27/03/2023,,
623,SIA/WB/MIN/453487/2023,MIN_APD_23 Sand Mine,Non-Coal Mining,28 Nov 2023,28/11/2023,,,01/12/2023,,,,,
624,SIA/WB/IND/59753/2016,Installation of 29000 TPA SMS by using Single Crucible Induction Furnace and 28000 TPA Rolling Mill,Industrial Projects - 1,27 Oct 2016,27/10/2016,24/10/2016,27/10/2016,,,,,,
625,SIA/WB/NCP/60917/2016,Residential Complex- Building and Construction project,INFRA-1,22 Mar 2017,22/03/2017,10/03/2017,22/03/2017,,,,,,27/09/2018
626,SIA/WB/NCP/67128/2017,Residential Complex by Magnolia Infrastructure Development Ltd.,INFRA-1,23 Aug 2017,23/08/2017,02/08/2017,23/08/2017,31/08/2017,,,07/09/2017,31/03/2018,
627,SIA/WB/MIN/64420/2017,"sand mining Vill: Tutemunibgarh, P.O-Janardanpur, Dist- Paschim Medinipur, PIN-721149",Non-Coal Mining,06 Aug 2017,06/08/2017,12/07/2017,06/08/2017,17/08/2017,,,22/11/2017,14/04/2018,04/04/2018
628,SIA/WB/INFRA2/405027/2022,Commercial Building by PSGAMD Estates LLP,INFRA-2,03 Nov 2022,03/11/2022,,,22/11/2022,,,28/11/2022,,29/08/2023
629,SIA/WB/IND2/16950/2015,EXPANSION PROJECT FOR ENHANCEMENT OF STORAGE CAPACITY AT EXISTING LPG BOTTLING PLANT RAJBANDH CHATTY DURGAPUR,Industrial Projects - 2,09 Aug 2016,09/08/2016,,,08/09/2016,,,20/09/2016,16/01/2017,07/12/2016
630,SIA/WB/NCP/74703/2018,Alpine Heights-Building & Construction Project,INFRA-1,31 May 2018,31/05/2018,26/04/2018,31/05/2018,07/06/2018,,,15/06/2018,06/09/2018,15/01/2021
631,SIA/WB/NCP/58553/2016,Merlin Waterfront,INFRA-1,16 Sep 2016,16/09/2016,26/08/2016,16/09/2016,19/09/2016,,,18/10/2016,22/06/2017,10/01/2018
632,SIA/WB/MIS/89255/2018,"Proposed Regional Head Office, Regional Training Centre, Currency Chest & Retail Branch Office for HDFC Bank Limited at New Town, Rajarhat, Kolkata.",INFRA-2,14 Jan 2019,14/01/2019,03/01/2019,14/01/2019,17/01/2019,,,01/02/2019,28/02/2019,13/11/2019
633,SIA/WB/INFRA2/412503/2022,"Residential Complex ""Utsodhara HIG - 1""",INFRA-2,19 Jan 2023,19/01/2023,,,27/01/2023,,,03/02/2023,,
634,SIA/WB/MIN/67063/2017,Sand Mining,Non-Coal Mining,01 Sep 2017,01/09/2017,31/07/2017,01/09/2017,01/09/2017,,,18/10/2017,15/05/2018,11/07/2018
635,SIA/WB/MIN/408705/2022,Phd TARABANDHA(PART 354A),Non-Coal Mining,30 Nov 2022,30/11/2022,,,30/12/2022,,,02/01/2023,,
636,SIA/WB/MIN/440155/2023,Dakshin Saripakuri Sand Mine (MIN_JPG_10),Non-Coal Mining,11 Aug 2023,11/08/2023,,,25/08/2023,,,31/08/2023,,10/11/2023
637,SIA/WB/NCP/61187/2016,Proposed Housing Complex at Manikpur,INFRA-1,22 Dec 2016,22/12/2016,10/03/2017,,,,,,,
638,SIA/WB/MIN/64478/2017,"Sand mining project of SRI SAMIRAN BHATTACHARYA,Vill- Balihati P.O -Krishnanagar , Via Madpur,  Dist- Paschim Midnapore, PIN-721149
(M) 9434230109
",Non-Coal Mining,06 Aug 2017,06/08/2017,17/08/2017,06/08/2017,,,,,,
639,SIA/WB/INFRA2/453862/2023,Hotel cum Commercial Complex by Global Mercantile Pvt. Ltd.,INFRA-2,30 Nov 2023,30/11/2023,,,,,,,,
