"","Unnamed..0","Proposal.Number","Project.Name","Project.Sector","Date.of.Submission","Submitted.by.Proponent","Query.for.Shortcoming.if.any..by.SEIAA","Resubmission.of.Proposal.by.Proponent.1","Accepted.by.SEIAA.and.forwarded.to.SEAC","Query.for.Shortcoming.if.any..by.SEAC","Resubmission.of.Proposal.by.Proponent.2","Accepted.by.SEAC","Forwarded.to.SEIAA.for.EC","EC.Letter.Uploaded.On.EC.Granted","Status"
"184",140,"SIA/OR/MIN/283242/2022","Proposal for grant of Environmental Clearance of BIRJUPALI 2 STONE QUARRY over an area of 1.34ac or 0.542hec in Birjupali village of Sohela Tahasil in Bargarh district Odisha.","Non-Coal Mining","14 Jul 2022","14/07/2022","","","18/07/2022","","","22/07/2022","","22/08/2022","EC Granted"
"185",141,"SIA/OR/MIS/275499/2022","Proposal for Environment Clearance of Proposed Residential Cum Commercial Apartment [Integrated envelope 3B + GF (commercial) upper stilt +First Floor (Amenity Floor)+ SF (service floor)+ 4 towers of  22 multi storied residential apartment building o","INFRA-2","27 Jun 2022","30/05/2022","20/06/2022","27/06/2022","02/07/2022","","","05/07/2022","","14/03/2023","EC Granted"
"186",142,"SIA/OR/IND3/241796/2021","Manufacturing of Vaccines and Bio-therapeutics including bio-processing, bulk formulation, filling, packaging and R&D for vaccine development","Industrial Projects - 3","06 Dec 2021","06/12/2021","","","08/12/2021","","","01/01/2022","","02/06/2022","EC Granted"
"187",143,"SIA/OR/MIN/241813/2021","Proposal for grant of EC of Goudpali Sand Quarry over an area of 12.00 Acres or 4.856 Ha. in village Goudpali under Khaprakhol Tahasil of Balangir District.","Non-Coal Mining","10 Dec 2021","01/12/2021","06/12/2021","10/12/2021","17/12/2021","","","01/02/2022","24/03/2022","06/04/2022","EC Granted"
"188",144,"SIA/OR/MIN/245608/2021","NEW PROPOSAL FOR GRANT OF EC OF DHUDHALMUNDA STONE QUARRY-2 OVER 1.78HA OR 4.39AC OF VILLAGE DHUDHAMUNDA UNDER JUJOMURA TAHASIL OF SAMBALPUR DISTRICT, ODISHA","Non-Coal Mining","17 Dec 2021","17/12/2021","","","22/12/2021","","","01/02/2022","06/02/2022","13/04/2022","EC Granted"
"189",145,"SIA/OR/MIN/284476/2022","NEW PROPOSAL FOR ENVIRONMENT CLEARANCE FOR ANJIRA BLACK STONE QUARRY BSQ 14 OVER AN AREA OF 2.023 HECTARE OR 5.00 ACRES IN VILLAGE ANJIRA UNDER DHARMASALA TAHASIL AND DISTRICT OF JAJPUR ODISHA","Non-Coal Mining","22 Aug 2022","22/07/2022","22/08/2022","12/08/2022","","","","","","","Delisted"
"190",146,"SIA/OR/MIN/63388/2021","Naranapur Mahanadi Sand Quarry","Non-Coal Mining","10 Aug 2022","28/07/2022","03/08/2022","10/08/2022","16/08/2022","","","22/08/2022","","03/12/2022","EC Granted"
"191",147,"SIA/OR/MIN/286010/2022","PROPOSAL FOR FRESH EC OF BHITARBEDA STONE QUARRY OVER AN AREA OF 5.00 ACRES OR 2.023 HECTARES AT VILLAGE BHITARBEDA UNDER BARKOTE TAHASIL OF DEOGARH DISTRICT, ODISHA","Non-Coal Mining","29 Jul 2022","29/07/2022","","","03/08/2022","","","17/08/2022","","22/09/2022","EC Granted"
"192",148,"SIA/OR/MIS/166426/2020","Construction of G+3 storied A.H.P Residential Apartment Building of Chhend Heritage Homes Pvt. Ltd. Over Plot No. 289/432 (P), 288 (p), 280(P), 292 (P), 291 (P), Khata No. 9, Mouza- Chhend, R.T.U-3, P.S. Chend, Tahasil- Rourkela, Sundergarh.","INFRA-2","07 Aug 2020","06/08/2020","06/08/2020","07/08/2020","18/08/2020","","","28/08/2020","31/03/2021","01/01/1900","EC Granted"
"193",149,"SIA/OR/MIN/60636/2021","New proposed project of Sundarpur Stone Quarry with proposed excavation of 10000 CuM/year of stone of Tahasildar, Chhatrapur having an area of 5.058 Ha. Located at Khata No. 1469, Plot No. 10609/A, Village: Sundarpur, Tahasil: Chhatrapur, District: Ganjam, Odisha.","Non-Coal Mining","13 May 2022","13/05/2022","","","27/06/2022","","","05/07/2022","","06/06/2023","EC Granted"
"194",150,"SIA/OR/MIS/102253/2019","Proposed Multistoried Residential Building “Assotech Pride” of M/s. Assotech Sun Growth Abode LLP","INFRA-2","25 Apr 2019","25/04/2019","24/04/2019","","","","","","","","Delisted"
"195",151,"SIA/OR/MIN/256402/2022","Chadiapalli Stone Quarry over an area of 10.175 acres or 4.117 hectares bearing Khata no. 218, Plot no. 768 in village Chadiapalli, Tahasil- Buguda, District- Ganjam State Odisha.","Non-Coal Mining","12 Feb 2022","12/02/2022","","","15/03/2022","","","11/04/2022","19/04/2022","07/09/2022","EC Granted"
"196",152,"SIA/OR/MIN/239675/2021","Proposal for Environmental Clearance of Lokeiposi Stone Quarry over an area of 7.26 Acres or 2.938 ha  in village-Lokeiposi of Basala Gram Panchayat under Angul Tahasil of Angul District of Odisha.","Non-Coal Mining","17 Dec 2021","22/11/2021","23/11/2021","17/12/2021","21/12/2021","","","28/12/2021","01/01/2022","03/01/2022","EC Granted"
"197",153,"SIA/OR/MIN/252522/2022","Proposal for grant of Environmental Clearance of Jakalgandhi Stone Quarry over an area of 9.711 Acres or 3.930 Hectares in village Jakalgandhi under Kalimela Tahasil of Malkangiri District.","Non-Coal Mining","22 Feb 2022","21/01/2022","28/01/2022","22/02/2022","16/03/2022","","","11/04/2022","","","Delisted"
"198",154,"SIA/OR/MIS/64021/2021","Environment Clearance of Proposed Multistoried Residential Building “Assotech Pride Phase-1Extension” of M/s Assotech Sun Growth Abode LLP at Mouza- Rudrapur, Bhubaneswar, Dist-Khurda, Odisha","INFRA-2","24 Jan 2022","18/01/2022","23/01/2022","24/01/2022","25/01/2022","","","29/01/2022","","18/07/2022","EC Granted"
"199",154,"SIA/OR/MIS/64021/2021","Environment Clearance of Proposed Multistoried Residential Building “Assotech Pride Phase-1Extension” of M/s Assotech Sun Growth Abode LLP at Mouza- Rudrapur, Bhubaneswar, Dist-Khurda, Odisha","INFRA-2","24 Jan 2022","18/01/2022","23/01/2022","24/01/2022","25/01/2022","","","29/01/2022","","18/07/2022","EC Granted"
"200",155,"SIA/OR/MIN/59702/2021","Krushnachandrapur stone quarry No. 4 over 5.63 Ac. or 2.278 Ha. located in Village: Krushnachandrapur, Tahasil: Banarpal, Dist: Angul (Under Cluster approach of Krushnachandrapur building stone cluster, area 17.18 Ha. or 42.44 Acres)","Non-Coal Mining","22 Jan 2022","22/01/2022","","","29/01/2022","","","03/02/2022","04/04/2022","02/06/2022","EC Granted"
"201",155,"SIA/OR/MIN/59702/2021","Krushnachandrapur stone quarry No. 4 over 5.63 Ac. or 2.278 Ha. located in Village: Krushnachandrapur, Tahasil: Banarpal, Dist: Angul (Under Cluster approach of Krushnachandrapur building stone cluster, area 17.18 Ha. or 42.44 Acres)","Non-Coal Mining","22 Jan 2022","22/01/2022","","","29/01/2022","","","03/02/2022","04/04/2022","02/06/2022","EC Granted"
"202",155,"SIA/OR/MIN/59702/2021","Krushnachandrapur stone quarry No. 4 over 5.63 Ac. or 2.278 Ha. located in Village: Krushnachandrapur, Tahasil: Banarpal, Dist: Angul (Under Cluster approach of Krushnachandrapur building stone cluster, area 17.18 Ha. or 42.44 Acres)","Non-Coal Mining","22 Jan 2022","22/01/2022","","","29/01/2022","","","03/02/2022","04/04/2022","02/06/2022","EC Granted"
"203",155,"SIA/OR/MIN/59702/2021","Krushnachandrapur stone quarry No. 4 over 5.63 Ac. or 2.278 Ha. located in Village: Krushnachandrapur, Tahasil: Banarpal, Dist: Angul (Under Cluster approach of Krushnachandrapur building stone cluster, area 17.18 Ha. or 42.44 Acres)","Non-Coal Mining","22 Jan 2022","22/01/2022","","","29/01/2022","","","03/02/2022","04/04/2022","02/06/2022","EC Granted"
"204",155,"SIA/OR/MIN/59702/2021","Krushnachandrapur stone quarry No. 4 over 5.63 Ac. or 2.278 Ha. located in Village: Krushnachandrapur, Tahasil: Banarpal, Dist: Angul (Under Cluster approach of Krushnachandrapur building stone cluster, area 17.18 Ha. or 42.44 Acres)","Non-Coal Mining","22 Jan 2022","22/01/2022","","","29/01/2022","","","03/02/2022","04/04/2022","02/06/2022","EC Granted"
"205",155,"SIA/OR/MIN/59702/2021","Krushnachandrapur stone quarry No. 4 over 5.63 Ac. or 2.278 Ha. located in Village: Krushnachandrapur, Tahasil: Banarpal, Dist: Angul (Under Cluster approach of Krushnachandrapur building stone cluster, area 17.18 Ha. or 42.44 Acres)","Non-Coal Mining","22 Jan 2022","22/01/2022","","","29/01/2022","","","03/02/2022","04/04/2022","02/06/2022","EC Granted"
"206",155,"SIA/OR/MIN/59702/2021","Krushnachandrapur stone quarry No. 4 over 5.63 Ac. or 2.278 Ha. located in Village: Krushnachandrapur, Tahasil: Banarpal, Dist: Angul (Under Cluster approach of Krushnachandrapur building stone cluster, area 17.18 Ha. or 42.44 Acres)","Non-Coal Mining","22 Jan 2022","22/01/2022","","","29/01/2022","","","03/02/2022","04/04/2022","02/06/2022","EC Granted"
"207",156,"SIA/OR/MIN/252860/2022","Jamdapal Brick Earth Quarry over an area 2.15Ac or 0.870Ha. in village jamdapal under Sukruli Tahsil of Mayurbhanj District, Odisha.","Non-Coal Mining","11 Feb 2022","23/01/2022","13/03/2022","11/02/2022","","","","","","","Delisted"
"208",157,"SIA/OR/MIN/273546/2022","Baradiha Murrum Quarry Over an area of 1.96 Acre or 0.793 Hectares in village Baradiha under Jaleswar Tahasil of Balasore District of Odisha.","Non-Coal Mining","18 May 2022","18/05/2022","","","19/05/2022","","","20/05/2022","","01/06/2022","EC Granted"
"209",158,"SIA/OR/MIN/253646/2022","Baspur Luna River Sand Quarry, over an area of 4.95 Ha. Plot No-1099, Khata No-439, At: Daspur, Tahasil- Derabish, Dist- Kendrapara, Odisha of Tahasildar Derabish.","Non-Coal Mining","22 Apr 2022","28/01/2022","02/02/2022","22/04/2022","11/05/2022","","","20/05/2022","","22/08/2022","EC Granted"
"210",159,"SIA/OR/MIN/60333/2021","Hazaridanga Stone Quarry VIII","Non-Coal Mining","20 Jul 2022","22/04/2022","","","21/07/2022","","","22/07/2022","","","Site Visit by SEAC(Pending)"
"211",159,"SIA/OR/MIN/60333/2021","Hazaridanga Stone Quarry VIII","Non-Coal Mining","20 Jul 2022","22/04/2022","","","21/07/2022","","","22/07/2022","","","Accepted By SEAC"
"212",159,"SIA/OR/MIN/60333/2021","Hazaridanga Stone Quarry VIII","Non-Coal Mining","20 Jul 2022","22/04/2022","","","21/07/2022","","","22/07/2022","","","Accepted By SEAC"
"213",159,"SIA/OR/MIN/60333/2021","Hazaridanga Stone Quarry VIII","Non-Coal Mining","20 Jul 2022","22/04/2022","","","21/07/2022","","","22/07/2022","","","Accepted By SEAC"
"214",159,"SIA/OR/MIN/60333/2021","Hazaridanga Stone Quarry VIII","Non-Coal Mining","20 Jul 2022","22/04/2022","","","21/07/2022","","","22/07/2022","","","Delisted"
"215",159,"SIA/OR/MIN/60333/2021","Hazaridanga Stone Quarry VIII","Non-Coal Mining","20 Jul 2022","22/04/2022","","","21/07/2022","","","22/07/2022","","","Accepted By SEAC"
"216",159,"SIA/OR/MIN/60333/2021","Hazaridanga Stone Quarry VIII","Non-Coal Mining","20 Jul 2022","22/04/2022","","","21/07/2022","","","22/07/2022","","","Accepted By SEAC"
"217",159,"SIA/OR/MIN/60333/2021","Hazaridanga Stone Quarry VIII","Non-Coal Mining","20 Jul 2022","22/04/2022","","","21/07/2022","","","22/07/2022","","","Accepted By SEAC"
"218",0,"SIA/OR/MIN/64563/2021","Enhancement of production capacity of Iron Ore from 2.99 MTPA to 4.99 MTPA along with 1000 TPH  fixed crushing  Screening facility at Raileka village  in Sundergarh District of Odisha","Non-Coal Mining","23 May 2022","23/05/2022","","","20/06/2022","","","24/06/2022","","27/12/2022","EC Granted"
"219",1,"SIA/OR/MIN/275776/2022","Gallery Stone Quarry over an area of 12.00 Acers or 4.856 Ha having Khata No. 1293 Plot No. 19/P in the village Gallery, Tahasil Ghumusar (Bhanjanagar) in District Ganjam, State Odisha.","Non-Coal Mining","31 May 2022","31/05/2022","","","27/06/2022","","","22/07/2022","","17/08/2022","EC Granted"
"220",2,"SIA/OR/MIS/116281/2019","Proposed Construction of Multistoried Residential Apartment Building of M/s. Altrade Construction Pvt. Ltd. at Ghatikia, Bhubaneswar, Dist- Khurda, Odisha","INFRA-2","18 Sep 2019","18/09/2019","11/09/2019","18/09/2019","19/11/2019","","","19/11/2019","22/10/2021","01/01/1900","EC Granted"
"221",3,"SIA/OR/MIN/58535/2020","Cluster-4 mine  constituted of Bichhakhandi hillocks over an area of 36.65 Hectares or 90.562 Acres located in village Bichhakhandi of Tahasil Dharmasala & District Jajpur, Odisha including 16 nos of mining lease areas.","Non-Coal Mining","10 Feb 2021","24/11/2020","01/02/2021","10/02/2021","06/03/2021","","","22/03/2021","07/08/2021","01/01/1900","EC Granted"
"222",4,"SIA/OR/MIS/166366/2020","Construction of ‘100 seated New Govt. Medical College’  at Bhangabari, Mouza-Bhangabari, Bhawanipatna, District-Kalahandi Odisha","INFRA-2","06 Aug 2020","06/08/2020","","","18/08/2020","","","28/08/2020","13/12/2020","","Rejection Letter Granted"
"223",5,"SIA/OR/MIN/268298/2022","Gothabana Stone Quarry over an area of0.809ha under Odagaon Tahasil of Nayagarh district Odisha","Non-Coal Mining","18 Apr 2022","18/04/2022","","","12/05/2022","","","20/05/2022","","29/07/2022","EC Granted"
"224",6,"SIA/OR/MIN/285066/2022","Proposal for grant of Environmental Clearance for Ghusurigudi II Stone Quarry over an area of 10.00 Acres or 4.046 Hectares in village Ghusurigudi under Kalahandi tahasil of Kalahandi district.","Non-Coal Mining","23 Jul 2022","23/07/2022","","","02/08/2022","","","17/08/2022","","05/11/2022","EC Granted"
"225",7,"SIA/OR/MIN/54634/2020","New Proposed project of Rajnagar sand mine with proposed excavation of 40,002 m3/year of sand, at Subarnarekha River bed having an area of 5.48 ha located at Khata No.-377, Plot no. 1295/1300 Village: Rajnagar, Tehsil: Jaleswar, District: Balasore (Odisha)","Non-Coal Mining","05 Aug 2022","30/07/2022","04/08/2022","05/08/2022","23/08/2022","","","29/08/2022","","23/06/2023","EC Granted"
"226",8,"SIA/OR/MIS/61715/2020","Residential Colony Project at Mouza- Sundarpur, Bhubaneswar, District-Khurda, Odisha","INFRA-2","13 Mar 2021","13/03/2021","","","05/06/2021","","","08/06/2021","23/07/2021","01/01/1900","EC Granted"
"227",9,"SIA/OR/MIN/28460/2018","Proposed Rarbahal Graphite Mine over an area 20.675 ha in Balangir district of Odisha","Non-Coal Mining","24 Oct 2020","24/10/2020","","","28/01/2021","","","02/02/2021","22/03/2022","19/04/2022","EC Granted"
"228",10,"SIA/OR/MIS/48564/2017","Establishment of Common Bio-Medical Waste Treatment Facility (CBWTF) of capacity 7 TPD at Village: Amsaranga, Majhapada,  District: Sundargarh, Odisha","INFRA-2","24 Dec 2019","24/12/2019","","","28/01/2020","","","31/01/2020","27/02/2020","18/03/2020","EC Granted"
"229",11,"SIA/OR/MIN/255663/2022","NEW PROPOSAL FOR GRANT OF EC FOR CHURAHANDI SAND QUARRY OVER 4.047 HA. OR 10.00 ACRES IN VILLAGE CHURAHANDI UNDER NABARANGPUR TAHASIL OF NABARANGPUR DISTRICT, ODISHA BY TAHASILDAR, NABARANGPUR","Non-Coal Mining","09 May 2022","08/02/2022","10/02/2022","09/05/2022","10/05/2022","","","20/05/2022","","30/06/2022","EC Granted"
"230",12,"SIA/OR/MIS/162754/2020","Expansion of Residential Building Complex “Springville Greens” At Mouza-Bijipur, Bhubaneswar,Odisha.","INFRA-2","10 Jul 2020","10/07/2020","","","01/10/2020","","","22/10/2020","07/08/2021","16/09/2021","EC Granted"
"231",13,"SIA/OR/MIN/58364/2020","Cluster-3 mine  constituted of Bajabati hillocks over an area of 35.66 Acres or 14.43 Hectares located in villages Bajabati of Tahasil Dharmasala & District Jajpur, Odisha  including 6 no.of mining lease areas.","Non-Coal Mining","10 Feb 2021","23/11/2020","01/02/2021","10/02/2021","06/03/2021","","","22/03/2021","07/08/2021","01/01/1900","EC Granted"
"232",14,"SIA/OR/MIS/217315/2021","Proposed B+S+11 storied residential apartment of M/s. Urbanyx Infra Pvt. Ltd.","INFRA-2","23 Jul 2021","03/07/2021","11/07/2021","23/07/2021","01/09/2021","","","04/09/2021","22/03/2022","06/04/2022","EC Granted"
"233",15,"SIA/OR/MIN/259630/2022","RAIKALA STONE QUARRY OVER AN AREA 11.660 ACRES OR 4.719 HECTARES IN VILLAGE RAIKALA UNDER PATNA TAHASIL IN KEONJHAR DISTRICT ODISHA","Non-Coal Mining","04 Mar 2022","04/03/2022","","","17/03/2022","","","11/04/2022","20/04/2022","06/05/2022","EC Granted"
"234",16,"SIA/OR/MIN/259057/2022","DUMURIGODA SAND QUARRY OVER AN AREA OF 5.00 ACRES OR 2.023 HECTARES IN VILLAGE DUMURIGODA UNDER PATNA TAHASIL IN KEONJHAR DISTRICT ODISHA","Non-Coal Mining","02 Mar 2022","02/03/2022","","","17/03/2022","","","11/04/2022","20/04/2022","07/05/2022","EC Granted"
"235",17,"SIA/OR/MIN/253475/2022","2nd Dhepaguda Stone Quarry over an area of 1.785 acres or 0.7224 hectares bearing Khata no. 43(AAA), Plot no. 10,11&12 in village 2nd Dhepaguda, Tahasil- Sanakhemundi, District- Ganjam State Odisha.","Non-Coal Mining","07 Mar 2022","27/01/2022","29/01/2022","07/03/2022","17/03/2022","","","11/04/2022","20/04/2022","30/07/2022","EC Granted"
"236",18,"SIA/OR/MIN/253727/2022","Olaparu Morrum Quarry over an area of 4.20 Acers or 1.70 Ha having Khata No. 25, Plot No. 241 in the village Olaparu, Tahasil Pottangi in district Koraput, State Odisha.","Non-Coal Mining","28 Jan 2022","28/01/2022","","","30/01/2022","","","22/02/2022","06/03/2022","31/03/2022","EC Granted"
"237",19,"SIA/OR/MIN/252218/2022","Proposal for grant of EC of BIJUBANDH SAND BED over an area 12acre or  4.856hec in Bijubandh village of Panposh tahasil in Sundargarh dist. Odisha","Non-Coal Mining","19 Jan 2022","19/01/2022","","","28/01/2022","","","22/02/2022","06/03/2022","","Delisted"
"238",20,"SIA/OR/MIN/271585/2022","BAJABATI BLACK STONE QUARRY NO 6 OVER 5.00 AC OR 2.023 HECT IN VILLAGE BAJABATI UNDER DHARMASALA TAHASIL OF JAJPUR DISTRICT ODISHA.","Non-Coal Mining","07 May 2022","07/05/2022","","","07/05/2022","","","10/05/2022","","07/06/2022","EC Granted"
"239",21,"SIA/OR/MIN/272056/2022","Tangara Stone Quarry","Non-Coal Mining","13 May 2022","13/05/2022","27/06/2022","","","","","","","","Delisted"
"240",22,"SIA/OR/MIN/267457/2022","NEW PROPOSAL FOR GRANT OF EC OF NILAKANTHPUR STONE QUARRY OVER AN AREA OF 3.658 HECTARES OR 9.04 ACRES IN VILLAGE NILAKANTHPUR UNDER BANPUR TAHASIL OF KHORDHA DISTRICT, ODISHA","Non-Coal Mining","30 Jun 2022","12/04/2022","20/06/2022","30/06/2022","05/07/2022","","","22/07/2022","","17/08/2022","EC Granted"
"241",23,"SIA/OR/MIN/285373/2022","FRESH EC PROPOSAL OF TALAGADAKUHUDI MORRUM QUARRY OVER AN AREA OF 2.00 ACRES OR 0.809 HECTARES AT VILLAGE TALAGADAKUHUDI UNDER TANGI TAHASIL OF KHORDHA DISTRICT, ODISHA","Non-Coal Mining","26 Jul 2022","26/07/2022","","","03/08/2022","","","17/08/2022","","22/09/2022","EC Granted"
"242",24,"SIA/OR/MIN/79898/2021","GORADIA, SAND QUARRY OVER AN OVER AREA OF 6.07 HA AT BRAHMANI RIVER, GORADIA VILLAGE, KAMAKHYANAGAR TAHASIL, DHENKANAL DISTRICT, ODISHA STATE","Non-Coal Mining","21 Jul 2022","11/07/2022","18/07/2022","21/07/2022","21/07/2022","","","22/07/2022","","24/11/2022","EC Granted"
"243",25,"SIA/OR/MIN/241708/2021","NEW PROPOSAL FOR GRANT OF EC FOR KIAJHARI WHITE STONE QUARRY OVER AN AREA OF 1.00 ACRES OR 0.405 HECTARES IN VILLAGE KIAJHARI  BY SRI SATYAPIR SRICHANDAN, LEGAL HEIR OF LATE DRAUPADI SRICHANDAN","Non-Coal Mining","10 May 2022","30/11/2021","04/12/2021","10/05/2022","24/06/2022","","","22/07/2022","","17/08/2022","EC Granted"
"244",26,"SIA/OR/MIN/241729/2021","Proposal for Grant of EC of Baidyanath Sand Quarry over an area of 12.35 Acres or 5.00 Ha. in Village Baidyanath under Sonepur Tahasil in Subarnapur District.","Non-Coal Mining","30 Nov 2021","30/11/2021","","","04/12/2021","","","01/01/2022","11/01/2022","01/02/2022","EC Granted"
"245",27,"SIA/OR/MIN/241913/2021","Neunti Sand Quary Over an area of 12.25 Acres or 4.957 Hectares in Village Neunti under Rairangpur Tahasil of Mayurbhanj District of Odisha.","Non-Coal Mining","01 Dec 2021","01/12/2021","","","06/12/2021","","","01/01/2022","11/01/2022","01/02/2022","EC Granted"
"246",28,"SIA/OR/MIN/269568/2022","Proposal for Fresh EC of Badapadar Morrum Quarry over an area of 6.50 Acres or 2.632 Ha at Village-Badapadar, Tahasil-Banpur, Dist-Khordha of Sri Saroj Kumar Mohanty.","Non-Coal Mining","09 Jan 2023","26/04/2022","22/05/2022","09/01/2023","31/01/2023","","","10/02/2023","","","Delisted"
"247",29,"SIA/OR/MIN/271007/2022","Sankuru Stone Quarry over an area of 9.355 acers or 3.785 Ha having Khata No. 772 Plot No. 3442 in the village Sankuru, Tahasil Buguda in district Ganjam, State Odisha.","Non-Coal Mining","03 May 2022","03/05/2022","","","23/05/2022","","","03/06/2022","","18/07/2022","EC Granted"
"248",30,"SIA/OR/MIN/60333/2021","Hazaridanga Stone Quarry III","Non-Coal Mining","20 Jul 2022","09/03/2022","","","21/07/2022","","","22/07/2022","","","Site Visit by SEAC(Pending)"
"249",30,"SIA/OR/MIN/60333/2021","Hazaridanga Stone Quarry III","Non-Coal Mining","20 Jul 2022","09/03/2022","","","21/07/2022","","","22/07/2022","","","Accepted By SEAC"
"250",30,"SIA/OR/MIN/60333/2021","Hazaridanga Stone Quarry III","Non-Coal Mining","20 Jul 2022","09/03/2022","","","21/07/2022","","","22/07/2022","","","Accepted By SEAC"
"251",30,"SIA/OR/MIN/60333/2021","Hazaridanga Stone Quarry III","Non-Coal Mining","20 Jul 2022","09/03/2022","","","21/07/2022","","","22/07/2022","","","Accepted By SEAC"
"252",30,"SIA/OR/MIN/60333/2021","Hazaridanga Stone Quarry III","Non-Coal Mining","20 Jul 2022","09/03/2022","","","21/07/2022","","","22/07/2022","","","Delisted"
"253",30,"SIA/OR/MIN/60333/2021","Hazaridanga Stone Quarry III","Non-Coal Mining","20 Jul 2022","09/03/2022","","","21/07/2022","","","22/07/2022","","","Accepted By SEAC"
"254",30,"SIA/OR/MIN/60333/2021","Hazaridanga Stone Quarry III","Non-Coal Mining","20 Jul 2022","09/03/2022","","","21/07/2022","","","22/07/2022","","","Accepted By SEAC"
"255",30,"SIA/OR/MIN/60333/2021","Hazaridanga Stone Quarry III","Non-Coal Mining","20 Jul 2022","09/03/2022","","","21/07/2022","","","22/07/2022","","","Accepted By SEAC"
"256",31,"SIA/OR/IND2/285106/2022","Proposal for production of 0.540  KLD Mahua Flower Based Country Liquor Manufacturing Unit, Rimuli Main Out Still Shop at Rimuli, Tahasil- Champua, Dist- Keonjhar.","Industrial Projects - 2","23 Jul 2022","23/07/2022","","","02/08/2022","","","08/08/2022","","07/09/2022","EC Granted"
"257",32,"SIA/OR/MIN/285169/2022","BOTANDA BLACK STONE QUARRY","Non-Coal Mining","10 Nov 2022","26/09/2022","21/10/2022","10/11/2022","27/11/2022","","","17/12/2022","","27/04/2023","EC Granted"
"258",33,"SIA/OR/MIN/245998/2021","Proposal for grant of Environmental Clearance of Kendughat Sand Quarry 12.35 Acres or 5.00 Hects. in village Kendughat under Deogaon Tahasil of Balangir District.","Non-Coal Mining","18 Dec 2021","18/12/2021","","","23/12/2021","","","01/02/2022","06/02/2022","22/02/2022","EC Granted"
"259",34,"SIA/OR/MIN/245825/2021","Borbarajhar Laterite Stone Quarry -2 over an area of 1.00 Acres or 0.40 hectares in village Borbarajhar of Ranapur Tahasil of Nayagarh District of Odisha of  Tahasildar,Ranpur","Non-Coal Mining","07 Jan 2022","18/12/2021","23/12/2021","07/01/2022","26/01/2022","","","22/02/2022","05/03/2022","31/03/2022","EC Granted"
"260",35,"SIA/OR/MIN/265571/2022","Proposal for Fresh EC of Haladipada Laterite Stone Quarry over an area of 5.420 Acres or 2.193 Hectares at village Haladipada under Khordha Tahasil of Khordha District .Odisha","Non-Coal Mining","02 Apr 2022","02/04/2022","","","07/05/2022","","","03/06/2022","","30/06/2022","EC Granted"
"261",36,"SIA/OR/MIN/227111/2021","DHANIA NEW BUILDING STONE QUARRY (THA)","Non-Coal Mining","06 Sep 2021","01/09/2021","02/09/2021","06/09/2021","02/11/2021","","","05/11/2021","05/11/2021","25/11/2021","EC Granted"
"262",37,"SIA/OR/MIN/248466/2021","Proposal for grant of Environmental Clearance of Hadhada Stone Quarry over an area of 2.00 Acres or 0.809 Ha in village Hadhada under Muribahal Tahasil of Balangir district.","Non-Coal Mining","30 Dec 2021","30/12/2021","","","11/01/2022","","","03/02/2022","15/02/2022","11/03/2022","EC Granted"
"263",38,"SIA/OR/MIN/247754/2021","Proposal for grant of Environmental Clearance of Dharuakhaman Sand Quarry over an area of 12.355 Acres or 5.00 Ha in village Dharuakhaman under Sonepur Tahasil of Subarnapur district.","Non-Coal Mining","29 Jan 2022","27/12/2021","28/01/2022","20/01/2022","","","","","","","WithdrawEC"
"264",39,"SIA/OR/MIN/247747/2021","Salajharia Sand Quarry over an area of 11.95 Acres or 4.836 Hectares in Village- Salajharia under Khandapada Tahasil of Nayagarh District of Odisha","Non-Coal Mining","03 Jan 2022","27/12/2021","03/01/2022","03/01/2022","11/01/2022","","","03/02/2022","06/03/2022","30/03/2022","EC Granted"
"265",40,"SIA/OR/MIN/245755/2021","Mahammad Nagar Patna (Kha) Sand Bed Over an area of 11.50 Acres or 4.653 hectares in village Mahammad Nagar Patna under Jaleswar Tahasil of Balasore District of Odisha.","Non-Coal Mining","17 Dec 2021","17/12/2021","","","22/12/2021","","","01/02/2022","06/02/2022","","Delisted"
"266",41,"SIA/OR/MIS/121493/2019","Residential Development","INFRA-2","21 Nov 2019","21/11/2019","19/10/2019","21/11/2019","31/12/2019","","","13/01/2020","","","Delisted"
"267",42,"SIA/OR/MIN/237603/2021","PROPOSAL FOR GRANT OF EC OF SANKHARI EAST-WEST BUILDING STONE QUARRY(KHA), 04/18, OVER 8.449AC OR 3.41HA IN VILLAGE KAIPADAR IN DISTRICT/TAHASIL KHORDHA","Non-Coal Mining","09 Nov 2021","09/11/2021","","","14/11/2021","","","04/12/2021","04/12/2021","30/12/2021","EC Granted"
"268",43,"SIA/OR/MIN/253687/2022","Kurli Stone Quarry over an area of 7.69 Acers or 3.112 Ha having Khata No. 44, Plot No. 249 & 285 in the village Kurli, Tahasil Pottangi in district Koraput, State Odisha.","Non-Coal Mining","04 Jul 2022","28/01/2022","30/01/2022","04/07/2022","05/07/2022","","","22/07/2022","","17/08/2022","EC Granted"
"269",44,"SIA/OR/MIN/50636/2020","Sidhua River Jaripada Sand Quarry over an area of 25.00 Acre or 10.11 Ha in village Jaripada under Sadar Tahasil of Cuttack district Odisha","Non-Coal Mining","19 Apr 2021","20/03/2021","24/03/2021","19/04/2021","23/07/2021","","","23/07/2021","03/03/2022","03/06/2022","EC Granted"
