"","X...","Proposal.No.","File.No.","Project.Name","Company","Proposal.Status","Project.Type","View"
"5569",5,"SIA/RJ/IND/67106/2017","","Masonary Stone Mining and Crusher Project","RAMLAL GHOTIYA","Under examination of SEIAA - Processed offline","EC",NA
"5570",6,"SIA/RJ/MIN/188422/2020","14818","Shri Chaturbhuj Lohar Mankhand Granite Mining Project (ML No. 45/2020)","SHRI CHATURBHUJ LOHAR","EC Granted - Processed offline","EC",NA
"5571",7,"SIA/RJ/MIN/191660/2021","14998","“Granite & Masonry Stone (Minor Mineral) Mining Project” [Plot No.-33] at Near Village-Kanpura, Tehsil– Vijaynagar, District – Ajmer (Rajasthan) over an area of 1.00165 Hectare with proposed Production Capacity of 74387.5 TPA (ROM) by Kailash Meena.","SH KAILASH MEENA","Delisted","EC",NA
"5572",8,"SIA/RJ/MIN/158028/2020","13957","Khera Kesunda Masonary Stone, Ref. No.20191000010892, M.L. No. 11/2019, Khasra No. 87& 88","KESHU RAM BALAI","EC Granted - Processed offline","EC",NA
"5573",10,"SIA/RJ/MIN/221554/2021","15641","Hanuman Ram Karwa [CHINA CLAY MINING PROJECT, REF. NO. 20211000036363 & Area – 2.3106 Hectare Production capacity – 71887.5 TPA (ROM)  {Saleable – 64698.75 TPA & Waste- 7188.75 TPA} Near village – Tangla, Tehsil– Jayal, District– Nagaur (Rajasthan) ]","SHRI. HANUMAN RAM KARWA","EC Granted","EC",NA
"5574",1,"SIA/RJ/MIN/58540/2016","","Jhanjhar Marble Mine","GK FINCAP LIMITED","Under examination of SEIAA - Processed offline","EC",NA
"5575",2,"SIA/RJ/MIN/58971/2016","","Mandi Bhat Snadtone Mine 143/01","RAJA RAM GURJAR","Under examination of SEIAA - Processed offline","EC",NA
"5576",3,"SIA/RJ/MIN/61275/2016","","M.K.GUPTA
QUARTZ, SILICA SAND MINE
M.L. NO.-287/05, AREA-4.20 HA., N/V-JILO, NEEM KA THANA, SIKAR, RAJASTHAN","M K GUPTA","Under examination of SEIAA - Processed offline","EC",NA
"5577",4,"SIA/RJ/MIN/217744/2021","15523","Granite Mining Project (ML Area- 1.0017  ha. and ML No.- 63/2020   with production capacity of 214320  TPA (ROM) located at Near Village-Baghera, Tehsil-Kekri, District-Ajmer, State-Rajasthan by M/s. D.M. Granites","M/S D.M GRANITE","Delisted","EC",NA
"5578",5,"SIA/RJ/MIN/64388/2019","15561","Sanpur Granite Mine Cluster","SHRI ASHISH PATEL","Rejection Letter Granted","EC",NA
"5579",9,"SIA/RJ/MIS/52519/2016","","Affordable Group Housing Project ""Mega Avas Yojna""","NILA INFRASTRUCTURE PVT LTD","Under examination of SEIAA - Processed offline","EC",NA
"5580",10,"SIA/RJ/MIN/52554/2016","","Masonary Stone Mine ( M L NO. 13/1991 )","DHAPU PANWAR","Under examination of SEIAA - Processed offline","EC",NA
"5581",1,"SIA/RJ/MIN/231292/2021","15989","M/s R.K. Granites, Shergarh Granite Mining Project (M.L. No. 13/2020)","M/S R.K. GRANITES","EC Granted","EC",NA
"5582",2,"SIA/RJ/MIN/193981/2021","14893","China Clay Mining Project, M.L. No. 40/2019","RAMKUNWAR MEENA","Delisted","EC",NA
"5583",6,"SIA/RJ/MIN/35035/2015","","Shri Yogesh Kumar","SHRI YOGESH KUMAR","TransferToDEIAA","EC",NA
"5584",7,"SIA/RJ/MIS/108957/2019","362","Matrachaya II","MATRACHAYA DREAM BUILDERS PVT. LTD.","EC Granted - Processed offline","EC",NA
"5585",9,"SIA/RJ/MIS/111296/2019","365","Green City","LDM HOME DEVLOPER PVTLTD","EC Granted - Processed offline","EC",NA
"5586",10,"SIA/RJ/MIN/39691/2019","11992","Proposed Ball Clay, Fire Clay, Silica Sand, Graval and Murrum Mining Project (ML Area 3.9895 ha and Reference No-201810000128) with production capacity of 1,84,995 TPA located Near Village – Deh, Tehs","SANJAY                      SINGH","EC Granted - Processed offline","EC",NA
"5587",2,"SIA/RJ/MIN/187314/2020","14716","“Masonry Stone (Minor Mineral) Mining Project” (Ref. No.-20201000022563, Area- 3.7761 Ha.) with Production capacity 952725 TPA (ROM) {Saleable Mineral-905088 TPA & Waste-47637 TPA} along with Proposed Crusher Plant - Mesto Crusher/Washing Plant of 20","SHRI SANJU MEENA","EC Granted - Processed offline","EC",NA
"5588",3,"SIA/RJ/MIN/186344/2020","14682","“Short Term Permit Masonry Stone (Minor Mineral) Mining Project” (Ref. No.-20201000024805, Area- 0.9750 Ha.) with Production capacity 105750 TPA (ROM) {Saleable Mineral-100463 TPA & Waste-5288 TPA} at Near village – Thapan, Tehsil– Siwana, District–","LAKSHMI INFRA STRUCTURE & DEVELOPERS IPL","EC Granted - Processed offline","EC",NA
"5589",5,"SIA/RJ/MIN/57247/2016","","Rati Talai Quartz & Feldspar Mine 14/2010
Applicant Shri Gopal Singh Bhati","GOPAL SINGH BHATI","Under examination of SEIAA - Processed offline","EC",NA
"5590",6,"SIA/RJ/MIN/57493/2016","","FELDSPAR & QUARTZ MINING PROJECT 
M.L. NO. 110/2001
N/V AMALDA 
TEH. MANDAL
DISTT. BHILWARA","ANTAR NATH KALBELIYA","Under examination of SEIAA - Processed offline","EC",NA
"5591",7,"SIA/RJ/MIN/195762/2021","14946","NIMOD MASONARY STONE MINE With Proposed Crusher Unit (Unit Name is M/s Goyal Mineral & Unit Capacity is 250 TPH)","M/S GOYAL MINERALS","EC Granted - Processed offline","EC",NA
"5592",10,"SIA/RJ/MIN/37447/2015","","Shishvi Quartz & Feldspar Mine, ML No. 151/10","SMT SUNITA KUMAWAT","TransferToDEIAA","EC",NA
"5593",7,"SIA/RJ/MIN/133989/2019","13341","RAMDEV [BAJRI MINING PROJECT, REF. NO. 20191000013529]","RAMDEV","Delisted","EC",NA
"5594",8,"SIA/RJ/MIN/137896/2020","","Application for Expansion & transfer in earlier granted Environmental clearance for Masonry Stone Mining Project. Expansion in Production capacity from 1,32,000 TPA to 1,80,000 TPA (ROM) (M.L No.-809/","SHRI UDAI SINGH SHEKHAWAT S/O SHRI PUSHKAR SINGH SHEKHAWAT","Delisted","EC",NA
"5595",9,"SIA/RJ/MIN/156576/2020","13954","Beed Quartz & Feldspar Area","SMT. CHANDA DEVI PAREEK","EC Granted - Processed offline","EC",NA
"5596",10,"SIA/RJ/MIN/39982/2019","12054","Pabunagar Sandstone Plot 83","M/S P S BUILDTECH","EC Granted - Processed offline","EC",NA
"5597",2,"SIA/RJ/MIN/91325/2019","11280","Masonary Stone & Sandstone Mine, ML NO. - 03/2002","SH GANPAT SINGH","EC Granted - Processed offline","EC",NA
"5598",3,"SIA/RJ/MIN/91395/2019","11279","Masonary Stone & Sandstone Mine, ML No.- 02/2002","SH KISHNA  RAM","Delisted","EC",NA
"5599",5,"SIA/RJ/MIN/142392/2020","13660","SHRI MAHAVEER PRASAD SAINI [QUARTZ & FELDSPAR MINING PROJECT, M.L. NO. 01/2012]","MAHAVEER PRASAD SAINI","EC Granted - Processed offline","EC",NA
"5600",6,"SIA/RJ/MIN/51029/2018","14166","Kantharia China Clay Mine,  M.L. No. 01/2001 (M.L. Area - 51.03 Ha) with existing China Clay production capacity 1,02,000 TPA and modernization in mining method from manual to mechanized without drill","JK WHITE CEMENT WORKS GOTAN UNIT OF JK CEMENT LTD","EC Granted - Processed offline","EC",NA
"5601",7,"SIA/RJ/MIN/146356/2020","13783","BUDHA DEVAL MASONARY STONE MINE (REF. NO. 20191000013855)","SHRI DEVKARAN","EC Granted - Processed offline","EC",NA
"5602",8,"SIA/RJ/MIN/147236/2020","13794","“Granite Mineral Mining Project” [M.L.No-23/2020 (Ref. No. 20201000017054), Area – 3.1615 Ha.] with Production Capacity – 367482 TPA (ROM) {Saleable Mineral-146992  TPA  &  Waste-220490 TPA} at Near v","SH ASHWINI MEWARA & SMT ASHA DARGRAH","EC Granted - Processed offline","EC",NA
"5603",10,"SIA/RJ/MIN/144100/2020","13707","MAHESH AGARWAL [GRANITE & MASONRY STONE MINING PROJECT, PLOT NO. 36]","MAHESH AGARWAL","EC Granted - Processed offline","EC",NA
"5604",1,"SIA/RJ/MIN/55685/2016","","Q.L.NO. 22
BOUNDARY- SUKHPURA- I 
TEHSIL - BIJOLIYA 
DISTT. BHILWARA 
AREA 0.18 HECT 
MINERAL SAND STONE","BADRI PRASAD GURUJI","Under examination of SEIAA - Processed offline","EC",NA
"5605",2,"SIA/RJ/MIN/56599/2016","","Masonary Stone Minning Project
Applicant- M/S Jagdamba Stones 
ML No-01/96
Area-0.9492 Hect.
Near village- Chava, Tehsil-gangapur City,Dist.-Sawai Madhopur(Raj)","JAGDAMBA STONES","Under examination of SEIAA - Processed offline","EC",NA
"5606",3,"SIA/RJ/MIN/60175/2016","","Masonry Stone & Other Decorative Stone (Serpentine Marble) Mining Project, M.L.no.118/07, Area-1.00 hect. Near Village- Kishanpura, Tehsil- Bassi, District- Jaipur, Lessee- Shri Shiv Chand Saxena, Production Capacity- 1,10,000 TPA.","SHIVCHAND SAXENA","Under examination of SEIAA - Processed offline","EC",NA
"5607",4,"SIA/RJ/MIN/217549/2021","15425","BAGHERA GRANITE APPLIED ML AREA  (M.L. No- 45/2021)","M/S SARVM GRANITE AND MINERALS","EC Granted - Processed offline","EC",NA
"5608",5,"SIA/RJ/MIN/219596/2021","15579","Granite (Minor Mineral) Mining Project” (Ref. No. 20201000029015, Area-2.5532Ha.) with Production capacity -4,12,440TPA (ROM) {Saleable Mineral-2,26,842TPA (i.e. Khanda-68,053TPA, Granite Blocks/Lumps-1,58,789TPA) & Waste-1,85,598  TPA}  located Near","SHRI SITARAM MEGHWAL","EC Granted","EC",NA
"5609",6,"SIA/RJ/MIN/52447/2016","","Oda Soapstone Mine, ML No. 15/83","SMT NARANGI DEVI MENGOTIA","Under examination of SEIAA - Processed offline","EC",NA
"5610",7,"SIA/RJ/MIN/52553/2016","","Masonary Stone Mine ( M L NO. 29/2003 )","GOTAM SHARMA","Under examination of SEIAA - Processed offline","EC",NA
"5611",8,"SIA/RJ/MIN/39280/2016","","Sawa old ql area (plot no 404)","FULA BAI","Under examination of SEIAA - Processed offline","EC",NA
"5612",9,"SIA/RJ/MIN/39295/2016","","SAWA OLD QL AREA (PLOT NO 192)","GOPAL PURI","Under examination of SEIAA - Processed offline","EC",NA
"5613",10,"SIA/RJ/MIN/39326/2016","","MASONARY STONE MINING PROJECT ML NO.-828/07","ARJUN LAL","Under examination of SEIAA - Processed offline","EC",NA
"5614",1,"SIA/RJ/MIN/55653/2016","","QL NO 84 BHALU A SAND STONE MINING PROJCET","SMT BICHCHHU DEVI","Under examination of SEIAA - Processed offline","EC",NA
"5615",2,"SIA/RJ/MIN/38722/2016","","Proposed Quartz & Feldspar,
M.L.No. – 07/2010, situated Near Village- Gigalpura, Tehsil-Pisangan, District- Ajmer, (Raj.).Over an area of 4.80 ha. for production of 5000 TPA","VAIBHAV RANIWAL","Under examination of SEIAA - Processed offline","EC",NA
"5616",3,"SIA/RJ/MIN/39544/2016","","Manpura New Ext A QL area (plot no. 39)","ROSHANLAL","Under examination of SEIAA - Processed offline","EC",NA
"5617",4,"SIA/RJ/MIN/41078/2016","F/SEIAA/OLRJEC/2016/2597","MARBLE MINING PROJECT (ML No-219/2002)","SMT ARUNA DEVI","TransferToDEIAA","EC",NA
"5618",5,"SIA/RJ/MIN/42237/2019","12592","Shri Chittar Lal Dhakar, Bijoliya Khurd Sand Stone Mine Project Q.L. NO. 19/2018","CHITTAR LAL DHAKAR","EC Granted - Processed offline","EC",NA
"5619",9,"SIA/RJ/MIN/34400/2015","F/SEIAA/OLRJEC/2016/77","Biramsar Masonary Stone Mine ( M.L.NO. 5/1991 )","VIMLA DEVI","TransferToDEIAA","EC",NA
"5620",10,"SIA/RJ/MIN/34401/2015","F/SEIAA/OLRJEC/2016/78","Badela Masonary Stone Mine ( M.L.NO. 14/2014 )","ADUNATH SIDH","Under examination of SEIAA - Processed offline","EC",NA
"5621",2,"SIA/RJ/MIS/210612/2021","586","Development of Proposed Medical College  District – Karauli, Rajasthan Medical Education Department, Government of Rajasthan","MEDICAL EDUCATION DEPARTMENT, GOVERNMENT OF RAJASTHAN","Delisted","EC",NA
"5622",3,"SIA/RJ/MIN/131838/2019","13222","kunwar granite mine (ML No 118/2018)","RANKA MINES","EC Granted - Processed offline","EC",NA
"5623",4,"SIA/RJ/MIN/138457/2020","13512","“Masonry Stone Mining Project” (Ref. No.- 20191000011063, Area – 1.0 Ha.) with Production Capacity 202020 TPA(ROM) {Saleable Mineral – 181818 TPA & Waste – 20202TPA} Near village –Trisingri Sodha, Teh","SH BHEEKH SINGH & PARTNERS","EC Granted","EC",NA
"5624",5,"SIA/RJ/MIN/31576/1900","","Quartz, Feldspar &Marble Mining Project (M.L No. 14/2018)","SMT SUGNI DEVI","Pending at PP due to eds","EC",NA
"5625",7,"SIA/RJ/MIN/42294/2016","","SHRI CHOUTH MAL SAINI
MASONRY STONE MINING PROJECT, M.L. NO.-35/02, AREA-1.0 HA.","SHRI CHOUTHMAL SAINI","Under examination of SEIAA - Processed offline","EC",NA
"5626",1,"SIA/RJ/MIN/40096/2019","12426","QUARTZ & FELDSPAR MINING PROJECT (ML NO 13/2018)","SHRI KHEM SINGH RAO","Delisted","EC",NA
"5627",2,"SIA/RJ/MIN/154036/2020","13973","Kankriya Masonary Stone Mine (Ref. No. 2019100008647)","M/S ARVIND KUMAR & SONS.(HUF.)","EC Granted - Processed offline","EC",NA
"5628",3,"SIA/RJ/MIN/51966/2019","14290","Daruda Masonary Stone Mine Cluster Area. (Plot no.-18)","GIRDHAR SINGH 18","Delisted","EC",NA
"5629",4,"SIA/RJ/NCP/43483/2017","389","Innowise Industrial Park and CETP” (5 MLD abased on FAB Technology)","INNOWISE INDUSTRIAL PARK","EC Granted","EC",NA
"5630",5,"SIA/RJ/MIN/132608/2019","13276","PACHLAGI (JHADAYA) MASONARY STONE  MINE (Plot No. 05)","SHRI GAJANAND","EC Granted - Processed offline","EC",NA
"5631",6,"SIA/RJ/MIN/166158/2020","14182","Shri Ashish Basotiya, Bodigama Bada Quartz Mining Project (M.L. No. 02/2020)","SHRI ASHISH BASOTIYA","EC Granted - Processed offline","EC",NA
"5632",7,"SIA/RJ/MIN/141765/2020","13650","Proposed Gypsum Mining Project (ML Area-4.5692 ha and Ref No.-2018161856) with production capacity of 50,000 TPA, Kh. No.-193/53 located at Near Village–Mandhau (Chak No.-16 MGD), Tehsil-Mohangarh-II,","SH. DEEPCHAND SAHU","Delisted","EC",NA
"5633",8,"SIA/RJ/MIN/37305/2019","11864","Granite Mining Project, M.L. No. 53/2018”","RAMPAL BALAI","EC Granted - Processed offline","EC",NA
"5634",9,"SIA/RJ/MIN/66105/2017","","Silica Sand Mining Project, M.L.no.3/99, Area- 5.00 hect. Near Village- Khirkhira, Tehsil- Karauli, District- Karauli, Lessee- M/s Ramapura Minerals Pvt. Ltd. Production Capacity- 64,740 TPA.","MS RAMAPURA MINERALS PVT LTD","Under examination of SEIAA - Processed offline","EC",NA
"5635",10,"SIA/RJ/MIN/37390/2019","11741","GHATIYALI GRANITE MINE","MS KRISHNA GRANITE","EC Granted - Processed offline","EC",NA
"5636",1,"SIA/RJ/MIN/44575/2019","12795","Rohat Bajari area","MOHAN LAL BHATI","EC Granted - Processed offline","EC",NA
"5637",2,"SIA/RJ/MIN/44794/2016","12851","M/s Bhanwar Granites (M L No 155/05)","M/S BHANWAR GRANITES","Delisted","EC",NA
"5638",3,"SIA/RJ/MIN/44998/2019","12865","M/S B.D. MINING & MINERALS","S.K. MINERALS & MARBLES","EC Granted - Processed offline","EC",NA
"5639",4,"SIA/RJ/MIN/45260/2019","12898","Masonry Stone Mining Project {Production capacity  200000 TPA(ROM) Saleable Mineral – 180000 TPA & Waste – 20000 TPA} along with Stone Crusher plant (3000 MTPD) (M.L. No.- 10/2019, Plot No. 9, Area –","ADAPT INFRA PRIVATE LIMITED","EC Granted - Processed offline","EC",NA
"5640",8,"SIA/RJ/MIN/42302/2016","","SHRI RAVI KUMAR SUKHWAL
RED OCHER & CHINA CLAY MINING PROJECT, M.L. NO.-74/2007, AREA-4.80 HA.","SMT NEERAJ DEVI","Under examination of SEIAA - Processed offline","EC",NA
"5641",9,"SIA/RJ/MIN/49119/2016","","GRANITE MINING PROJECT (ML No 75/2003)","MS DEVESHWAR MINERALS","Under examination of SEIAA - Processed offline","EC",NA
"5642",10,"SIA/RJ/MIN/55938/2016","","QL NO 2433 BHOMIYA JI KA THAN SAND STONE MINING PROJECT","MEETHA RAM","Under examination of SEIAA - Processed offline","EC",NA
"5643",3,"SIA/RJ/MIN/41987/2016","","Datunda Phyllite Schist Mine
M.L. NO.-23/1994","BHANWAR LAL BAIRWA  AND MANISH BAIRWA","WithdrawEC","EC",NA
"5644",4,"SIA/RJ/MIN/42505/2016","F/SEIAA/OLRJEC/2016/3126","Slate Stone Mining Project (ML No-84/98)","SHRI RAHUL RAJ YADAV","TransferToDEIAA","EC",NA
"5645",5,"SIA/RJ/MIN/143961/2020","13742","Goleta Masonary Stone Mine (M.L. No. 485/1990)","SHRI  SUNIL KUMAR AGARWAL","Delisted","EC",NA
"5646",6,"SIA/RJ/MIN/38513/2016","","Moti Timbi Masonary Stone Mining Project","SHARAD CHANDRA KATARA","Under examination of SEIAA - Processed offline","EC",NA
"5647",7,"SIA/RJ/MIN/145038/2020","13715","“Quartz Mineral Mining Project” {M.L. No- 33/2019  (Ref. No-20191000010565), Area – 1.2917 Ha.} with  Production Capacity – 74365 TPA (ROM) {Saleable Mineral-66929 TPA & Waste -7436 TPA} at Near villa","M/S ADVANTIS QUARTZ  PVT. LTD.","EC Granted - Processed offline","EC",NA
"5648",8,"SIA/RJ/MIN/35913/2019","12157","Katar Granite Mining Project ML No. 60/2018","AGREEM","EC Granted - Processed offline","EC",NA
"5649",3,"SIA/RJ/MIS/100877/2019","342","Group Housing Scheme “Shanti Prime”","SHANTI INFRAPROMOTERS PRIVATE LIMITED","EC Granted - Processed offline","EC",NA
"5650",4,"SIA/RJ/MIN/131845/2019","13211","Bajri Mining Project (ML Area-2.3315 ha. and Reference No.- 2019000012691 with production capacity of 1,57,376 TPA located Near Village-Kotdi, Tehsil- Samdari, Distt-Barmer, (Rajasthan) by Shri Anil S","SHRI ANIL","Delisted","EC",NA
"5651",5,"SIA/RJ/MIN/46023/2019","13007","Quartz- Feldspar Mineral Mining Project (M.L. No. 90/2019, Area – 1.4438Ha, Production Capacity – 83335 TPA (ROM) {Blockable Mineral 50001 TPA & Lumps 8334 TPA & waste 25001 TPA} Near village– Kheradi","SHRI MOHAMMAD TOSIF","EC Granted - Processed offline","EC",NA
"5652",6,"SIA/RJ/MIN/138456/2020","13509","Golasani Sandstone Lease  Area, Ref No 2018100001165","SMT BHAWARI BAI","EC Granted - Processed offline","EC",NA
"5653",7,"SIA/RJ/MIN/55565/2016","","Proposed Granite Mining Project
M.L.No. 224/91, N/v- Bala, teh. Ahore, Dist. Jalore
Applicant - M/s Gaurav Stone Pvt. Ltd.","MS GAURAV STONE PRIVATE LTD","Under examination of SEIAA - Processed offline","EC",NA
"5654",8,"SIA/RJ/MIN/55601/2016","","SANDSTONE MINING PROJECT (QL No 428) Khuman Quarry Boundary","SHRI INDRA SINGH","Under examination of SEIAA - Processed offline","EC",NA
"5655",9,"SIA/RJ/MIN/51502/2016","","khodip q.l. area plot no.-d-103","BAGDI BAI","Under examination of SEIAA - Processed offline","EC",NA
"5656",1,"SIA/RJ/MIN/37290/2019","11819","Shri Sajjan Singh Hirankhuri Bajri Mining Project  (Reference No.- 2019100005279), Khasra No.- 34, 35","SHRI SAJAN SINGH","EC Granted - Processed offline","EC",NA
"5657",2,"SIA/RJ/NCP/93116/2019","308","Proposed Residential & Commercial Township Project at Khasra Nos.: 114/2, 114/5, 115, 129, 122/1, 124/1, 124, 125, 126, 126/1, 127/1, 127/2, 127/3, 127/4 in Village Pal & Khasra No. 210, 211 & 212 in Village Gangana, Tehsil & District: Jodhpur (Rajas","AASAN REALTY PRIVATE LIMITED","EC Granted","EC",NA
"5658",4,"SIA/RJ/MIN/38130/2016","","Masonry Stone Mining Project of Smt. Sweety Agarwal located - N/v -Manoharpura (Buraha Harmara), Tehsil - Amber, District - Jaipur (Rajasthan) (M.L. No. 219/97)","SMT SWEETY AGARWAL","TransferToDEIAA","EC",NA
"5659",5,"SIA/RJ/MIN/38614/2016","","Sindru Masonry Stone Mines
(ML No.-09/1994)","SMT GOPAL KANWAR","Under examination of SEIAA - Processed offline","EC",NA
"5660",1,"SIA/RJ/MIN/39332/2016","","sawa old ql area (plot no 269)","ASHA BAI","Under examination of SEIAA - Processed offline","EC",NA
"5661",2,"SIA/RJ/MIN/39346/2016","","sawa old ql area (plot no 59)","SATAYNARAYAN","Under examination of SEIAA - Processed offline","EC",NA
"5662",3,"SIA/RJ/MIN/145353/2020","13949","Marble Quarry of Ullodi Range","M/S ORIENT TILES & COMPANY","EC Granted - Processed offline","EC",NA
"5663",4,"SIA/RJ/MIN/214422/2021","15387","Masonry Stone (Crusher Gitti) Mining Project","LABHCHAND MEGHWAL","EC Granted - Processed offline","EC",NA
"5664",5,"SIA/RJ/MIN/214487/2021","","Juni Aati Masonry Stone Mining Project, Plot No. 102","SHRI PUNAM CHAND","Delisted","EC",NA
"5665",6,"SIA/RJ/MIN/224689/2021","15736","M/s Kajod Mal Jat Masonry Stone Mining Project, Plot No.- 79, Area – 3.4147 Ha., Near Village- Rampura Dabla,Picholiya, Tehsil– Pisangan, District– Ajmer(Rajasthan)","M/S KAJOD MAL JAT","EC Granted","EC",NA
"5666",7,"SIA/RJ/MIN/192708/2021","14936","Shri Prem Singh Malik, Dhasuk Granite Mining Project (ML No. 15/2020)","SHRI PREM SINGH MALIK","EC Granted - Processed offline","EC",NA
"5667",8,"SIA/RJ/MIN/192447/2021","14927","BHAGWANPURA GRANITE MINE (REF. NO. 20201000024604)","SMT. NARBDA DEVI","EC Granted - Processed offline","EC",NA
"5668",9,"SIA/RJ/MIN/198866/2021","15096","“Masonry Stone (Minor Mineral) Mining Project” [Plot No.-15] at Near Village-Mohanpur, Tehsil & District – Karauli (Rajasthan) over an area of 4.3543 Hectare with proposed Production Capacity of 100000 TPA (ROM) by M/s Girraj Maharaj & Company","M/S GIRRAJ MAHARAJ & COMPANY","EC Granted - Processed offline","EC",NA
"5669",1,"SIA/RJ/MIN/93634/2019","11396","NANANGWAS CALCITE & MASONRY STONE MINE M.L.NO.-147/04","PRAMODSINGH","EC Granted - Processed offline","EC",NA
"5670",2,"SIA/RJ/MIN/32689/2019","11666","Proposed Project of Ball Clay , Fire Clay, Silica Sand,Gravel and Murrum Mining","SHARWAN  RAM","EC Granted - Processed offline","EC",NA
"5671",3,"SIA/RJ/MIN/161170/2020","13980","Bhankri Stone Mine Area. (M.L.No.-23/99)","SH NARAYAN LAL MEENA","Delisted","EC",NA
"5672",4,"SIA/RJ/MIN/165426/2020","","Quartz and Feldspar mine Mining Project (M.L. No.-92/2018, Area – 1.4627 Ha.) Near Village-  Barsani, Tehsil - Asind, District – Bhilwara","SHREE KALU RAM","Delisted","EC",NA
"5673",5,"SIA/RJ/MIN/195311/2021","14902","“Masonry Stone (Minor Mineral) Mining Project” (Plot No. 83, Area- 1.00 Ha.) with Production capacity -58000 TPA (ROM) { Saleable Mineral-52200 TPA & Waste-5800 TPA} at Near village – Kanwlai, Tehsil– Pushkar, District– Ajmer (Rajasthan)","PINK CITY","EC Granted - Processed offline","EC",NA
"5674",6,"SIA/RJ/MIN/231344/2021","15992","M/s Shree Ram Granite, Mundoti Granite Mining Project (M.L. No. - 39/2021)","M/S SHREE RAM GRANITE","EC Granted","EC",NA
"5675",7,"SIA/RJ/MIN/254359/2022","17040","Quartz and Feldspar (Minor Mineral) Mining Project” (M.L.No-108/2001, Area-4.15Ha.) Production capacity -83967 TPA (ROM) with Saleable Mineral-43425 TPA& Waste-16701 TPA, OB-17160, Sub Grade-6681}  located Near village –Amdala, Tehsil– Mandal, Distri","OM MEWARA","EC Granted","EC",NA
"5676",8,"SIA/RJ/MIN/200009/2021","15068","Sand Stone Mining Project, Q. L. No. 390","MANOVAR BANO","Delisted","EC",NA
"5677",9,"SIA/RJ/MIN/138998/2020","13593","binota a limestone (patti/khanda farsi) ql area (ql no 142)","ANKITA CONSTRUCTION","EC Granted - Processed offline","EC",NA
"5678",10,"SIA/RJ/MIN/203320/2021","15614","BIJOLIYA KHURD RED OCHRE MINE","BIJOLIYA KHURD RED OCHRE MINE","Rejection Letter Granted","EC",NA
"5679",1,"SIA/RJ/MIN/55618/2016","","Masonry Stone Mining Project of M/s. Divine Enterprises, (M.L.No. 89/1994, Lease Area – 1.00Ha.), Located near village - Dadar, Tehsil – Amber, District – Jaipur (Rajasthan).","MS DIVINE ENTERPRISES","Under examination of SEIAA - Processed offline","EC",NA
"5680",2,"SIA/RJ/MIN/55734/2016","","Seliberi Masonry Stone Mine 
(ML No.: 13/2011)","SELIBERI MASONARY STONE MINE","Under examination of SEIAA - Processed offline","EC",NA
"5681",3,"SIA/RJ/MIN/55780/2016","","Poli MASONRY STONE & SAND STONE PROJECT, M.L NO 98/1992","CHAGGAN LAL GURJAR","Under examination of SEIAA - Processed offline","EC",NA
"5682",4,"SIA/RJ/MIN/55803/2016","","QL NO 842 BHOMIYA JI KA THAN SAND STONE MINING PROJECT","SHRI CHOGA RAM JI","Under examination of SEIAA - Processed offline","EC",NA
"5683",6,"SIA/RJ/MIN/59607/2016","","Masonry Stone Mining Project, M.L.no.311/06, Area- 1.00 hect. Near Village- Gorir, Tehsil- Khetri, District- Jhunjhunun, Lesse- Shri Sukhpal, Production Capacity- 1,00,000 TPA.","SHRI SUKHPAL","Under examination of SEIAA - Processed offline","EC",NA
"5684",7,"SIA/RJ/MIN/55248/2016","","Limestone (Flooring) Mine , ML No - 207/2009 , Area- 1.0 hect","SURESH KUMAR VYAS","Under examination of SEIAA - Processed offline","EC",NA
"5685",8,"SIA/RJ/MIN/55884/2016","","SANDSTONE MINING PROJECT (Q.L. No. 40)
BHALU B QUARY BOUNDARY","SRI BHANWAR LAL","Under examination of SEIAA - Processed offline","EC",NA
"5686",9,"SIA/RJ/MIN/60690/2016","","Proposed Chopanki Masonry Stone Mine, M.L. No. 126/1997","MS DEEWA CONSTRUCTION PRODUCT INDUSTRIES","Under examination of SEIAA - Processed offline","EC",NA
"5687",10,"SIA/RJ/MIN/42163/2016","","MANPURA OLD LIMESTONE KHANDA FARSI Q.L. AREA PLOT NO.-466","GOPAL PURI","Under examination of SEIAA - Processed offline","EC",NA
"5688",1,"SIA/RJ/MIN/164994/2020","14212","Quartz & Feldspar Mining Project (ML Area 4.7745 ha and ML No. 35/03) with production capacity of 70044 TPA ( ROM) located Near Village Raghunath Pura, Tehsil – Asind, District- Bhilwara (Rajasthan)  by Shri Gyan Chand Jain S/o Shri Chandmal Jain","SH. GYAN CHAND JAIN","Delisted","EC",NA
"5689",2,"SIA/RJ/MIN/54484/2019","14065","Pator Silica Sand Mine","M/S JAI SHIV SHANKAR MINERALS","EC Granted - Processed offline","EC",NA
"5690",3,"SIA/RJ/MIN/168023/2020","14837","Tagadiya Granite Mining Project  ML No. 16/2018","SMT KAILASHI DEVI","Delisted","EC",NA
"5691",4,"SIA/RJ/MIN/171033/2020","14271","Bagiya Charnan Masonry Stone Mining Project, Ref. No.: 20201000017584","JAWALA PRASAD MEENA","EC Granted - Processed offline","EC",NA
"5692",5,"SIA/RJ/IND2/171279/2020","486","Manufacturing of Drugs and Drug Intermediate by N. K. Synthesis Pvt. Ltd Unit -2","N K SYNTHESIS PVT. LTD.","EC Granted","EC",NA
