"","Proposal.No.","File.No.","Project.Name","Company","Proposal.Status","Project.Type","View"
"199","SIA/OR/MIN/247754/2021","","Proposal for grant of Environmental Clearance of Dharuakhaman Sand Quarry over an area of 12.355 Acres or 5.00 Ha in village Dharuakhaman under Sonepur Tahasil of Subarnapur district.","TAHASILDAR  SONEPUR","WithdrawEC","EC",NA
"200","SIA/OR/MIN/247747/2021","247747/512-MINB2/01-2022","Salajharia Sand Quarry over an area of 11.95 Acres or 4.836 Hectares in Village- Salajharia under Khandapada Tahasil of Nayagarh District of Odisha","PANKAJINI DAS","EC Granted","EC",NA
"201","SIA/OR/MIN/245755/2021","245755/136-MINB2/12-2021","Mahammad Nagar Patna (Kha) Sand Bed Over an area of 11.50 Acres or 4.653 hectares in village Mahammad Nagar Patna under Jaleswar Tahasil of Balasore District of Odisha.","TAHASILDARJALESWARBALASORE","Delisted","EC",NA
"202","SIA/OR/MIS/121493/2019","121493/13-MIS/11-2019","Residential Development","CREATIVE CULTIVATION PRIVATE LIMITED","Delisted","EC",NA
"203","SIA/OR/MIN/237603/2021","237603/64-MINB2/11-2021","PROPOSAL FOR GRANT OF EC OF SANKHARI EAST-WEST BUILDING STONE QUARRY(KHA), 04/18, OVER 8.449AC OR 3.41HA IN VILLAGE KAIPADAR IN DISTRICT/TAHASIL KHORDHA","SHRI JOGINATH BAHUBALENDRA","EC Granted","EC",NA
"204","SIA/OR/MIN/253687/2022","253687/323-MINB2/07-2022","Kurli Stone Quarry over an area of 7.69 Acers or 3.112 Ha having Khata No. 44, Plot No. 249 & 285 in the village Kurli, Tahasil Pottangi in district Koraput, State Odisha.","TAHASILDAR POTTANGI","EC Granted","EC",NA
"205","SIA/OR/MIN/50636/2020","50636/126-MINB1/03-2021","Sidhua River Jaripada Sand Quarry over an area of 25.00 Acre or 10.11 Ha in village Jaripada under Sadar Tahasil of Cuttack district Odisha","PRANAKRUSHNA NAYAK","EC Granted","EC",NA
"206","SIA/OR/MIN/230818/2021","","Damol Sand Quarry over an area of 4.05 Ha or 10.00 Acres at village Damol under Sarang Panchayat of Parjang Tahasil of Dhenkanal district, Odisha.","DAMOL SAND QUARRY","WithdrawEC","EC",NA
"207","SIA/OR/MIN/255549/2022","255549/562-MINB2/02-2022","Jamunaposi Stone Quarry over an area of 2.50 acres or 1.012 hectares in village Jamunaposi under Patna Tahasil of Keonjhar District of Odisha.","TAHASILDAR PATNA","EC Granted","EC",NA
"208","SIA/OR/MIN/255569/2022","255569/551-MINB2/02-2022","Proposal for grant EC of PUSPALLI SAND QUARRY over an area 7.41acres or 3.000hect. in Puspalli village of Malkangiri Tahasil in Malkangiri dist, Odisha","TAHASILDAR MALKANGIRI","Rejection Letter Granted","EC",NA
"209","SIA/OR/MIN/279361/2022","","New proposed project of Gudiali-1 Stone  Quarry with proposed excavation of 9855 CUM/year of stone of Tahasildar Kabisuryanagar having an area of 4.856 Ha. Located at Khata No. 2203, Plot No. 8613/A & 8614/A,  At-  Gudiali, Tahasil- Kabisuryanagar, D","TAHASILDAR KABISURYANAGAR","WithdrawEC","EC",NA
"210","SIA/OR/MIN/58376/2020","58376/82-MINB1/11-2020","Cluster-5 mine  constituted of Dankari, Barada & Baraman hillocks over an area of 243.19 Acres or 98.42 Hectares located in villages/Mouza Dankari, Barada & Baraman under Dharmasala Tahasil of District Jajpur, Odisha including 24 nos of mining lease areas.","DHARMASALA TAHASIL","EC Granted","EC",NA
"211","SIA/OR/MIN/240679/2021","240679/515-MINB2/01-2022","DURGAPURKUDA-II SAND QUARRY(BRAHMANI RIVER)OVER AN AREA OF 12.30 ACRES OR 4.977HA. IN VILLAGE DURGAPURKUDA UNDER RASULPUR TAHSIL OF JAJPUR DISTRICT, ODISHA.","TAHSILDAR RASULPUR","EC Granted","EC",NA
"212","SIA/OR/MIN/62071/2021","62071/590-MINB1/03-2022","Guitana, Nagrigudari, Kainjhar sand mining project","SATYABAN KANHAR","EC Granted","EC",NA
"213","SIA/OR/MIN/280042/2022","280042/314-MINB2/06-2022","PROPOSAL FOR FRESH EC OF DABARDHUA BOULDER QUARRY OVER AN AREA OF 1.00 ACRES OR 0.404 HECTARES AT VILLAGE DABARDHUA UNDER BOLAGARH TAHASIL OF KHORDHA DISTRICT, ODISHA","TAHASILDAR BOLAGARH","Delisted","EC",NA
"214","SIA/OR/MIN/228477/2021","228477/101-MINB2/12-2021","BUDHABALANGA SAND BED, PRATAPPUR OVER AN AREA OF 12.35 ACRES OR 5.00 HECTARES IN VILLAGE PRATAPPUR UNDER BADASAHI TAHASIL OF MAYURBHANJ DISTRICT ODISHA","TAHASILDAR BADASAHI MAYURBHANJ","EC Granted","EC",NA
"215","SIA/OR/MIN/286737/2022","286737/400-MINB2/08-2022","Proposal for grant of EC of CHIKINIPALI STONE QUARRY  over an area 2.62ac or 1.060Ha in Chikinipali village of Barpali tahasil in Bargarh district Odisha","AKSHAYA BAGH","EC Granted","EC",NA
"216","SIA/OR/MIS/287049/2022","287049/98-MIS/08-2022","Environmental Clearance for Expansion and Modification  of proposed “Development of an Affordable Housing Project Over 20.21 Acres at Chandrasekharpur, Bhubaneswar with (G+4) Residential Buildings” ” [Private Developer Project] At mouza-Chandrasekhar","PARAMITRA SMART INFRA PVT LTD","Rejection Letter Granted","EC",NA
"217","SIA/OR/MIN/271591/2022","27159/727-MINB2/05-2022","Bhanda Sand Quarry over an area of 1.60 ac or 0.65 ha in village Bhanda of Champua Tahasil of Keonjhar district, Odisha.","TAHASILDAR CHAMPUA KEONJHAR","EC Granted","EC",NA
"218","SIA/OR/MIS/222528/2021","222528/56-MIS/11-2021","Proposed Residential Apartment Building  “Grace”","ALL ODISHA STATE BANK OFFICERS HOUSING CO-OPERATIVE SOCIETY LTD.","WithdrawEC","EC",NA
"219","SIA/OR/MIN/238540/2021","238540/582-MINB2/02-2022","Ektali Stone Quarry- Kha, over an area of 2.79 acres or 1.129 ha under Bhuban Tahasil, Odisha","AKSHAYA  KUMAR SAHOO","EC Granted","EC",NA
"220","SIA/OR/MIN/69128/2021","69128/168-MINB1/11-2021","Environmental Clearance for River Sand  Mining of 14440 Cum/Annum over Madhyasasan Sand Quarry (ML area 5.99ha ) at Village Madhyasasan, Tahasil-Biridi, Dist- Jagatsinghpur, Odisha","BIRIDI TAHASILDAR","EC Granted","EC",NA
"221","SIA/OR/MIN/238576/2021","238576/529-MINB2/01-2022","H. Katapali Sand Quarry","ANJALI TANTY","EC Granted","EC",NA
"222","SIA/OR/MIN/58503/2020","58503/610-MINB1/04-2022","Gunupur Sand Bed-I over an Area of 15.00 Acres/ 6.070 Ha At- Gunupur, Tahasil- Gunupur, District- Rayagada","JASHWANT BAURI","EC Granted","EC",NA
"223","SIA/OR/MIN/263290/2022","263290/652-MINB1/04-2022","For the grant of EC of Dankari Black Stone quarry No-2/3 (Khata No-S-221,H-465, Plot No-S-600(P),H-2006) over an area of 4.00 acres or 1.618 hacters in village Dankari under Dharmasala Tahasil of Jajpur District, Odisha.","JAYANTI JENA","EC Granted","EC",NA
"224","SIA/OR/MIN/66728/2021","66728/90-MINB1/06-2022","Patamunda manganese mine over an area of 43.532 Ha. At Village: Patamunda, Tahasil : Koida, District: Sundergarh, Odisha.","M/S  SUN  ALLOYS  &  MINERALS  LTD.","ADS by SEAC","EC",NA
"225","SIA/OR/MIN/237461/2021","237461/51-MINB2/11-2021","Upper Kaipada Sand Quarry over an area of 10.45 Acres or 4.229 Hectares having Khata No.585, Plot nos. 568(p) & 569(p) in village Upper Kaipada under Bari Tahasil of Jajpur district, Odisha","TAHASILDAR,BARI","EC Granted","EC",NA
"226","SIA/OR/MIN/255450/2022","255450/746-MINB2/05-2022","Proposal for grant EC of DHARIGUDA STONE QUARRY-A over an area 11.20acres or 4.534hect. in Dhariguda Village of Malkangiri Tahasil in Malkangiri dist, Odisha","TAHASILDAR MALKANGIRI","EC Granted","EC",NA
"227","SIA/OR/MIN/255250/2022","","Proposal for grant of Environmental Clearance of Kendugufka Stone Quarry-II over an area of 3.00Acres or 1.214 Hectares in village Kendugufka under Kalahandi tahasil of Kalahandi district.","TAHASILDAR  KALAHANDI","Delisted","EC",NA
"228","SIA/OR/MIN/245876/2021","","KARANDA BLACK STONE QUARRY-4 OVER AN AREA OF 3.379 HA. UNDER HINDOL TAHASIL OF DHENKANAL DISTRICT ODISHA","","Pending at PP due to eds","EC",NA
"229","SIA/OR/MIN/247371/2021","247371/161-MINB2/12-2021","Jodida Stone Quarry over an area of 3.27 Acre or 1.32 Hectares in village Jodida under Kusumi Tahasil of Mayurbhanj District of Odisha.","TAHASIILDARKUSUMIMAYURBHANJ","EC Granted","EC",NA
"230","SIA/OR/MIN/226937/2021","226937/30-MINB2/08-2021","SANKHARI EAST WEST STONE QUARRY(KA)","SHRI RAJENDRA PRASAD SINGH","EC Granted","EC",NA
"231","SIA/OR/MIN/263250/2022","263250/660-MINB1/04-2022","RAHADPUR BLACK STONE QUARRY NO 9 5 OVER 7.50 ACRES OR 3.035 HECT IN VILLAGE RAHADPUR UNDER DHARMASALA TAHSIL OF JAJPUR DISTRICT ODISHA.","NIRANJAN ROUT","EC Granted","EC",NA
"232","SIA/OR/MIN/277688/2022","277688/295-MINB2/06-2022","Bengasahi Stone Quarry over an area of 2.557 acres or 1.035 hectares bearing Khata no.149, Plot no.191 in Bengasahi village of Tikabali Tahasil, District- Kandhamal State Odisha","TAHASILDAR TIKABALI","EC Granted","EC",NA
"233","SIA/OR/MIN/278307/2022","278307/755-MINB2/06-2022","PROPOSAL FOR FRESH EC OF KANABHAGA STONE QUARRY OVER AN AREA OF 5.00 ACRES OR 2.023 HECTARES AT VILLAGE KANABHAGA UNDER DHARAKOTE TAHASIL OF GANJAM DISTRICT, ODISHA OF SRI KESHARAO DORA","KESHA DORA","EC Granted","EC",NA
"234","SIA/OR/MIN/56502/2020","56502/178-MINB1/12-2021","Khairabathi Stone Deposit","SRI MANTU KUMAR PATNAIK","EC Granted","EC",NA
"235","SIA/OR/IND2/154424/2020","154424/94-IND2/09-2020","Oil And Gas Exploratory Block Name:MN-ONHP-2018/2","OIL INDIA LIMITED KGB","EC Granted","EC",NA
"236","SIA/OR/MIN/72996/2020","72996/225-MINB1/03-2022","New proposed project of Tentuapada Sand Quarry with proposed excavation of 5250m3/year of sand of M/s PREMEX having an area of 5.666 Ha. Located at Khata No. 324, Plot No. 1603, 1665 & 1666, Village: Tentuapada, Tahasil: Digapahandi, District: Ganjam, Odisha.","PRAVA RANJAN MISHRA","EC Granted","EC",NA
"237","SIA/OR/MIS/112016/2019","112016/08-MIS/09-2019","“Ananya Palm Beach” Residential Apartment cum Guest House Project of M/s Prabhukrupa Realties Private Limited at Mouza- Sipasurubuli , Tehsil -Puri Sadar & District- Puri,  State- Odisha.","PRABHUKRUPA REALTIES PVT LTD","EC Granted","EC",NA
"238","SIA/OR/MIN/49480/2018","49480/16-MINB1/01-2020","Ghatapada garnet mines over an area of 25.127Ha at village Ghatapada, tahasil Kesinga, district Kalahandi, Odisha of Sri Bijay Kumar Bansal.","SRI BIJAY KUMAR BANSAL","EC Granted","EC",NA
"239","SIA/OR/MIN/247570/2021","247570/162-MINB2/12-2021","Uperbeda Rangamatia Sand Bed over an area of 12.05 ac or 4.876 ha in village Uperbeda Rangamatia of Kusumi Tahasil of Mayurbhanj district, Odisha.","TAHASIILDARKUSUMIMAYURBHANJ","EC Granted","EC",NA
"240","SIA/OR/MIN/280412/2022","","Tiridabanjara - B  Stone Quarry over an area of 6.750 acres or  2.731 hectares bearing Khata no. 339, Plot no. 1259, in village Tiridabanjara, Tahasil- Kodala, District- Ganjam State Odisha.","BASANTI MAJHI","WithdrawEC","EC",NA
"241","SIA/OR/MIS/132436/2019","","“Nilamadhav awas yojana an in-situ slum redevelopment project on Public Private Partnership (PPP) model”  at Chandrasekharpur, Bhubaneswar, Odisha over an area of 5.317 acres with  built up area of 40","ZJSH SPV PVT LTD","Delisted","EC",NA
"242","SIA/OR/MIN/243916/2021","243916/176-MINB1/12-2021","Ramial River Sand  Quarry(5.742 Ha. )","TAHASILDAR KAMAKHYANAGAR","EC Granted","EC",NA
"243","SIA/OR/MIN/259114/2022","259114/628-MINB1/04-2022","RAHADPUR BLACK STONE QUARRY OVER 10.00 ACRES OR 4.05 HECT. IN VILLAGE RAHADPUR UNDER DHARMASALA TAHSIL OF JAJPUR DISTRICT ODISHA.","MAHENDRA SWAIN","EC Granted","EC",NA
"244","SIA/OR/MIN/265677/2022","265677/386-MINB2/07-2022","Proposal for EC of Sargadi Stone Quarry 2B over an area 8.00 acres or 3.237hectares in Sargadi village of Khariar tahasil in Nuapada district Odisha.","KHARIAR TAHASIL","EC Granted","EC",NA
"245","SIA/OR/MIN/75352/2020","75352/655-MINB1/04-2022","For the grant of EC of Baraman Black Stone quarry No-02 (Cluster Serial No-5F/1), (Khata No-247, Plot No-1261) over an area of 7.30 acres or 2.95 hacters in village Baraman under Dharmasala Tahasil of Jajpur District, Odisha.","KUNA PRADHAN","EC Granted","EC",NA
"246","SIA/OR/MIN/282474/2022","282474/408-MINB2/08-2022","Jakameripalli Sand Quarry over an area of 8.125 acres or 3.2881 hectares  bearing Khata no. - 403, Plot no. – 1737 in village Jakameripalli, Tahasil Digapahandi, District Ganjam, State Odisha.","SRI D. DANDAPANI DORA","Delisted","EC",NA
"247","SIA/OR/MIN/281568/2022","281568/326-MINB2/07-2022","Kutikia Stone Quarry over an area of 6.058 acres or 2.452 hectares bearing Khata no. 230, Plot no. 1597 in Kutikia village of Balliguda Tahasil, District- Kandhamal State Odisha","TAHASILDAR BALLIGUDA","EC Granted","EC",NA
"248","SIA/OR/MIN/63923/2021","63923/278-MINB1/07-2022","Padampuri  Stone Quarry 7 over an area of 2.023 ha. bearing Khata no. 76, Plot no.187 in village- Padampuri, Tehsil  & District- Nuapada, State-Odisha  submitted under cluster approach with total cluster area 11.33 ha with consisting of 5 stone quarries.","TAHSILDAR NUAPADA","EC Granted","EC",NA
"249","SIA/OR/MIN/249656/2022","249656/208-MINB2/01-2022","Kathasangada-I Sand Bed, Over an area of 9.75 Acres or 3.945 hectares in village Kathasangada & Haladia under Remuna Tahasil of Balasore District of Odisha.","REMUNA TAHASILDAR","EC Granted","EC",NA
"250","SIA/OR/MIN/248294/2021","248294/505-MINB2/12-2021","Pallur Hill Stone Quarry over an area of 1.00 acres or 0.404 hectares bearing khata no. 42, plot no. 66/A in village Pallur Hill, Tahasil- Konisi under Ganjam District, Odisha.","CH. BHARAT","EC Granted","EC",NA
"251","SIA/OR/MIN/259753/2022","259753/705-MINB2/04-2022","Chhatabara sand quarry (Khata No-60, Plot No-699(P)) over an area of 5.56 acres or 2.253 hacters in village Chhatabara under Bamra Tahasil of Sambalpur District, Odisha.","TAHASILDAR BAMRA","EC Granted","EC",NA
"252","SIA/OR/MIN/262098/2022","262098/749-MINB2/05-2022","Mohuda Stone Quarry over an area of 5.350 acres or 2.165 ha bearing Khata no. 669 Plot no. 1406 in village Mohuda, Tahasil Kukudakhandi, district Ganjam, State Odisha","TUSAR DASH","EC Granted","EC",NA
"253","SIA/OR/MIN/60333/2021","60333/265-MINB1/07-2022","Hazaridanga Stone Quarry VII","TAHSILDAR KOLNARA","Accepted By SEAC","EC",NA
"254","SIA/OR/MIS/218923/2021","218923/41-MIS/07-2021","Regularization of B+G+5 Hospital Building & Amphitheatre of M/s Jai Prakash Hospital and Research centre Pvt. Ltd.","M/S JAIPRAKASH HOSPITAL AND RESEARCH CENTRE PRIVATE LIMITED","Rejection Letter Granted","EC",NA
"255","SIA/OR/MIS/220279/2021","220279/42-MIS/07-2021","Khusi Realcon-2","KHUSI REALCON PVT.LTD","EC Granted","EC",NA
"256","SIA/OR/MIN/260679/2022","","Balaranga Stone Quarry A","ABANI PANIGRAHI","Delisted","EC",NA
"257","SIA/OR/MIS/263334/2022","263334/90-MIS/05-2022","Residential Project at Mouza Bomikhal Rasulgarh Square Bhubaneswar Khurda Odisha","BC CONSTRUCTIONS","EC Granted","EC",NA
"258","SIA/OR/MIN/283609/2022","283609/348-MINB2/07-2022","PROPOSAL FOR FRESH EC OF SULIAPALLI STONE QUARRY PART-A OVER AN AREA OF 1.255 ACRES OR 0.508 HECTARES AT VILLAGE SULIAPALLI UNDER BANPUR TAHASIL OF KHORDHA  DISTRICT, ODISHA","TAHASILDAR, BANPUR","Delisted","EC",NA
"259","SIA/OR/MIN/76823/2020","76823/703-MINB1/05-2022","For the grant of EC of Anjira Black Stone quarry No-12 (Cluster Serial No-1A/9), (Khata No-1729, Plot No-1385(p)) over an area of 6.00 acres or 2.43 hacters in village Anjira under Dharmasala Tahasil of Jajpur District, Odisha.","LAXMIPRIYA PRUSTY","Deferred by SEIAA","EC",NA
"260","SIA/OR/MIN/271996/2022","271996/702-MINB1/05-2022","ANJIRA BLACK STONE QUARRY NO 4 OVER 6.00 AC OR 2.428 HECT IN VILLAGE ANJIRA UNDER DHARMASALA TAHSIL OF JAJPUR DISTRICT ODISHA.","MAHENDRA SWAIN","EC Granted","EC",NA
"261","SIA/OR/MIN/255279/2022","","Proposal for grant of Environmental Clearance of Jojananuapada Stone Quarry-I over an area of 3.00 Acres or 1.214 Hectares in village Jojananuapada under Kalahandi tahasil of Kalahandi district.","TAHASILDAR  KALAHANDI","Delisted","EC",NA
"262","SIA/OR/MIN/53227/2020","53227/251-MINB1/07-2022","Muradipali River Bed Sand mine over an area of 12.735 Ha/ 31.47 Acre in village Muradipali under Laikera Tahasil of Jharsuguda District","PUSHPAK KUMAR NAIK","EC Granted","EC",NA
"263","SIA/OR/MIN/255373/2022","255373/541-MINB2/02-2022","Proposal for grant of Environmental Clearance of Jojananuapada Stone Quarry-II over an area of 2.00 Acres or 0.809 Hectares in village Jojananuapada under Kalahandi tahasil of Kalahandi district.","TAHASILDAR  KALAHANDI","EC Granted","EC",NA
"264","SIA/OR/MIS/256863/2022","256863/77-MIS/03-2022","Proposed housing Project for Environment Clearance for commercial building & MIG Residential Apartment (B+S+12).","SHREE RAM CONSTRUCTIONS","EC Granted","EC",NA
"265","SIA/OR/MIN/280164/2022","280164/317-MINB2/06-2022","Japata Morrum Quarry over an area of 4.437 Acers or 1.795 Ha having Khata No. 253 Plot No.459 in the village Japata,Tahasil Kodala in district Ganjam, State Odisha.","BHAGABAN PARIDA","EC Granted","EC",NA
"266","SIA/OR/MIN/64155/2021","64155/272-MINB1/07-2022","New proposed project of Basupali Stone Quarry -3 with proposed excavation of 4025.7 CUM/year of stone of Tahasildar Balangir having an area of 2.023 Ha. Located at Khata No. 14 Plot No.79, Village Basupali under Balangir Tahasil of Balangir District, Odisha (Under Cluster approach for Basupali Cluster Stone Quarry over an area of 9.67 Ha with 5 individual mines)","TAHASILDAR BALANGIR","WithdrawEC","EC",NA
"267","SIA/OR/MIN/257224/2022","257224/605-MINB2/02-2022","SARGUNAMUNDA SAND BED-B OVER AN AREA OF","RASHMI RANJAN PATRA","EC Granted","EC",NA
"268","SIA/OR/MIN/60986/2021","60986/584-MINB1/02-2022","Tabadabahal Stone Quarry No-1/1.95Ac deposit over an area of 0.789ha located in village Tabadabahal, under Rengali Tahasil of Sambalpur District","SUMI TRADING CO","EC Granted","EC",NA
"269","SIA/OR/MIS/273518/2022","","Residential-cum-Commercial  building(LB+UB+G+14)BLOCK-A,(LB+UB+STILT+15) Block-B, LB+UB+G+4(BLOCK-C) and G+2 (BLOCK-D)","HARSHPRIYA CONSTRUCTIONS PVT LTD","WithdrawEC","EC",NA
"270","SIA/OR/MIS/137014/2020","137014/20-MIS/01-2020","Proposed Housing Project (Residential Use Type) of Utkal Realtors Pvt. Ltd.","UTKAL REALTORS PVT. LTD.","EC Granted","EC",NA
"271","SIA/OR/MIN/242111/2021","","REMAL SAND BED, ANLAPAL OVER AN AREA OF 2.00 ACRES OR 0.810 HECTARES IN VILLAGE ANLAPAL OF GHASIPURA TAHASIL OF KEONJHAR DISTRICT, ODISHA.","SRI NIRANJAN SAHOO","Delisted","EC",NA
"272","SIA/OR/MIN/264901/2022","264901/645-MINB1/03-2022","For the grant of EC of Rahadpur Black Stone quarry  (Khata No-S-235, Plot No-1(p)) over an area of 6.00 acres or 2.428 hacters in village Rahadpur under Dharmasala Tahasil of Jajpur District, Odisha.","SATYA MULTIPLEX PRIVATE LIMITED","EC Granted","EC",NA
"273","SIA/OR/MIN/285140/2022","285140/416-MINB2/08-2022","PROPOSAL FOR FRESH EC OF JARIPUT BLACK STONE QUARRY NO-11 OVER AN AREA OF 12.00 ACRES OR 4.856 HECTARES AT VILLAGE JARIPUT UNDER TANGI TAHASIL OF KHORDHA DISTRICT, ODISHA.","TAHASILDAR, TANGI","EC Granted","EC",NA
"274","SIA/OR/MIN/285177/2022","","DAMANABHUIN BLACK STONE QUARRY NO 1","TAHASILDAR TANGI","Pending at PP due to eds","EC",NA
"275","SIA/OR/MIN/286696/2022","286696/805-MINB2/08-2022","Proposal for grant of Environmental Clearance for Chilakpur Sand Bed over an area of 4.11 Acres or 1.663 Hectares in village Chilakpur under Junagarh tahasil of Kalahandi district.","TAHASILDAR JUNAGARH","Delisted","EC",NA
"276","SIA/OR/MIN/257164/2022","","Proposal for grant of EC of DHARIGUDA STONE QUARRY-B over an area 10.42 acre or 4.219 hec in Dhariguda village of Malkangiri tahasil in Malkangiri district, Odisha","TAHASILDAR MALKANGIRI","Delisted","EC",NA
"277","SIA/OR/MIN/274878/2022","274878/1203-MINB2/10-2022","Proposal for EC of Mariwada Stone Quarry over an area 4.94acres or 2.00hectares in Mariwada village of Malkangiri tahasil in Malkangiri district Odisha","LALIT SOMANI","EC Granted","EC",NA
"278","SIA/OR/MIN/256426/2022","256426/568-MINB2/02-2022","Budagada Stone Quarry over an area of 4.750 Acers or 1.922 Hectares having Khata No. 253 Plot No. 509 in the village Budagada, Tahasil Patrapur in District Ganjam, State Odisha.","SUSANTA HOTTA","EC Granted","EC",NA
"279","SIA/OR/MIN/246098/2021","246098/145-MINB2/12-2021","Proposal for Fresh EC of Kharasrota River Sand Bed, Oleichandrapurn over an area of 11.70 Acres or 4.73 Hectares in village Oleichandrapur under Binjharpur Tahasil of Jajpur district, Odisha of Applicant-Sri Panchanan Pal","PANCHANAN PAL","EC Granted","EC",NA
"280","SIA/OR/MIN/75714/2020","75714/657-MINB1/04-2022","For the grant of EC of Rahadpur Black Stone quarry No-8 (Cluster Serial No-7/11), (Khata No-235, Plot No-1(p)) over an area of 7.00 acres or 2.832 hacters in village Rahadpur under Dharmasala Tahasil of Jajpur District, Odisha.","SANDEEP CHANDAK","EC Granted","EC",NA
"281","SIA/OR/MIN/75955/2020","75955/287-MINB2/04-2022","For the grant of EC of Barada Black Stone quarry No-04 (Cluster Serial No-5E/2), (Khata No-362, Plot No-41(p)) over an area of 6.00 acres or 2.428 hacters in village Barada under Dharmasala Tahasil of Jajpur District, Odisha.","AJIT SAHU","EC Granted","EC",NA
"282","SIA/OR/MIN/269160/2022","269160/269-MINB2/04-2022","Proposal for EC of ABANKELA SAND BED over an area 11.60acres or 4.694hectares in Abankela village under Tangarpali tahasil in Sundargarh district Odisha.","TAHASILDAR TANGARPALI","EC Granted","EC",NA
"283","SIA/OR/MIN/256477/2022","256477/611-MINB2/02-2022","Dakadhola Sand Bed","BENUDHAR  PRADHAN","EC Granted","EC",NA
"284","SIA/OR/MIN/276630/2022","276630/774-MINB2/06-2022","PROPOSAL FOR FRESH EC OF JAGADALPUR SAND QUARRY OVER AN AREA OF 12.30 ACRES OR 4.977 HECTARES, AT VILLAGE-JAGADALPUR, UNDER JHARBANDH TAHASIL OF BARGARH DISTRICT, ODISHA","TAHASILDAR, JHARBANDH","EC Granted","EC",NA
"285","SIA/OR/MIN/247999/2021","","Proposal for grant of Environmental Clearance of Kirtipur Stone Quarry over an area of 4.08 Acres or 1.651 Ha in Village Kirtipur under Sonepur Tahasil of Subarnapur District.","TAHASILDAR  SONEPUR","WithdrawEC","EC",NA
"286","SIA/OR/MIN/273900/2022","273900/281-MINB2/05-2022","Sainipadar Sand Source over an area of 9.884 acre or 4.00 hectare in village Sainipadar under Khondamals Tahasil of Kandhamal District of Odisha.","DINAMANI NAIK","EC Granted","EC",NA
"287","SIA/OR/MIS/274193/2022","274193/89-MIS/05-2022","RESIDENTIAL PROJECT Z PADMANABHA MOUZA PAHAL BHUBANESWAR ODISHA","Z ENGINEERS CONSTRUCTION PRIVATE LIMITED","EC Granted","EC",NA
"288","SIA/OR/MIN/253391/2022","253391/619-MINB2/04-2022","Environmental Clearance for  production of Decorative Stone(2100Cum/Annum) at Bergaon Decorative Stone (ML Area 4.135 ha) in village Bergaon under Tahsil Boipariguda of Koraput District, Odisha of  Smrt E. Lakshmi W/o E. Chandra Sekhar At- M.G. Road,","EARLA LAKSHMI","EC Granted","EC",NA
"289","SIA/OR/MIN/242968/2021","242968/97-MINB2/12-2021","DENALI SAND QUARRY OVER AN AREA OF 12.00 ACRES OR 4.856 HECTARES IN VILLAGE DENALI UNDER KANHIA TAHASIL IN ANGUL DISTRICT ODISHA IN FAVOUR OF SRI RASHMI RANJAN PATRA","RASHMI RANJAN PATRA","EC Granted","EC",NA
"290","SIA/OR/MIN/239978/2021","239978/86-MINB2/11-2021","Proposal for Grant of EC of Ghatkaintara Sand Quarry over an area of 12.350 Acre or 4.99 Ha. in Ghatkaintara Village under Tarbha Tahasil in Subarnapur District","TAHASILDAR  TARBHA","EC Granted","EC",NA
"291","SIA/OR/MIN/275944/2022","275944/753-MINB2/05-2022","Dhunkapada Stone Quarry-2 over an area of 9.500 acres or 3.844 hectares bearing Khata no. 1382, Plot no. 17 & 18 in village Dhunkapada, Tahasil Polasara, District Ganjam State Odisha.","DIPAK SAHU","EC Granted","EC",NA
"292","SIA/OR/MIN/227350/2021","227350/07-MINB2/09-2021","Kotagarh Stone Quarry (Plot-1) over an area of 2.00Acres or 0.809hectares in village Kotagarh of Sunakhala Gram Panchayat Under Ranpur Tahasil of Nayagarh District of Odisha.","BIBHUTI  PRADHAN","EC Granted","EC",NA
"293","SIA/OR/MIN/227918/2021","227918/13-MINB2/09-2021","JAMANKIRA STONE QUARRY","RATNAKAR SAHOO","EC Granted","EC",NA
"294","SIA/OR/MIN/257538/2022","257538/545-MINB1/02-2022","ARUHA BLACK STONE QUARRY OVER 20.00 AC OR 8.09 HECT IN VILLAGE ARUHA UNDER DHARMASALA TAHSIL OF JAJPUR DISTRICT, ODISHA.","MANOJ SAMAL","EC Granted","EC",NA
"295","SIA/OR/MIN/276425/2022","276425/330-MINB2/07-2022","Bodalundi Stone Quarry over an area of 11.984 Acres or 4.850 Hectares in Village- Bodalundi under Sheragada Tahasil of Ganjam District of Odisha","SUNIL SAHU","EC Granted","EC",NA
"296","SIA/OR/MIN/276615/2022","276615/425-MINB2/08-2022","Kainpur Stone Quarry-II Over an area of 5.27 Acre or 2.13 Hectares in village Kainpur under Jamda Tahasil of Mayurbhanj District of Odisha. under cluster approach","TAHASILDARJAMDAMAYURBHANJ","EC Granted","EC",NA
"297","SIA/OR/MIN/248985/2021","248985/167-MINB2/12-2021","Dudhkundi Sand Bed over an area of 7.15 Acre or 2.893 Hectares in village Dudhkundi under Jhumpura Tahasil of Keonjhar District of Odisha","SRI PRAMOD KUMAR MUNDA","Rejection Letter Granted","EC",NA
"298","SIA/OR/MIN/249705/2022","249705/395-MINB2/08-2022","Kharabhuin - II Stone Quarry over an area of 7.00 acres or 2.833 hectares bearing Khata no. 193, Plot no. 1463/A in Kharabhuin village of Harabhanga Tahasil, District- Boudh State Odisha.","TAHASILDAR HARABHANGA","EC Granted","EC",NA
