,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
344,SIA/OR/MIN/237281/2021,SIA/OR/MIN/237281/2021,SIA/OR/MIN/237281/2021,SIA/OR/MIN/237281/2021,SIA/OR/MIN/237281/2021,SIA/OR/MIN/237281/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,SIA/OR/MIN/237273/2021,SIA/OR/MIN/237273/2021,SIA/OR/MIN/237273/2021,SIA/OR/MIN/237273/2021,SIA/OR/MIN/237273/2021,SIA/OR/MIN/237273/2021,SIA/OR/MIN/237273/2021,SIA/OR/MIN/237273/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346,SIA/OR/MIN/262806/2022,SIA/OR/MIN/262806/2022,SIA/OR/MIN/262806/2022,SIA/OR/MIN/262806/2022,SIA/OR/MIN/262806/2022,SIA/OR/MIN/262806/2022,SIA/OR/MIN/262806/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,SIA/OR/MIN/247098/2021,SIA/OR/MIN/247098/2021,SIA/OR/MIN/247098/2021,SIA/OR/MIN/247098/2021,SIA/OR/MIN/247098/2021,SIA/OR/MIN/247098/2021,SIA/OR/MIN/247098/2021,SIA/OR/MIN/247098/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,SIA/OR/MIN/246938/2021,SIA/OR/MIN/246938/2021,SIA/OR/MIN/246938/2021,SIA/OR/MIN/246938/2021,SIA/OR/MIN/246938/2021,SIA/OR/MIN/246938/2021,SIA/OR/MIN/246938/2021,SIA/OR/MIN/246938/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,SIA/OR/MIN/246552/2021,SIA/OR/MIN/246552/2021,SIA/OR/MIN/246552/2021,SIA/OR/MIN/246552/2021,SIA/OR/MIN/246552/2021,SIA/OR/MIN/246552/2021,SIA/OR/MIN/246552/2021,SIA/OR/MIN/246552/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,SIA/OR/MIN/257991/2022,SIA/OR/MIN/257991/2022,SIA/OR/MIN/257991/2022,SIA/OR/MIN/257991/2022,SIA/OR/MIN/257991/2022,SIA/OR/MIN/257991/2022,SIA/OR/MIN/257991/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,SIA/OR/MIN/248667/2021,SIA/OR/MIN/248667/2021,SIA/OR/MIN/248667/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,SIA/OR/MIN/243972/2021,SIA/OR/MIN/243972/2021,SIA/OR/MIN/243972/2021,SIA/OR/MIN/243972/2021,SIA/OR/MIN/243972/2021,SIA/OR/MIN/243972/2021,SIA/OR/MIN/243972/2021,SIA/OR/MIN/243972/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,SIA/OR/MIS/263754/2022,SIA/OR/MIS/263754/2022,SIA/OR/MIS/263754/2022,SIA/OR/MIS/263754/2022,SIA/OR/MIS/263754/2022,SIA/OR/MIS/263754/2022,SIA/OR/MIS/263754/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,SIA/OR/MIN/66728/2021,SIA/OR/MIN/66728/2021,SIA/OR/MIN/66728/2021,SIA/OR/MIN/66728/2021,SIA/OR/MIN/66728/2021,SIA/OR/MIN/66728/2021,SIA/OR/MIN/66728/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,SIA/OR/MIN/239541/2021,SIA/OR/MIN/239541/2021,SIA/OR/MIN/239541/2021,SIA/OR/MIN/239541/2021,SIA/OR/MIN/239541/2021,SIA/OR/MIN/239541/2021,SIA/OR/MIN/239541/2021,SIA/OR/MIN/239541/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,SIA/OR/MIN/245876/2021,SIA/OR/MIN/245876/2021,SIA/OR/MIN/245876/2021,SIA/OR/MIN/245876/2021,SIA/OR/MIN/245876/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,SIA/OR/MIN/247371/2021,SIA/OR/MIN/247371/2021,SIA/OR/MIN/247371/2021,SIA/OR/MIN/247371/2021,SIA/OR/MIN/247371/2021,SIA/OR/MIN/247371/2021,SIA/OR/MIN/247371/2021,SIA/OR/MIN/247371/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,SIA/OR/MIN/246135/2021,SIA/OR/MIN/246135/2021,SIA/OR/MIN/246135/2021,SIA/OR/MIN/246135/2021,SIA/OR/MIN/246135/2021,SIA/OR/MIN/246135/2021,SIA/OR/MIN/246135/2021,SIA/OR/MIN/246135/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,SIA/OR/MIS/247045/2021,SIA/OR/MIS/247045/2021,SIA/OR/MIS/247045/2021,SIA/OR/MIS/247045/2021,SIA/OR/MIS/247045/2021,SIA/OR/MIS/247045/2021,SIA/OR/MIS/247045/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,SIA/OR/MIN/230963/2021,SIA/OR/MIN/230963/2021,SIA/OR/MIN/230963/2021,SIA/OR/MIN/230963/2021,SIA/OR/MIN/230963/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,SIA/OR/MIN/237281/2021,SIA/OR/MIN/237281/2021,SIA/OR/MIN/237281/2021,SIA/OR/MIN/237281/2021,SIA/OR/MIN/237281/2021,SIA/OR/MIN/237281/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,SIA/OR/MIN/237273/2021,SIA/OR/MIN/237273/2021,SIA/OR/MIN/237273/2021,SIA/OR/MIN/237273/2021,SIA/OR/MIN/237273/2021,SIA/OR/MIN/237273/2021,SIA/OR/MIN/237273/2021,SIA/OR/MIN/237273/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,SIA/OR/MIN/259448/2022,SIA/OR/MIN/259448/2022,SIA/OR/MIN/259448/2022,SIA/OR/MIN/259448/2022,SIA/OR/MIN/259448/2022,SIA/OR/MIN/259448/2022,SIA/OR/MIN/259448/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,SIA/OR/MIN/60333/2021,SIA/OR/MIN/60333/2021,SIA/OR/MIN/60333/2021,SIA/OR/MIN/60333/2021,SIA/OR/MIN/60333/2021,SIA/OR/MIN/60333/2021,SIA/OR/MIN/60333/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,SIA/OR/MIN/279465/2022,SIA/OR/MIN/279465/2022,SIA/OR/MIN/279465/2022,SIA/OR/MIN/279465/2022,SIA/OR/MIN/279465/2022,SIA/OR/MIN/279465/2022,SIA/OR/MIN/279465/2022,SIA/OR/MIN/279465/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,SIA/OR/IND/238038/2021,SIA/OR/IND/238038/2021,SIA/OR/IND/238038/2021,SIA/OR/IND/238038/2021,SIA/OR/IND/238038/2021,SIA/OR/IND/238038/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,SIA/OR/MIN/241098/2021,SIA/OR/MIN/241098/2021,SIA/OR/MIN/241098/2021,SIA/OR/MIN/241098/2021,SIA/OR/MIN/241098/2021,SIA/OR/MIN/241098/2021,SIA/OR/MIN/241098/2021,SIA/OR/MIN/241098/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,SIA/OR/MIN/241231/2021,SIA/OR/MIN/241231/2021,SIA/OR/MIN/241231/2021,SIA/OR/MIN/241231/2021,SIA/OR/MIN/241231/2021,SIA/OR/MIN/241231/2021,SIA/OR/MIN/241231/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,SIA/OR/MIN/262463/2022,SIA/OR/MIN/262463/2022,SIA/OR/MIN/262463/2022,SIA/OR/MIN/262463/2022,SIA/OR/MIN/262463/2022,SIA/OR/MIN/262463/2022,SIA/OR/MIN/262463/2022,SIA/OR/MIN/262463/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,SIA/OR/MIN/244128/2021,SIA/OR/MIN/244128/2021,SIA/OR/MIN/244128/2021,SIA/OR/MIN/244128/2021,SIA/OR/MIN/244128/2021,SIA/OR/MIN/244128/2021,SIA/OR/MIN/244128/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,SIA/OR/MIN/258819/2022,SIA/OR/MIN/258819/2022,SIA/OR/MIN/258819/2022,SIA/OR/MIN/258819/2022,SIA/OR/MIN/258819/2022,SIA/OR/MIN/258819/2022,SIA/OR/MIN/258819/2022,SIA/OR/MIN/258819/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,SIA/OR/MIN/279758/2022,SIA/OR/MIN/279758/2022,SIA/OR/MIN/279758/2022,SIA/OR/MIN/279758/2022,SIA/OR/MIN/279758/2022,SIA/OR/MIN/279758/2022,SIA/OR/MIN/279758/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,SIA/OR/MIN/279760/2022,SIA/OR/MIN/279760/2022,SIA/OR/MIN/279760/2022,SIA/OR/MIN/279760/2022,SIA/OR/MIN/279760/2022,SIA/OR/MIN/279760/2022,SIA/OR/MIN/279760/2022,SIA/OR/MIN/279760/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374,SIA/OR/MIN/279599/2022,SIA/OR/MIN/279599/2022,SIA/OR/MIN/279599/2022,SIA/OR/MIN/279599/2022,SIA/OR/MIN/279599/2022,SIA/OR/MIN/279599/2022,SIA/OR/MIN/279599/2022,SIA/OR/MIN/279599/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,SIA/OR/MIN/279935/2022,SIA/OR/MIN/279935/2022,SIA/OR/MIN/279935/2022,SIA/OR/MIN/279935/2022,SIA/OR/MIN/279935/2022,SIA/OR/MIN/279935/2022,SIA/OR/MIN/279935/2022,SIA/OR/MIN/279935/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,SIA/OR/MIN/60986/2021,SIA/OR/MIN/60986/2021,SIA/OR/MIN/60986/2021,SIA/OR/MIN/60986/2021,SIA/OR/MIN/60986/2021,SIA/OR/MIN/60986/2021,SIA/OR/MIN/60986/2021,SIA/OR/MIN/60986/2021,SIA/OR/MIN/60986/2021,SIA/OR/MIN/60986/2021,SIA/OR/MIN/60986/2021,SIA/OR/MIN/60986/2021,SIA/OR/MIN/60986/2021,SIA/OR/MIN/60986/2021,SIA/OR/MIN/60986/2021,SIA/OR/MIN/60986/2021,SIA/OR/MIN/60986/2021,SIA/OR/MIN/60986/2021,SIA/OR/MIN/60986/2021,SIA/OR/MIN/60986/2021,SIA/OR/MIN/60986/2021,SIA/OR/MIN/60986/2021,SIA/OR/MIN/60986/2021,SIA/OR/MIN/60986/2021,SIA/OR/MIN/60986/2021,SIA/OR/MIN/60986/2021,SIA/OR/MIN/60986/2021,SIA/OR/MIN/60986/2021,SIA/OR/MIN/60986/2021,SIA/OR/MIN/60986/2021,SIA/OR/MIN/60986/2021,SIA/OR/MIN/60986/2021,SIA/OR/MIN/60986/2021,SIA/OR/MIN/60986/2021,SIA/OR/MIN/60986/2021,SIA/OR/MIN/60986/2021,SIA/OR/MIN/60986/2021,SIA/OR/MIN/60986/2021,SIA/OR/MIN/60986/2021,SIA/OR/MIN/60986/2021,SIA/OR/MIN/60986/2021,SIA/OR/MIN/60986/2021,SIA/OR/MIN/60986/2021,SIA/OR/MIN/60986/2021,SIA/OR/MIN/60986/2021,SIA/OR/MIN/60986/2021,SIA/OR/MIN/60986/2021,SIA/OR/MIN/60986/2021,,,,,,,,
377,SIA/OR/MIN/227779/2021,SIA/OR/MIN/227779/2021,SIA/OR/MIN/227779/2021,SIA/OR/MIN/227779/2021,SIA/OR/MIN/227779/2021,SIA/OR/MIN/227779/2021,SIA/OR/MIN/227779/2021,SIA/OR/MIN/227779/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378,SIA/OR/MIN/226153/2021,SIA/OR/MIN/226153/2021,SIA/OR/MIN/226153/2021,SIA/OR/MIN/226153/2021,SIA/OR/MIN/226153/2021,SIA/OR/MIN/226153/2021,SIA/OR/MIN/226153/2021,SIA/OR/MIN/226153/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379,SIA/OR/MIN/227590/2021,SIA/OR/MIN/227590/2021,SIA/OR/MIN/227590/2021,SIA/OR/MIN/227590/2021,SIA/OR/MIN/227590/2021,SIA/OR/MIN/227590/2021,SIA/OR/MIN/227590/2021,SIA/OR/MIN/227590/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,SIA/OR/MIS/166366/2020,SIA/OR/MIS/166366/2020,SIA/OR/MIS/166366/2020,SIA/OR/MIS/166366/2020,SIA/OR/MIS/166366/2020,SIA/OR/MIS/166366/2020,SIA/OR/MIS/166366/2020,SIA/OR/MIS/166366/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381,SIA/OR/MIN/262251/2022,SIA/OR/MIN/262251/2022,SIA/OR/MIN/262251/2022,SIA/OR/MIN/262251/2022,SIA/OR/MIN/262251/2022,SIA/OR/MIN/262251/2022,SIA/OR/MIN/262251/2022,SIA/OR/MIN/262251/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,SIA/OR/MIN/245007/2021,SIA/OR/MIN/245007/2021,SIA/OR/MIN/245007/2021,SIA/OR/MIN/245007/2021,SIA/OR/MIN/245007/2021,SIA/OR/MIN/245007/2021,SIA/OR/MIN/245007/2021,SIA/OR/MIN/245007/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,SIA/OR/MIN/276881/2022,SIA/OR/MIN/276881/2022,SIA/OR/MIN/276881/2022,SIA/OR/MIN/276881/2022,SIA/OR/MIN/276881/2022,SIA/OR/MIN/276881/2022,SIA/OR/MIN/276881/2022,SIA/OR/MIN/276881/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,SIA/OR/MIN/230537/2021,SIA/OR/MIN/230537/2021,SIA/OR/MIN/230537/2021,SIA/OR/MIN/230537/2021,SIA/OR/MIN/230537/2021,SIA/OR/MIN/230537/2021,SIA/OR/MIN/230537/2021,SIA/OR/MIN/230537/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,SIA/OR/MIN/34513/2017,SIA/OR/MIN/34513/2017,SIA/OR/MIN/34513/2017,SIA/OR/MIN/34513/2017,SIA/OR/MIN/34513/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,SIA/OR/IND/33333/2018,SIA/OR/IND/33333/2018,SIA/OR/IND/33333/2018,SIA/OR/IND/33333/2018,SIA/OR/IND/33333/2018,SIA/OR/IND/33333/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387,SIA/OR/MIN/226630/2021,SIA/OR/MIN/226630/2021,SIA/OR/MIN/226630/2021,SIA/OR/MIN/226630/2021,SIA/OR/MIN/226630/2021,SIA/OR/MIN/226630/2021,SIA/OR/MIN/226630/2021,SIA/OR/MIN/226630/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388,SIA/OR/MIN/238353/2021,SIA/OR/MIN/238353/2021,SIA/OR/MIN/238353/2021,SIA/OR/MIN/238353/2021,SIA/OR/MIN/238353/2021,SIA/OR/MIN/238353/2021,SIA/OR/MIN/238353/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389,SIA/OR/MIN/258211/2022,SIA/OR/MIN/258211/2022,SIA/OR/MIN/258211/2022,SIA/OR/MIN/258211/2022,SIA/OR/MIN/258211/2022,SIA/OR/MIN/258211/2022,SIA/OR/MIN/258211/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,SIA/OR/MIN/250718/2022,SIA/OR/MIN/250718/2022,SIA/OR/MIN/250718/2022,SIA/OR/MIN/250718/2022,SIA/OR/MIN/250718/2022,SIA/OR/MIN/250718/2022,SIA/OR/MIN/250718/2022,SIA/OR/MIN/250718/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,SIA/OR/MIN/251613/2022,SIA/OR/MIN/251613/2022,SIA/OR/MIN/251613/2022,SIA/OR/MIN/251613/2022,SIA/OR/MIN/251613/2022,SIA/OR/MIN/251613/2022,SIA/OR/MIN/251613/2022,SIA/OR/MIN/251613/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392,SIA/OR/MIN/256331/2022,SIA/OR/MIN/256331/2022,SIA/OR/MIN/256331/2022,SIA/OR/MIN/256331/2022,SIA/OR/MIN/256331/2022,SIA/OR/MIN/256331/2022,SIA/OR/MIN/256331/2022,SIA/OR/MIN/256331/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,SIA/OR/MIN/256837/2022,SIA/OR/MIN/256837/2022,SIA/OR/MIN/256837/2022,SIA/OR/MIN/256837/2022,SIA/OR/MIN/256837/2022,SIA/OR/MIN/256837/2022,SIA/OR/MIN/256837/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,SIA/OR/MIN/273937/2022,SIA/OR/MIN/273937/2022,SIA/OR/MIN/273937/2022,SIA/OR/MIN/273937/2022,SIA/OR/MIN/273937/2022,SIA/OR/MIN/273937/2022,SIA/OR/MIN/273937/2022,SIA/OR/MIN/273937/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
395,SIA/OR/MIN/238667/2021,SIA/OR/MIN/238667/2021,SIA/OR/MIN/238667/2021,SIA/OR/MIN/238667/2021,SIA/OR/MIN/238667/2021,SIA/OR/MIN/238667/2021,SIA/OR/MIN/238667/2021,SIA/OR/MIN/238667/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
396,SIA/OR/MIN/233808/2021,SIA/OR/MIN/233808/2021,SIA/OR/MIN/233808/2021,SIA/OR/MIN/233808/2021,SIA/OR/MIN/233808/2021,SIA/OR/MIN/233808/2021,SIA/OR/MIN/233808/2021,SIA/OR/MIN/233808/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,SIA/OR/MIN/262499/2022,SIA/OR/MIN/262499/2022,SIA/OR/MIN/262499/2022,SIA/OR/MIN/262499/2022,SIA/OR/MIN/262499/2022,SIA/OR/MIN/262499/2022,SIA/OR/MIN/262499/2022,SIA/OR/MIN/262499/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,SIA/OR/MIN/264939/2022,SIA/OR/MIN/264939/2022,SIA/OR/MIN/264939/2022,SIA/OR/MIN/264939/2022,SIA/OR/MIN/264939/2022,SIA/OR/MIN/264939/2022,SIA/OR/MIN/264939/2022,SIA/OR/MIN/264939/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,SIA/OR/MIN/280118/2022,SIA/OR/MIN/280118/2022,SIA/OR/MIN/280118/2022,SIA/OR/MIN/280118/2022,SIA/OR/MIN/280118/2022,SIA/OR/MIN/280118/2022,SIA/OR/MIN/280118/2022,SIA/OR/MIN/280118/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,SIA/OR/IND/64791/2019,SIA/OR/IND/64791/2019,SIA/OR/IND/64791/2019,SIA/OR/IND/64791/2019,SIA/OR/IND/64791/2019,SIA/OR/IND/64791/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,SIA/OR/MIS/235083/2021,SIA/OR/MIS/235083/2021,SIA/OR/MIS/235083/2021,SIA/OR/MIS/235083/2021,SIA/OR/MIS/235083/2021,SIA/OR/MIS/235083/2021,SIA/OR/MIS/235083/2021,SIA/OR/MIS/235083/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,SIA/OR/MIN/258199/2022,SIA/OR/MIN/258199/2022,SIA/OR/MIN/258199/2022,SIA/OR/MIN/258199/2022,SIA/OR/MIN/258199/2022,SIA/OR/MIN/258199/2022,SIA/OR/MIN/258199/2022,SIA/OR/MIN/258199/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403,SIA/OR/MIN/280025/2022,SIA/OR/MIN/280025/2022,SIA/OR/MIN/280025/2022,SIA/OR/MIN/280025/2022,SIA/OR/MIN/280025/2022,SIA/OR/MIN/280025/2022,SIA/OR/MIN/280025/2022,SIA/OR/MIN/280025/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,SIA/OR/MIN/59730/2019,SIA/OR/MIN/59730/2019,SIA/OR/MIN/59730/2019,SIA/OR/MIN/59730/2019,SIA/OR/MIN/59730/2019,SIA/OR/MIN/59730/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,SIA/OR/MIN/26268/2018,SIA/OR/MIN/26268/2018,SIA/OR/MIN/26268/2018,SIA/OR/MIN/26268/2018,SIA/OR/MIN/26268/2018,SIA/OR/MIN/26268/2018,SIA/OR/MIN/26268/2018,SIA/OR/MIN/26268/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,SIA/OR/MIN/225356/2021,SIA/OR/MIN/225356/2021,SIA/OR/MIN/225356/2021,SIA/OR/MIN/225356/2021,SIA/OR/MIN/225356/2021,SIA/OR/MIN/225356/2021,SIA/OR/MIN/225356/2021,SIA/OR/MIN/225356/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,SIA/OR/MIN/242060/2021,SIA/OR/MIN/242060/2021,SIA/OR/MIN/242060/2021,SIA/OR/MIN/242060/2021,SIA/OR/MIN/242060/2021,SIA/OR/MIN/242060/2021,SIA/OR/MIN/242060/2021,SIA/OR/MIN/242060/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,SIA/OR/MIN/253161/2022,SIA/OR/MIN/253161/2022,SIA/OR/MIN/253161/2022,SIA/OR/MIN/253161/2022,SIA/OR/MIN/253161/2022,SIA/OR/MIN/253161/2022,SIA/OR/MIN/253161/2022,SIA/OR/MIN/253161/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409,SIA/OR/MIN/255633/2022,SIA/OR/MIN/255633/2022,SIA/OR/MIN/255633/2022,SIA/OR/MIN/255633/2022,SIA/OR/MIN/255633/2022,SIA/OR/MIN/255633/2022,SIA/OR/MIN/255633/2022,SIA/OR/MIN/255633/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,SIA/OR/IND2/21881/2018,SIA/OR/IND2/21881/2018,SIA/OR/IND2/21881/2018,SIA/OR/IND2/21881/2018,SIA/OR/IND2/21881/2018,SIA/OR/IND2/21881/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411,SIA/OR/IND2/23117/2018,SIA/OR/IND2/23117/2018,SIA/OR/IND2/23117/2018,SIA/OR/IND2/23117/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,SIA/OR/MIN/20996/2016,SIA/OR/MIN/20996/2016,SIA/OR/MIN/20996/2016,SIA/OR/MIN/20996/2016,SIA/OR/MIN/20996/2016,SIA/OR/MIN/20996/2016,SIA/OR/MIN/20996/2016,SIA/OR/MIN/20996/2016,SIA/OR/MIN/20996/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
413,SIA/OR/IND/29913/2017,SIA/OR/IND/29913/2017,SIA/OR/IND/29913/2017,SIA/OR/IND/29913/2017,SIA/OR/IND/29913/2017,SIA/OR/IND/29913/2017,SIA/OR/IND/29913/2017,SIA/OR/IND/29913/2017,SIA/OR/IND/29913/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,SIA/OR/IND2/22582/2018,SIA/OR/IND2/22582/2018,SIA/OR/IND2/22582/2018,SIA/OR/IND2/22582/2018,SIA/OR/IND2/22582/2018,SIA/OR/IND2/22582/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415,SIA/OR/MIN/48132/2016,SIA/OR/MIN/48132/2016,SIA/OR/MIN/48132/2016,SIA/OR/MIN/48132/2016,SIA/OR/MIN/48132/2016,SIA/OR/MIN/48132/2016,SIA/OR/MIN/48132/2016,SIA/OR/MIN/48132/2016,SIA/OR/MIN/48132/2016,SIA/OR/MIN/48132/2016,SIA/OR/MIN/48132/2016,SIA/OR/MIN/48132/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416,SIA/OR/MIN/60445/2016,SIA/OR/MIN/60445/2016,SIA/OR/MIN/60445/2016,SIA/OR/MIN/60445/2016,SIA/OR/MIN/60445/2016,SIA/OR/MIN/60445/2016,SIA/OR/MIN/60445/2016,SIA/OR/MIN/60445/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
417,SIA/OR/MIN/50691/2016,SIA/OR/MIN/50691/2016,SIA/OR/MIN/50691/2016,SIA/OR/MIN/50691/2016,SIA/OR/MIN/50691/2016,SIA/OR/MIN/50691/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
418,SIA/OR/MIN/407314/2022,SIA/OR/MIN/407314/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
