"","Proposal.No.","File.No.","Project.Name","Company","Proposal.Status","Project.Type","View"
"1642","SIA/MH/MIN/31139/2015","SEIAA/2015/I/CR167/TC-3","Pohi sand ghat in the Champakali River bed sand stock 716 bras","COLLECTOR AKOLA","Disposed through earlier site ec-ecmpcb-in","EC",NA
"1643","SIA/MH/NCP/52925/2016","SEIAA/2016/III/CR313/TC-3","GRANDEUR- DYNAMIC REALTY","DYNAMICS REALTY VENTURES GRANDEUR","Disposed through earlier site ec-ecmpcb-in","EC",NA
"1644","SIA/MH/MIS/59971/2016","","Sunberry","NEELKANTH INFRATECH CO","Disposed through earlier site ec-ecmpcb-in","EC",NA
"1645","SIA/MH/RIV/63995/2017","SIA/MH/RIV/63995/2017","Ajansara Barrage Project for Lift Irrigation to irrigate an area of 30004 Ha of Culturable Command Area (CCA) by utilizing the water from the Wardha River","VIDARBHA IRRIGATION DEVELOPMENT CORPORATION NAGPUR GOVERNMENT OF MAHARASHTRA","Agenda Uploaded by SEAC","EC",NA
"1646","SIA/MH/MIN/31826/2015","SEIAA/2015/I/CR266/TC-3","","v","Disposed through earlier site ec-ecmpcb-in","EC",NA
"1647","SIA/MH/MIN/31827/2015","SEIAA/2015/I/CR267/TC-3","","v","Disposed through earlier site ec-ecmpcb-in","EC",NA
"1648","SIA/MH/MIN/31833/2015","SEIAA/2015/I/CR271/TC-3","","COLLECTOR BHANDARA","Disposed through earlier site ec-ecmpcb-in","EC",NA
"1649","SIA/MH/MIN/31834/2015","SEIAA/2015/I/CR272/TC-3","","COLLECTOR BHANDARA","Disposed through earlier site ec-ecmpcb-in","EC",NA
"1650","SIA/MH/NCP/30521/2015","","westshire","ULTRATECH ENVIRONMENTAL CONSULTANCY AND LABORATORY","Delisted","EC",NA
"1651","SIA/MH/MIS/226965/2021","SIA/MH/MIS/226965/2021","Proposed Residential & Commercial project at Gat. No. 96 & 97 , Dudulgaon, Pune by M/s. Yashada Holdings","M/S YASHADA HOLDINGS","EC Granted","EC",NA
"1652","SIA/MH/MIN/190547/2020","SIA/MH/MIN/190547/2020","Environmental Clearance for proposed river bed Sand mining having lease area 2.00 Ha of Chandola sand ghat on Purna River","DISTRICT MINING OFFICER,AMRAVATI","EC Granted","EC",NA
"1653","SIA/MH/MIN/131693/2019","SIA/MH/MIN/131693/2019","Sai Rudra Stone Crusher","SAI RUDRA STONE CRUSHER","EC Granted","EC",NA
"1654","SIA/MH/NCP/72009/2018","","Proposed Residential + Commercial project at Plot 02, Sector-16, Sanpada, Navi mumbai by M/s.S.T.K. Corporation","S K T CORPORATION","Disposed through earlier site ec-ecmpcb-in","EC",NA
"1655","SIA/MH/IND/17485/2011","","Shree Jay Jagdamba Stainless Steel Ltd","JAY JAGDAMBA STAINLESS STEEL LTD","Disposed through earlier site ec-ecmpcb-in","EC",NA
"1656","SIA/MH/MIN/160152/2020","SIA/MH/MIN/160152/2020","Khairna sand spot over an extent of  3.0 ha. at Wainganga River Bed Gut. No. 476, 477 & 478, Khairna Village, Lakhandur Taluka, Bhandara District, Maharashtra.","OFFICE OF THE COLLECTORATE, BHANDARA","EC Granted","EC",NA
"1657","SIA/MH/MIN/160416/2020","SIA/MH/MIN/160416/2020","Kurza  sand spot over an extent of 1.20 ha. At Wainganga River Bed Gut No. 760, 759, 758, 757, 745,  744, 743, 742, 741, 740 (739 Partly),Kurza Village, pauni Tehsil, Bhandara District, Maharashtra.","OFFICE OF THE COLLECTORATE, BHANDARA","EC Granted","EC",NA
"1658","SIA/MH/MIN/162001/2020","SIA/MH/MIN/162001/2020","Environmental Clearance for proposed river bed Sand mining having )   area 0.48 Ha(1.186acre) of Dhanora sand ghat on Purna River","DISTRICT MINING OFFICER, AURANGABAD","Rejection Letter Granted","EC",NA
"1659","SIA/MH/MIN/163712/2020","SIA/MH/MIN/163712/2020","Environmental Clearance for proposed river bed Sand mining having lease area 0.14 Ha (0.3458) of Kodori sand ghat on Purna River.","DISTRICT MINING OFFICER,AMRAVATI","Rejection Letter Granted","EC",NA
"1660","SIA/MH/MIN/42701/2016","SEIAA/2016/I/CR207/TC-3","Sykheda Sandghat","DISTRICT MINING OFFICE","Disposed through earlier site ec-ecmpcb-in","EC",NA
"1661","SIA/MH/MIN/43010/2016","SEIAA/2016/I/CR220/TC-3","Shri Vasant Shantaram Padate","v","Disposed through earlier site ec-ecmpcb-in","EC",NA
"1662","SIA/MH/MIN/197130/2021","SIA/MH/MIN/197130/2021","Stone Quarry Project By Shri Vikash Vaijnath Tandale","VIKAS VAIJINATH TANDALE","EC Granted","EC",NA
"1663","SIA/MH/MIN/38119/2016","SEIAA/2016/I/CR16/TC-3","Shri.Shivaji Dhondu Chavan Survey No. 44/1, Area (2.86 Ha) 
Village-Junnar, Tehsil-Dhule, Dist-Dhule","SHRI.SHIVAJI DHONDU CHAVAN","Disposed through earlier site ec-ecmpcb-in","EC",NA
"1664","SIA/MH/MIN/206436/2021","SIA/MH/MIN/206436/2021","Stone Quarry of Mr. Jitendra Maganlal Malviya","PROJECT PROPONENT","EC Granted","EC",NA
"1665","SIA/MH/MIN/50629/2016","SEIAA/2016/I/CR267/TC-3","Laterite Stone Quarry proposal of  M/s. Shri Jugai Minerals, Ghungur at Gat no. 223 Parali, Tal-Shahuwadi, Dist- Kolhapur with extent of 4.97 Hact.","DISTRICT MININING OFFICER KOLHAPUR","Disposed through earlier site ec-ecmpcb-in","EC",NA
"1666","SIA/MH/MIS/250435/2022","SIA/MH/MIS/250435/2022","“Proposed Pradhan Mantri Awas Yojana (PMAY) Housing Scheme”","RUSTAGI  ESTATES  PVT  LTD","EC Granted","EC",NA
"1667","SIA/MH/MIS/159497/2020","SIA/MH/MIS/159497/2020","K Town","UNIQUE AMS SPACES LLP","Delisted","EC",NA
"1668","SIA/MH/MIS/225584/2021","SIA/MH/MIS/225584/2021","Proposed construction of residential EWS & LIG housing scheme for AHP-PPP model of PMAY scheme” at Kh. No.73/1, Mouza- Turkmari, Tah. Hingna, Dist. Nagpur, State: Maharashtra. by M/s. Sirsikar Developers and Builders Pvt. Ltd.","M/S SIRSIKAR DEVELOPERS & BUILDERS PVT. LTD.","Delisted","EC",NA
"1669","SIA/MH/NCP/27974/2018","","Residential Development with Mall & Multiplex at L.B.S. Marg, Mulund (W), Mumbai 400080","NIRMAL LIFESTYLE DEVELOPMENT PRIVATE LIMITED","Disposed through earlier site ec-ecmpcb-in","EC",NA
"1670","SIA/MH/MIN/40721/2016","SEIAA/2016/I/CR52/TC-3","Yelki sand ghat","COLLECTOR AMRAVATI","Disposed through earlier site ec-ecmpcb-in","EC",NA
"1671","SIA/MH/NCP/58079/2020","SIA/MH/NCP/58079/2020","Redevelopment Project along with sale component at Tardeo Division, D Ward, Shuklaji Street, Mumbai","HILTON INFRASTRUCTURE","EC Granted","EC",NA
"1672","SIA/MH/MIS/207800/2021","SIA/MH/MIS/207800/2021","Proposed Project at Gat no. 424 Charholi, Pune by M/s. Global Lotus Landmarks LLP","GLOBAL LOTUS LANDMARKS LLP","EC Granted","EC",NA
"1673","SIA/MH/MIS/197452/2021","SIA/MH/MIS/197452/2021","Splendour County","P. S. DEVELOPERS","WithdrawEC","EC",NA
"1674","SIA/MH/MIN/30559/2015","SEIAA/2015/I/CR82/TC-3","Nandra-2 Sand Ghat Auction","COLLECTOR JALGAON","Disposed through earlier site ec-ecmpcb-in","EC",NA
"1675","SIA/MH/MIS/124072/2019","SIA/MH/MIS/124072/2019","Proposed Residential Project","REGENCY AAWISHKAR SARSAN DEVELOPERS LLP","EC Granted","EC",NA
"1676","SIA/MH/MIS/220439/2021","SIA/MH/MIS/220439/2021","Sarthak Prarambh at S.No.128/5/1, Dhayari Pune by Sarthak and ShantiShobha Ventures","SARTHAK AND SHANTISHOBHA VENTURES","WithdrawEC","EC",NA
"1677","SIA/MH/MIN/160087/2020","SIA/MH/MIN/160087/2020","Chargaon sand spot over an extent of 4.50 ha. at Wain Ganga River Bed Gut N: 70 (Near River Bed), 10, 11, 16 & 17,Chargaon Village,Tehsil Tumsar, Bhandara District, Maharashtra.","OFFICE OF THE COLLECTORATE, BHANDARA","EC Granted","EC",NA
"1678","SIA/MH/MIN/162764/2020","SIA/MH/MIN/162764/2020","Environmental Clearance for proposed river bed Sand mining having lease area 4.95ha (12.23 acre) of Ankisa Mal sand ghat on Godawari River","DISTRICT MINING OFFICER, GADCHIROLI","EC Granted","EC",NA
"1679","SIA/MH/MIN/155253/2020","SIA/MH/MIN/155253/2020","NER SAND GHAT TQ MAHUR DIST NANDED","DMO NANDED","Rejection Letter Granted","EC",NA
"1680","SIA/MH/MIN/155907/2020","SIA/MH/MIN/155907/2020","Savkheda sand spot over an extent of 3.90 ha. at Tapi River Bed Gut. No. 3, 5, 6, 7, 8, 9 and 10, Savkheda Village, Amalner Taluk, Jalgaon district, Maharashtra.","OFFICE OF THE COLLECTORATE, JALGAON","EC Granted","EC",NA
"1681","SIA/MH/MIN/164409/2020","SIA/MH/MIN/164409/2020","Environmental Clearance for proposed river bed Sand mining having lease area 0.72 Ha (1.7784 acre) of Kharbikund sand ghat on Bembla River","DISTRICT MINING OFFICER,AMRAVATI","Rejection Letter Granted","EC",NA
"1682","SIA/MH/MIN/31534/2015","SEIAA/2015/I/CR242/TC-3","Proposal for Quarrying of Minor mineral Stone Quarry (M/s Infra Transmission Pvt. Ltd.)Survey no. 51/2, Kundewahal Village, Taluka Panvel, District Raigad, State Maharashtra.","v","Disposed through earlier site ec-ecmpcb-in","EC",NA
"1683","SIA/MH/MIN/244049/2021","SIA/MH/MIN/244049/2021","Environmental Clearance for proposed river bed Sand mining having lease area 1.55 Ha of Degurkheda - Waghoda sand ghat on Purna River","DISTRICT MINING OFFICER,AMRAVATI","EC Granted","EC",NA
"1684","SIA/MH/MIN/242736/2021","SIA/MH/MIN/242736/2021","Environment Clearance for of Bethala South Sand Ghat Area 4.90 ha. (Production 15901 Brass) at Wainganga River Bed Gut No. 1035, 1036, 1037, 1040, 1041, 1042 & 1043, Village- Bethala South, Tehsil - Mohadi, District Bhandara, Maharashtra.","DISTRICT MINING OFFICER, BHANDARA","Delisted","EC",NA
"1685","SIA/MH/MIN/191473/2021","SIA/MH/MIN/191473/2021","Aswand A sandghat on Purna River","COLLECTOR OFFICE BULDANA","Rejection Letter Granted","EC",NA
"1686","SIA/MH/MIN/200803/2021","SIA/MH/MIN/200803/2021","Sand Ghat Miri and Siddhapur Spot 1 , Gut No. 49,48,45,44,41,40,33,485,486,1","DMO SOLAPUR SAND APPLICATIONS","EC Granted","EC",NA
"1687","SIA/MH/MIN/53488/2016","SEIAA/2016/I/CR343/TC-3","Amar Jalindar Lande Survey No. -386, Area- 2.00 Ha 
Village- Kurul, Tehsil- Mohol, Dist-Solapur","AMAR JALINDAR LANDE","Disposed through earlier site ec-ecmpcb-in","EC",NA
"1688","SIA/MH/MIS/166918/2020","SIA/MH/MIS/166918/2020","Residential Group Housing Project “Ashiana Malhar” & EWS Unit ‘Niwas’ by M/s. Ashiana Housing Ltd.","ASHIANA HOUSING LIMITED","EC Granted","EC",NA
"1689","SIA/MH/NCP/63649/2017","SEIAA/2017/III/CR-203/TC-3","Residential Cum Commercial Project ""Tanish Orchid"" at Sr. No. 490/1/2 & Sr. No.491/1/-4, 491/5A, 491/5B, 491/6 & 491/7, Village Charoli[Bk], Haveli, Pune","TANISH ASSOCIATES","Disposed through earlier site ec-ecmpcb-in","EC",NA
"1690","SIA/MH/NCP/63780/2017","SEIAA/2017/III/CR-208/TC-3","Triveni Dham at Gat No. 517P 525P,516P,515P,513P, Tulapur,
Tal-Haveli, Dist-Pune by Sai Balaji Group","SAIBALAJI GROUP","Disposed through earlier site ec-ecmpcb-in","EC",NA
"1691","SIA/MH/MIN/42709/2016","SEIAA/2016/I/CR212/TC-3","Vandli R Sandghat","DISTRICT MINING OFFICE","Disposed through earlier site ec-ecmpcb-in","EC",NA
"1692","SIA/MH/MIN/42699/2016","SEIAA/2016/I/CR205/TC-3","Wadgaon Sandghat","DISTRICT MINING OFFICE","Disposed through earlier site ec-ecmpcb-in","EC",NA
"1693","SIA/MH/NCP/65414/2017","","“ Anshul Heights” Mahavir Nagar Anshul Plaza CHS Ltd- proposed residential building","VIDISHA REAL ESTATE DEVELOPRS PVT LTD.","Disposed through earlier site ec-ecmpcb-in","EC",NA
"1694","SIA/MH/MIN/91346/2019","","Proposal for Sand Quarry in Jewali Village, Taluka Latur, District Latur, State Maharashtra over an area of 0.3800 Ha at Manjara River","VIVEK P NAVARE","Disposed through earlier site ec-ecmpcb-in","EC",NA
"1695","SIA/MH/NCP/31967/2015","SEIAA/2015/II/CR350/TC-3","Proposed amendment in “Residential & Commercial Complex” under Slum Rehabilitation Scheme for “ Laxmi Nagar CHS.” on land bearing C.T.S no. 1A (pt.), S. No. 161 (pt.) Plot No. B3 & B4 of Village Paahdi, Goregaon, Taluka – Mumbai.","RELIABLE BUILDERS AND DEVELOPERS","Disposed through earlier site ec-ecmpcb-in","EC",NA
"1696","SIA/MH/MIS/133791/2019","SIA/MH/MIS/133791/2019","Proposed IT/Commercial Project","PUNE BUSINESS SPACES PRIVATE LIMITED","EC Granted","EC",NA
"1697","SIA/MH/MIN/224148/2021","SIA/MH/MIN/224148/2021","Environmental Clearance of Stone Quarry for At Gut No 62/6/1 Part,  Village Hanumantmal, Tehsil Surgana, District Nashik, Maharashtra by Shri. Indrajit Jeeva Gavit","SHRI. INDRAJIT JEEVA GAVIT","EC Granted","EC",NA
"1698","SIA/MH/MIS/134107/2019","SIA/MH/MIS/134107/2019","Proposed Development Residential cum Commercial Building on plot bearing CTS No. 479, 479/1 to 6 at Village Oshiwara, Jogeshwari (West), Mumbai.","CHANDIWALA ENTERPRISES","EC Granted","EC",NA
"1699","SIA/MH/NCP/57202/2016","","Residential Project at Village Kanhe, Tal. Mawal, Pune","URBAN HOMES REALTY","Disposed through earlier site ec-ecmpcb-in","EC",NA
"1700","SIA/MH/MIN/161958/2020","SIA/MH/MIN/161958/2020","Environmental Clearance for proposed river bed Sand mining having area 3.52 Ha of Karajghat sand ghat on Kanhan River.","DISTRICT MINING OFFICER, NAGPUR","EC Granted","EC",NA
"1701","SIA/MH/MIN/162134/2020","SIA/MH/MIN/162134/2020","Environmental Clearance for proposed river bed Sand mining having area 3.77 ha (9.31 acre) of Murdada (Parvati) sand ghat on Wainganaga river.","DISTRICT MINING OFFICER,GONDIA","EC Granted","EC",NA
"1702","SIA/MH/MIN/162224/2020","SIA/MH/MIN/162224/2020","Environmental Clearance for proposed river bed Sand mining having lease area 1.26 ha (3.11 acre) of Hingni sand ghat on Kayadhu River","DISTRICT MINING OFFICER,HINGOLI","EC Granted","EC",NA
"1703","SIA/MH/MIS/62688/2021","SIA/MH/MIS/62688/2021","Data Center at Plot No B-1, B-2, Trans Thane Creek Industrial Area, Village Dighe, District Thane by NTT Global Data Centers NAV2 Private Limited","NTT GLOBAL DATA CENTERS NAV2 PRIVATE LIMITED","EC Granted","EC",NA
"1704","SIA/MH/MIS/217823/2021","SIA/MH/MIS/217823/2021","Proposed expansion project 327 (Old) 30 (New) H.No. 11B, 14A, 14B, 15, 21A, 21B, 22A, 24, 328 (Old) 29 (New) H.No. 1A 339 (Old) 23 (New) H.No. 2B, 340 (Old) 22 (New) H.No. 1B, 2A, 2D, 3A, 5A, 9E, 341 (Old) 20 (New) H.No. 6B at Village Goddev, Distric","M/S. SONAM BUILDERS","EC Granted","EC",NA
"1705","SIA/MH/MIN/65977/2020","SIA/MH/MIN/65977/2020","Pipari de Sand Ghat, Gut no. 45 to 57, 231, 234, 233, 235, 247, 248, 249/2  Village Pipari de, Taluka-  Bhadravati & District- Chandrapur","DISTRICT MINING OFFICER, CHANDRAPUR","EC Granted","EC",NA
"1706","SIA/MH/MIN/211214/2021","SIA/MH/MIN/211214/2021","Stone quarry proposal of Shri. Arun H. Nill , Gut No- 274/2, Kondi Village, Tal-North Solapur, Dist-Solapur","STONE QUARRY PROPOSAL OF SHRI. ARUN H. NILL , GUT NO- 274/2, KONDI VILLAGE, TAL-NORTH SOLAPUR, DIST-SOLAPUR","WithdrawEC","EC",NA
"1707","SIA/MH/MIN/144642/2020","SIA/MH/MIN/144642/2020","M/s D D Associates","M/S D D ASSOCIATES THROUGH SHRI. NILESH RAVINDRA DAMLE","EC Granted","EC",NA
"1708","SIA/MH/NCP/48477/2016","SEIAA/2016/II/CR238/TC-3","Navi Sherli Mata Yashodhara Nagar Rahivashi SRA
CHS LTD.","JOY BUILDERS","Disposed through earlier site ec-ecmpcb-in","EC",NA
"1709","SIA/MH/MIS/128412/2019","SIA/MH/MIS/128412/2019","Environment Clearance of “Ganga Jamuna” proposed residential project at Bandra, Mumbai By Jade Constructions Pvt. Ltd.","JADE CONSTRUCTION PVT. LTD.","Delisted","EC",NA
"1710","SIA/MH/MIN/161067/2020","SIA/MH/MIN/161067/2020","Parsodi(Madeghat)  sand spot over an extent of 1.25 ha. at Chulbandh River Bed Gut. No.540, 541, 581, 653, 654 & 711 Parsodi(Madeghat) Village, Sakoli Tehsil, Bhandara District, Maharashtra.","OFFICE OF THE COLLECTORATE, BHANDARA","EC Granted","EC",NA
"1711","SIA/MH/MIS/146414/2020","SIA/MH/MIS/146414/2020","Environment Clearance for Proposed Residential Building on land bearing S. No. 229B, (Plot No. 2), S. No. 233B, 233C & 281/1 (Plot No. 6, 12 & 13) Village Gokhiware, Taluka Vasai, District Palghar.","AJMERA DEVELOPERS","Delisted","EC",NA
"1712","SIA/MH/MIN/38017/2016","SEIAA/2016/I/CR7/TC-3","Dagdu Dashrath Patil & 
Dagubai Dashrath Patil 
Survey No. 30/2/1K/D & 30/2/1/K, Area (1.0 Ha) 
Village-Boradi, Tehsil-Shirpur, Dist-Dhule","DAGDU DASHRATH PATIL & DAGUBAI DASHRATH PATIL","Disposed through earlier site ec-ecmpcb-in","EC",NA
"1713","SIA/MH/MIS/213589/2021","SIA/MH/MIS/213589/2021","Proposed Residential building on plot bearing S. no 127,  H. no. 9 to 16  & 19, Village- Mahajanwadi, Taluka & District Thane.","RAJ HOMES","Delisted","EC",NA
"1714","SIA/MH/IND2/59784/2020","SIA/MH/IND2/59784/2020","Manufacture of Synthetic Organic Perfumery Chemicals and Intermediates","NIRMAAN AOUDHYOGIK RASAYAN PVT LTD","EC Granted","EC",NA
"1715","SIA/MH/MIN/237924/2021","SIA/MH/MIN/237924/2021","Manjur sand spot over an extent of 2.07 HA (MINEABLE AREA-1.5525HA & NON-MINEABLE AREA-0.5175HA) At Godavari River Bed Gut No. 71 to 75, 83, 84, 95,96 Manjur Village, Tehsil- Kopargaon, Ahmednagar District, Maharashtra.","COLLECTOR AHMEDNAGAR","EC Granted","EC",NA
"1716","SIA/MH/MIS/53158/2019","SIA/MH/MIS/53158/2019","Pradhan Mantri Awas Yojana (PMAY) Housing Scheme, located at Plot No. 3, Sector 16A, Kharkopar Railway Station (East), Ulwe Node, Navi Mumbai, Taluka: Panvel, District: Raigad, Maharashtra","CIDCO","EC Granted","EC",NA
"1717","SIA/MH/MIN/198782/2021","SIA/MH/MIN/198782/2021","Mandwa Stone Quarry of Shri Rajendra Maganlal Malviya, located in Kh No. 178 & 179 Part, Village: Mandwa, Tehsil: Dharni, District: Amravati, Maharashtra over an area of 1.90 Ha","MANDWA STONE QUARRY OF SHRI RAJENDRA MAGANLAL MALVIYA, LOCATED IN KH NO. 178 & 179 PART, VILLAGE: MANDWA, TEHSIL: DHARNI, DISTRICT: AMRAVATI, MAHARASHTRA OVER AN AREA OF 1.90 HA","Rejection Letter Granted","EC",NA
"1718","SIA/MH/IND2/153156/2020","SIA/MH/IND2/153156/2020","M/s. Archana Industries","M/S. ARCHANA INDUSTRIES","EC Granted","EC",NA
"1719","SIA/MH/MIN/142603/2020","SIA/MH/MIN/142603/2020","Atul Govindrao Jadhav","ATUL GOVINDRAO JADHAV","EC Granted","EC",NA
"1720","SIA/MH/NCP/49881/2016","SEIAA/2016/II/CR260/TC-3","Megacity Warai at Village Warai, Karjat, Raigad","XRBIA DEVELOPERS LTD","Disposed through earlier site ec-ecmpcb-in","EC",NA
"1721","SIA/MH/MIS/63023/2017","SEIAA/2017/II/CR-158/TC-3","OPAL SQUARE","SHUBAN BUILDPRO LLP","Disposed through earlier site ec-ecmpcb-in","EC",NA
"1722","SIA/MH/MIS/124051/2019","SIA/MH/MIS/124051/2019","Environmental clearance for Proposed residential project at S. No. 19, Punawale By Surya Developers","SURYA DEVELOPERS","EC Granted","EC",NA
"1723","SIA/MH/MIN/48009/2016","SEIAA/2016/I/CR227/TC-3","Karmad Sand Ghat Auction","COLLECTOR JALGAON","Disposed through earlier site ec-ecmpcb-in","EC",NA
"1724","SIA/MH/MIS/193928/2021","SIA/MH/MIS/193928/2021","Aarcon","G K ASSOCIATES","EC Granted","EC",NA
"1725","SIA/MH/MIN/239538/2021","SIA/MH/MIN/239538/2021","Varkheda sand spot over an extent of 1.008 ha. at Tambadi River Bed Gut. No’s. 13,23, 25, 26 Varkheda Village, Kalwan Taluka, Nashik District, Maharashtra","DISTRICT COLLECTOR OFFICE, NASHIK","EC Granted","EC",NA
"1726","SIA/MH/MIN/228252/2021","SIA/MH/MIN/228252/2021","Basalt stone mining project (Area 1.5 ha) with production capacity 61047 TPA at Sy No. 82/3, village Kamba, Taluka Kalyan, District Thane, Maharashtra by M/s Shree Sai Dhara Stone Quarry, Applicant Shri Chandra Bahadur Jaikaran Singh.","SHREE SAI DHARA STONE QUARRY","Delisted","EC",NA
"1727","SIA/MH/MIS/193200/2021","SIA/MH/MIS/193200/2021","M/S. RUPVAKULA PROPERTIES PVT. LTD.","RUPVAKULA PROPERTIES PVT LTD","WithdrawEC","EC",NA
"1728","SIA/MH/MIS/116698/2019","","Mannat","HEMANT K LLP","WithdrawEC","EC",NA
"1729","SIA/MH/MIS/126007/2019","SIA/MH/MIS/126007/2019","Environmental Clearance for Proposed Slum Rehabilitation Scheme (Rehab and Sale Buildings) “Neo Skies” on Plot Bearing C.T.S No. 31/B (pt), 32, 32/1 to 3, 33 (pt), 34 of Village Kanjur, Utkarshanagar,","SUYOG DEVELOPERS","EC Granted","EC",NA
"1730","SIA/MH/NCP/30817/2015","SEIAA/2015/III/CR216/TC-3","","KAMALRAJ ASSOCIATES","Disposed through earlier site ec-ecmpcb-in","EC",NA
"1731","SIA/MH/MIS/53792/2016","SEIAA/2016/III/CR352/TC-3","“Construction of 348 Residential Quarters and Administrative Buildings Including all Infrastructural Amenities for Commissioner of Police Nagpur”","MS NAGPUR IMPROVEMENT TRUSTS","Disposed through earlier site ec-ecmpcb-in","EC",NA
"1732","SIA/MH/MIN/190564/2020","SIA/MH/MIN/190564/2020","Environmental Clearance for proposed river bed Sand mining having lease area 1.002 Ha of Dhulghat (Katyaghat) sand ghat on Gadga River","DISTRICT MINING OFFICER,AMRAVATI","EC Granted","EC",NA
"1733","SIA/MH/MIN/190589/2020","SIA/MH/MIN/190589/2020","Environmental Clearance for proposed river bed Sand mining having lease area 2.162 Ha of Karatkhed sand ghat on Purna River","DISTRICT MINING OFFICER,AMRAVATI","EC Granted","EC",NA
"1734","SIA/MH/MIS/187550/2020","SIA/MH/MIS/187550/2020","Proposed slum rehabilitation scheme under 33(11)A of DCPR 2034 & Reg. 17(1) of DCPR 2034 on plot bearing C.T.S. no.57, 58 & 100 of village Kondivita, Andheri (East), Mumbai M/s. Chandiwala Enterprises","CHANDIWALA ENTERPRISES","EC Granted","EC",NA
"1735","SIA/MH/MIS/229278/2021","SIA/MH/MIS/229278/2021","Proposed Expansion with Amendment Project Resi-dential & Commercial “GAGAN AVENCIA” S. No. 63/1/1,63/2(Part) Kharadi, Tal. Haveli, Dist. Pune, Ma-harashtra by Onyx Promotors LLP","ONYX PROMOTERS LLP","EC Granted","EC",NA
"1736","SIA/MH/MIN/156260/2020","SIA/MH/MIN/156260/2020","Takarkheda (Part-1) sand spot over an extent of 1.40 ha. at Girna River Bed Gut. No. 1, 2, 3 and 4, Takarkheda (Part-1) Village, Erandol Taluk, Jalgaon district, Maharashtra.","OFFICE OF THE COLLECTORATE, JALGAON","EC Granted","EC",NA
"1737","SIA/MH/MIS/63802/2020","SIA/MH/MIS/63802/2020","National Disaster Response Force Academy","NATIONAL DISASTER RESPONSE FORCE ACADEMY","Delisted","EC",NA
"1738","SIA/MH/MIS/214661/2021","SIA/MH/MIS/214661/2021","Proposed Residential & Commercial ""Ganga Avanta""Project","M/S. SOHAM ASSOCIATES","WithdrawEC","EC",NA
"1739","SIA/MH/MIN/31864/2015","SEIAA/2015/I/CR295/TC-3","","COLLECTOR BHANDARA","Disposed through earlier site ec-ecmpcb-in","EC",NA
"1740","SIA/MH/MIN/31932/2015","SEIAA/2015/I/CR345/TC-3","Kothali Sand Ghat Auction","COLLECTOR JALGAON","Disposed through earlier site ec-ecmpcb-in","EC",NA
"1741","SIA/MH/MIS/67546/2011","SIA/MH/MIS/67546/2011","AMENDMENT OF EXISTING COMMERCIAL BUILDINGS ON LAND BEARING C.T.S.NO.124 A To E OF VILLAGE KURLA-II, L.B.S. MARG, KURLA (WEST),MUMBAI- 400070 by M/s. OFFBEAT DEVELOPERS PVT. LTD. & GRACEWORKS REALTY LEISURE PVTLTD","M/S OFFBEAT DEVELOPERS PVT. LTD. & GRACEWORKS REALTY LEISURE PVT LTD","Rejection Letter Granted","EC",NA
"1742","SIA/MH/MIS/236431/2021","SIA/MH/MIS/236431/2021","Proposed Project at Nashik By Kalantri and Bang Properties","KALANTRI AND BANG PROPERTIES","EC Granted","EC",NA
"1743","SIA/MH/MIN/234406/2021","SIA/MH/MIN/234406/2021","Environmental Clearance for the Stone Quarry of Shri. Santosh Ambawale & Shri. Vinod Chavan","SHRI. SANTOSH BALKRISHNA AMBAWALE & SHRI. VINOD HANMANT CHAVAN","EC Granted","EC",NA
"1744","SIA/MH/MIN/192054/2021","SIA/MH/MIN/192054/2021","Hingogeseem Part 1 sand spot over an extent of 4.37 HA (MINEABLE AREA-3.5 HA & NON-MINEABLE AREA-0.87 HA) At Tapi River Bed Gut No.6 & 7 Hingogeseem Part 1 Village, Tehsil-Amadner, Jalgaon District, Maharashtra.","OFFICE OF THE COLLECTORATE, JALGAON","EC Granted","EC",NA
"1745","SIA/MH/MIS/237588/2021","SIA/MH/MIS/237588/2021","Proposed expansion in Slum Rehabilitation Scheme located on land bearing C. S. Nos. 714 (pt), 715, 716, 717 (pt), 719 (pt), 720 (pt) of Parel Seweree Division and C.S. Nos. 131 (pt), 155(pt), 167 (pt), 168, 169 (pt), 170 (pt), 171 (pt) of Dadar Naiga","M/S RENUKA REALTORS","Delisted","EC",NA
"1746","SIA/MH/MIS/231790/2021","SIA/MH/MIS/231790/2021","Proposed residential development at village Rohinjan, Taluka Panvel, District Raigad","MAHAAVIR HOMES LLP","EC Granted","EC",NA
"1747","SIA/MH/MIN/46380/2019","SIA/MH/MIN/46380/2019","Stone Quarry","SHRI. MUKESH JIJABRAO GAIKWAD","Delisted","EC",NA
"1748","SIA/MH/MIN/72843/2018","","Shri Arun Shivajirao Desai,
At Survey No- 131 & 132 Part, Village- Pingali Kh, Taluka- Man","EQUINOX ENVIRONMENTS INDIA PVT. LTD.","Disposed through earlier site ec-ecmpcb-in","EC",NA
"1749","SIA/MH/NCP/66152/2017","","Construction of 280 quaeters including all infrastructural amenities for C.P. Nagpur.","MAHARASHTRA STATE POLICE HOSING AND WELFARE CORPORATION LTD","Disposed through earlier site ec-ecmpcb-in","EC",NA
